Non-Operating Income (Loss),StockBased Compensation,Line of Credit Available,Equity Charge,WACC Discount Factor,Other Accrued Liabilities,Operating Leases,Line of Credit,Total Current Liabilities,BALANCE SHEET,Total Liabilities & Equity,Operating Income,NonCash Items,Days in Period,Net Share Repurchases,"Cash, Cash Equivalents & STI",Misc LT Assets,Rental Expense - Years 2 - 5,"Selling, General & Admin",Revenue,ST Debt,-Net Share Repurchases,LTM Basic EPS,Rental Expense - Year 1,ST Capital Leases,Rental Expense Beyond Year 5,Dep & Amort,Work In Process,Total Liabilities / Tangible Assets,Current Liabilities,Other Adjustments,Free Cash Flow (LTM),Deferred Compensation,Other Operating Expenses,Free Cash Flow to Firm,ST Deferred Tax Assets,Cash (Repurchase) of Equity,Free Cash Flow to Equity,Deferred Tax Liabilities,Repayments of LT Debt,Other PostRet Benefits,Effect of Foreign Exchanges,Income (Loss) from Cont Ops,year + weight + convention,Free Cash Flow to Firm Model,Dividends,Net Extraordinary Losses (Gains),Net Cash From Disc Ops (fin),Period Weight,Pretax Income,LT Marketable Securities,ST Borrowings,Dividend Yield (LTM),Free Cash Flow per Share,LT Receivables,Prepaid Expenses,Cash % of Revenue,Diluted - Basic Shares,Diluted EPS,Operating Margin,Operating Expenses,Line of Credit Used,Interest & Dividends Payable,PP&E Gross,EBITDAR,A = L + SE,Inventories,Discontinued Operations NI,PV of Free Cash Flow to Firm,Pensions,Raw Materials,Other Non-Op Income (Loss),Bull,Discounted Residual Income (Bear)
0.0,0.0,0.0,2011-03-31 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.02675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.51575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.725,0.0,0.0,0.0,2.8885375,0.0,-91.90475,0.0
0.0,0.0,0.0,2011-06-30 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.2975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.998,0.0,0.0,0.0,4.902075,0.0,-94.9595,0.0
0.0,0.0,0.0,2011-09-30 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.56825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.01725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.271,0.0,0.0,0.0,6.9156125,0.0,-98.01425,0.0
-1.351,520.302016,253.3,2011-12-31 00:00:00,0.0,48.11,0.0,8.322,2.467,-32.289,85.854,-32.289,227.456,7.344,-79.88,6.839,7.599,285.502016,-53.396,61.863,574.078976,58.245848,14.76215,0.0,-148.843008,624.656016,234.8,4.768,-0.135,18.5,-41.588848,-3.928,624.656,-3.902,23.677,0.0329865643757768,92,-11.118,73.255,0.0,576.545976,75.649,-7.94885,0,-2.876,-79.88,-41.588848,-56.351,-41.641,-33.64,7.344,722.921984,-79.88,38.239,7.344,0.0169810585170112,38.765,0.0,-41.588848,0.0,-57.298,339.154,0.0,0.0,-79.88,234.8,197.544,-56.351,0.0,1.879,8.92915,0.0,-101.069,285.502016
-1.683,502.795008,272.896,2012-03-31 00:00:00,0.0,42.309,0.0,49.623,2.037,2.342,147.718,2.342,225.606,9.194,-72.466,12.81925,5.077,267.995008,-6.064,48.41,644.262976,0.0,11.8079,0.0,-176.87,688.609008,234.8,8.0775,0.0,63.096,-5.6991,-0.772,688.609024,-5.376,19.278,0.0,91,4.518,99.902,0.0,646.299976,19.278,-6.3581,0,1.85,-72.466,-5.6991,-17.507,-38.15,0.659,9.194,821.132992,-72.466,34.316,9.194,0.0,40.0,0.0,-5.6991,0.0483784342078083,-11.44,420.614,0.0,0.0,-72.466,209.8,208.9095,-17.507,-38.15,1.663,-29.1671255,0.0,-234.891494,267.995008
-0.847,521.839024,330.628992,2012-06-30 00:00:00,0.0,55.14,537.017024,7.783,9.907,4.064,90.467,4.064,140.011008,11.689,-111.779,18.7995,17.388,370.139024,-4.956,49.259,726.188032,34.65994400000001,-34.659952,0.665,-204.752,791.235016,151.7,11.387,-2.112,178.928992,-147.036944,-4.433,791.235008,-6.272,-53.761,0.0,91,-5.696,90.107,0.0,736.095032,115.837992,-150.253952,0,2.495,-111.779,-147.036944,-112.377,-86.132,3.217,11.689,930.940032,-111.779,25.647,11.689,0.0,88.627,0.0,-147.036944,0.0825026898637812,-11.228,421.095992,0.0,0.0,-111.779,151.7,220.275,-112.377,-169.232,3.66,-67.263401,0.0,-368.713988,370.139024
-0.828,569.365008,389.980992,2012-09-30 00:00:00,0.0,36.274,537.747008,12.377,14.048,3.674,113.239,3.674,211.626,4.674,-100.63,18.725,1.257,353.065008,-7.948,55.498,805.963008,0.0,20.95665,0.665,-235.444,856.285,216.3,14.016,-5.45,173.681,3.15365,5.01,856.284992,-6.45,29.938,0.0,92,2.596,103.995,0.0,820.011008,19.233,0.30765,0,-7.015,-100.63,3.15365,-17.804,-65.913,2.846,4.674,1041.406976,-100.63,34.717,4.674,0.0,58.898,0.0,3.15365,0.0662005838048218,-14.398,503.219992,0.0,0.0,-100.63,216.3,215.019,-17.803,-1.313,13.454,-150.233394,0.0,-232.686,353.065008
-9.396,1337.580992,905.001984,2012-12-31 00:00:00,0.0,89.472,829.672,16.434,27.13,20.68,135.427008,20.68,675.121984,18.878,-488.732992,30.76,22.757,643.580992,-11.573,89.839,1567.408,-8.53645,8.53645,0.666,-274.294016,1684.009984,694.0,18.006,-17.314,211.001992,6.12645,30.18,1684.009984,-6.823,2.131,-0.3231520256429476,92,2.436,127.845,0.0,1594.538,3.583,-5.15755,0,14.204,-488.732992,6.12645,-2.41,-446.164,11.284,18.878,1841.702016,-488.732992,42.569,18.878,-0.1242760563842569,460.368,0.0,6.12645,0.2301895613263727,-18.396,1040.428992,10.815,0.0,-488.732992,694.0,243.006,-2.41,32.536008,25.413,-143.455952,0.0,-636.358976,643.580992
-10.862,1433.574976,1013.540992,2013-03-31 00:00:00,0.0,135.283008,831.124992,16.854,25.968,13.06,168.818,13.06,745.825024,50.625,-132.538,41.478,37.631,637.124992,-11.026,86.142,1658.23296,-5.711,9.828,0.683,-316.270016,1819.483984,796.449984,19.545,-0.368,217.091,1.879,28.27,1819.484032,-5.955,16.358,-0.3096956994956198,90,15.547,155.574,0.0,1684.20096,12.629,-0.319,0,31.747,-132.538,-2.238,-7.949,-70.335,2.198,50.625,1974.50304,-132.538,62.203,50.625,-0.1083515172413124,102.082,0.0,-2.238,0.1516101321074505,-16.981,1182.358992,24.179,0.0,-132.538,796.449984,280.738,-7.949,28.038,24.797,-135.877844,0.0,-668.544,637.124992
-16.616,2163.223936,1741.46496,2013-06-30 00:00:00,0.0,127.598,496.380992,23.705,55.406,9.947,182.304992,9.947,1508.865024,12.285,-748.793984,47.361,31.243,642.073984,-15.272,102.516,2382.840064,10.509,-7.8,0.686,-369.099008,2565.843936,1521.149952,9.659,-24.278,220.315008,-4.462,-1.801,2565.843968,-6.579,-21.899,-0.0003823717385173,91,-27.395,173.422,0.0,2438.246064,-18.136,2.207,0,-38.34,-748.793984,-7.171,3.338,-738.156992,-6.669,12.285,2751.939072,-748.793984,10.637,12.285,0.0039898376224557,699.817024,0.0,-7.171,0.0970287564867923,-21.851,1923.769952,10.72,0.0,-748.793984,1521.149952,333.995,3.338,320.794016,50.775,6.6971,0.0,-1320.568992,642.073984
