Non-Operating Income (Loss),StockBased Compensation,Line of Credit Available,Equity Charge,WACC Discount Factor,Other Accrued Liabilities,Operating Leases,Line of Credit,Total Current Liabilities,BALANCE SHEET,Total Liabilities & Equity,Operating Income,NonCash Items,Days in Period,Net Share Repurchases,"Cash, Cash Equivalents & STI",Misc LT Assets,Rental Expense - Years 2 - 5,"Selling, General & Admin",Revenue,ST Debt,-Net Share Repurchases,LTM Basic EPS,Rental Expense - Year 1,ST Capital Leases,Rental Expense Beyond Year 5,Dep & Amort,Work In Process,Total Liabilities / Tangible Assets,Current Liabilities,Other Adjustments,Free Cash Flow (LTM),Deferred Compensation,Other Operating Expenses,Free Cash Flow to Firm,ST Deferred Tax Assets,Cash (Repurchase) of Equity,Free Cash Flow to Equity,Deferred Tax Liabilities,Repayments of LT Debt,Other PostRet Benefits,Effect of Foreign Exchanges,Income (Loss) from Cont Ops,year + weight + convention,Free Cash Flow to Firm Model,Dividends,Net Extraordinary Losses (Gains),Net Cash From Disc Ops (fin),Period Weight,Pretax Income,LT Marketable Securities,ST Borrowings,Dividend Yield (LTM),Free Cash Flow per Share,LT Receivables,Prepaid Expenses,Cash % of Revenue,Diluted - Basic Shares,Diluted EPS,Operating Margin,Operating Expenses,Line of Credit Used,Interest & Dividends Payable,PP&E Gross,EBITDAR,A = L + SE,Inventories,Discontinued Operations NI,PV of Free Cash Flow to Firm,Pensions,Raw Materials,Other Non-Op Income (Loss),Bull,Discounted Residual Income (Bear)
-45.0,33358.000256,15710.999552,2011-03-31 00:00:00,-0.4788213627992633,4000.999936,9168.0,3099.000064,787.0,1974.0,3956.999936,1974.0,7804.000256,356.0,-1696.0,6150.75008,562.0,25198.000384,-112,3921.999872,39046.00064,-287.049984,2.05,240,-30531.00032,44865.999872,8159.999872,5935.992832,19.0,7581.0,1136.050048,-83,44865.998848,0.0,130.0,0.1678031863657862,90,-371,2626.999936,130.92,40865.000704,280.0,-792.950016,543.0,222.0,-1696.0,1117.049984,1134.0,283.0,1928.999936,356.0,69576.998912,-1696.0,1979.000064,356.0,0.0936179863565914,-8.0,2.57,1117.049984,0.0,-112.0,19667.999488,418.0,130.92,-1748.999936,8129.999872,13175.909888,1134.0,283.000064,679.0,3468.273024,0.0,2007.632,25198.000384
-41.0,34519.00032,15377.999872,2011-06-30 00:00:00,0.0050150451354062,4899.999744,9210.000384,3151.000064,759.0,2227.000064,4483.999744,2227.000064,6744.999936,1107.000064,-1743.000064,6980.000128,665.0,26667.000064,-103,4386.999808,39837.999104,0.0,34.85,241,-31559.999488,46528.99968,7852.000256,6779.999744,7.0,7973.999936,1293.849984,165,46528.999424,0.0,-46.0,0.1793172622040615,91,207,2973.0,123.39,41628.999168,250.0,-892.150016,997.0,751.0,-1743.000064,1274.850048,1259.000064,1002.0,2185.999872,1107.000064,71397.998592,-1551.000064,2744.999936,1107.000064,0.10227723703719,-366.0,3.132,1274.850048,0.0,-103.0,19861.999616,494.0,123.39,-1628.0,7404.000256,14642.999808,1259.000064,866.999872,672.0,3935.700032,0.0,2197.900032,26667.000064
-37.0,35105.000768,15555.00032,2011-09-30 00:00:00,1.3682310469314078,4576.0,9258.000384,3209.999872,738.0,2108.999936,4024.0,2108.999936,6616.0,586.0,-1791.000064,7738.0,864.0,27903.000832,-112,4302.000128,41136.001024,295.900032,-14.9,241,-32624.001024,47482.001152,7201.999936,7559.999744,0.0,8769.999936,987.100032,-143,47481.99936,0.0,-9.0,0.1729426160756088,92,-230,2749.0,80.24,42906.001024,610.0,-1084.899968,277.0,-521.0,-1791.000064,968.099968,1002.0,656.0,2072.0,586.0,73759.997952,-1781.000064,2447.000064,586.0,0.098903752220922,-719.0,2.794,968.099968,0.0,-112.0,19579.00032,558.0,80.24,-2248.999936,6784.999936,15984.999936,1002.0,-4.0,645.0,4174.250048,0.0,2313.638016,27903.000832
-35.0,36209.00064,18094.999552,2011-12-31 00:00:00,0.6768402154398564,4802.999808,9306.999808,4038.000128,686.0,2035.000064,4962.999808,2035.000064,6920.999936,295.0,-1848.0,8391.000064,774.0,28993.000704,-132,4288.0,45447.999488,-39.15001600000005,58.15,241,-33770.999808,52051.000064,7215.999936,8232.999936,6.0,11310.00032,1247.149952,177,52051.001344,0.0,283.0,0.180224278843345,92,-45,3696.0,90.58,47247.999488,464.0,-752.849984,557.0,-291.0,-1848.0,1228.150016,1188.999936,934.0,2000.0,295.0,79218.999296,-1628.0,2782.000128,295.0,0.0977030851404343,-54.0,2.868,1228.150016,0.0,-132.0,23057.99936,470.0,90.58,-3019.000064,6784.999936,16899.00032,1188.999936,1150.000128,182.0,4664.150016,0.0,2875.000064,28993.000704
-40.0,37587.999296,18823.999488,2012-03-31 00:00:00,-0.6469300568442609,4953.999872,9347.999744,4108.0,1339.999936,2087.000064,4697.999872,2087.000064,7628.000256,245.0,-1967.000064,8458.000128,939.0,29714.999552,-128,4496.0,45829.001216,-380.99993599999993,367.0,241,-35511.001088,53236.998912,7872.999744,8304.999936,3.0,11379.999936,1164.0,-562,53236.998144,0.0,76.0,0.1759888669206401,91,-644,1059.0,100.44,48283.001344,114.0,-883.0,113.292,-50.0,-1967.000064,1144.999936,797.0,40.0,2047.000064,245.0,81339.998208,-1967.000064,2007.000064,245.0,0.0956566080928725,585.0,3.064,1144.999936,0.4641904056939501,-128.0,23521.99936,655.0,100.44,-2641.999872,7443.999744,17472.999936,797.0,678.0,1316.999936,4692.099968,0.0,2632.0,29714.999552
-45.0,40911.00032,21422.999552,2012-06-30 00:00:00,-1.8786217697729053,4639.000064,9980.99968,4368.0,1329.0,1440.999936,5120.999936,1440.999936,9877.000192,361.0,-2231.000064,7672.0,908.0,30673.000704,-132,3892.999936,50134.99904,-366.649984,438.649984,245,-37441.998848,57217.000192,10237.999616,7515.000064,-30.0,11753.000064,794.649984,-35,57216.999424,0.0,61.0,0.1500163923767355,91,448,1061.0,87.89,52577.999104,56.0,-601.350016,-638.5,116.0,-2231.000064,775.649984,356.0,561.0,1396.0,361.0,87577.001984,-2222.000064,2792.0,361.0,0.0808301045738272,2268.0,2.526,775.649984,0.3701515437168504,-132.0,26543.999488,676.0,87.89,-4944.0,9669.999616,16979.000064,356.0,2916.0,1304.0,4192.899968,0.0,2191.0,30673.000704
-40.0,42348.000768,22705.999872,2012-09-30 00:00:00,3.427874082330783,5043.999744,10028.000256,4431.000064,1488.0,1556.999936,5390.000128,1556.999936,11315.999744,318.0,-2775.000064,7120.0,976.0,30714.00064,-124,4095.000064,51164.000256,-569.4,488.4,245,-39462.998016,58810.00064,11634.000128,6960.0,16.0,12035.999936,668.4,-551,58809.99936,0.0,-100.0,0.1352563020176189,92,-627,1136.999936,86.47,53766.000128,41.0,-848.6,-260.17,-43.0,-2775.000064,649.4,180.0,-1152.0,1516.999936,318.0,90626.998272,-2758.000064,1623.000064,318.0,0.072897301446097,1308.0,2.271,649.4,0.3802197586485801,-124.0,28096.0,872.0,86.47,-2974.000128,10670.000128,16772.0,180.0,242.0,1482.0,3874.199936,0.0,383.0,30714.00064
-40.0,43676.000384,23869.999104,2012-12-31 00:00:00,0.8761467889908257,4961.999872,10104.000512,4449.999872,1206.0,1804.0,5536.0,1804.0,12184.999936,160.0,-2491.000064,6780.000256,808.0,31331.000576,-147,4405.000192,53279.997952,-396.0,71.0,245,-40867.00032,60736.99968,12344.999808,6608.0,1.0,12514.999872,739.0,-328,60736.999424,79.0,100.0,0.1177812314552621,92,-769,1092.0,78.5,55774.998016,580.0,-1025.0,-218.0,-158.0,-2491.000064,720.0,668.0,-409.0,1764.0,160.0,94147.002368,-2490.000064,2082.0,160.0,0.061779621524925,624.0,2.29,720.0,0.4095346018999674,-68.0,29405.999104,777.0,78.5,-2864.0,11354.999808,16375.000064,668.0,244.0,476.0,3484.0,0.0,-960.0,31331.000576
-55.0,44466.000256,24242.999296,2013-03-31 00:00:00,-2.2482758620689656,4848.0,10142.000128,4594.999808,1285.999936,1592.0,5561.999872,1592.0,12231.000064,248.0,-2801.999872,6393.999872,609.0,31987.000576,-112,4103.000064,54288.9984,-75.0,31.0,245,-42287.0016,61791.999744,12478.99968,6213.999872,12.0,12757.999616,809.0,189,61792.002048,0.0,143.0,0.0990767615446935,90,285,1226.0,77.16,56943.998464,249.0,-728.0,145.0,88.0,-2801.999872,790.0,717.0,-181.0,1536.999936,248.0,96575.995904,-2801.999872,2620.999936,248.0,0.0523528845590959,59.0,2.205,790.0,0.3880087680154616,-112.0,29804.999168,593.0,77.16,-2592.0,11484.99968,16496.000256,778.0,-66.999936,1284.999936,3011.049984,0.0,-1248.0,31987.000576
-52.0,45495.999616,25471.000576,2013-06-30 00:00:00,-1.2166072801706866,4758.000128,10174.000128,4678.000128,1402.0,1468.999936,5158.000128,1468.999936,12590.999552,184.0,-2739.000064,6421.999872,687.0,32720.99968,-126,4036.999936,55821.000704,188.0,-156.0,246,-43671.998464,63350.000384,12774.999936,6234.999808,-9.0,13174.000128,881.0,106,63350.001664,0.0,-227.0,0.0991598289237788,91,294,1346.0,83.83,58592.000768,99.0,-536.0,-92.333,-64.0,-2739.000064,862.0,1035.0,20.0,1416.999936,184.0,99493.003264,-2739.000064,2759.000064,184.0,0.0513805597227927,-51.0,2.006,862.0,0.3638840622463661,-126.0,30629.000704,600.0,83.83,-2772.0,12296.999936,16640.000256,1037.0,313.0,1338.0,3097.4,0.0,-1789.0,32720.99968
