Non-Operating Income (Loss),StockBased Compensation,Line of Credit Available,Equity Charge,WACC Discount Factor,Other Accrued Liabilities,Operating Leases,Line of Credit,Total Current Liabilities,BALANCE SHEET,Total Liabilities & Equity,Operating Income,NonCash Items,Days in Period,Net Share Repurchases,"Cash, Cash Equivalents & STI",Misc LT Assets,Rental Expense - Years 2 - 5,"Selling, General & Admin",Revenue,ST Debt,-Net Share Repurchases,LTM Basic EPS,Rental Expense - Year 1,ST Capital Leases,Rental Expense Beyond Year 5,Dep & Amort,Work In Process,Total Liabilities / Tangible Assets,Current Liabilities,Other Adjustments,Free Cash Flow (LTM),Deferred Compensation,Other Operating Expenses,Free Cash Flow to Firm,ST Deferred Tax Assets,Cash (Repurchase) of Equity,Free Cash Flow to Equity,Deferred Tax Liabilities,Repayments of LT Debt,Other PostRet Benefits,Effect of Foreign Exchanges,Income (Loss) from Cont Ops,year + weight + convention,Free Cash Flow to Firm Model,Dividends,Net Extraordinary Losses (Gains),Net Cash From Disc Ops (fin),Period Weight,Pretax Income,LT Marketable Securities,ST Borrowings,Dividend Yield (LTM),Free Cash Flow per Share,LT Receivables,Prepaid Expenses,Cash % of Revenue,Diluted - Basic Shares,Diluted EPS,Operating Margin,Operating Expenses,Line of Credit Used,Interest & Dividends Payable,PP&E Gross,EBITDAR,A = L + SE,Inventories,Discontinued Operations NI,PV of Free Cash Flow to Firm,Pensions,Raw Materials,Other Non-Op Income (Loss),Bull,Discounted Residual Income (Bear)
-15.053,2230.168064,801.395008,2011-03-31 00:00:00,0.0,144.324992,0.0,8.86,97.983,25.234,174.412992,25.234,722.556032,0.0,-6.481,60.915748,115.332,1507.612032,-6.361,96.068,2241.112064,0.0,50.3997,0.0,-464.849984,2483.420032,722.556032,-0.0325,-28.477,78.839,-8.5353,14.809,2483.419904,-3.129,76.873,0.0,90,26.2,129.779,0.0,2339.095064,68.451,-18.7163,0.0,-8.988,-6.481,-8.5353,-58.935,63.686,10.181,0.0,2705.961984,-6.481,70.167,0.0,0.0,41.523,0.0,-8.5353,0.0,-9.49,975.808,29.086,0.0,-120.678,722.556032,455.123504,-58.935,0.0,21.528,41.512763,0.0,53.75825,1507.612032
-15.606,2459.297984,989.014016,2011-06-30 00:00:00,0.0,174.123008,0.0,11.485,182.853,33.516,172.786,33.516,873.537984,3.943,-40.278,91.769496,136.701,1581.81696,-8.207,114.714,2386.640896,0.0,-58.8237,0.0,-503.828992,2743.616976,877.481024,26.336,-0.381,111.533,15.7993,-12.774,2743.617024,-2.304,-82.781,0.0278464100836866,91,-23.705,111.964,0.0,2569.493888,-48.996,-2.1107,0.0,3.943,-40.278,15.7993,74.623,1.458,17.91,3.943,2890.469888,-40.278,41.736,3.943,0.0166113551233134,154.619008,0.0,15.7993,0.0,-10.511,1161.800016,36.762,0.0,-192.412,877.481024,471.511008,74.623,156.458,23.221,40.688826,0.0,23.6495,1581.81696
-20.608,2865.299968,1315.305984,2011-09-30 00:00:00,0.0,228.132,0.0,11.866,268.334992,43.738,202.36,43.738,1168.226048,4.18,-203.846,122.623244,160.009992,1692.893952,-7.404,132.412,2714.093056,0.0,-89.391904,0.0,-548.446016,3210.559936,1172.406016,52.7045,-6.914,142.9,21.6861,20.441,3210.56,-1.105,-136.324992,0.0257090659454049,92,19.212,125.889,0.0,2982.428064,-86.746992,-1.4439,0.0,0.237,-203.846,21.6861,111.078,-117.303,23.13,4.18,3262.539008,-203.846,86.543,4.18,0.0143990982158299,288.086016,0.0,21.6861,0.0,-8.509,1517.665984,8.161,0.0,-374.392,1172.406016,487.898512,111.078,177.697,29.062,39.864889,0.0,-6.45925,1692.893952
-23.137,3276.136064,1574.936064,2011-12-31 00:00:00,0.0,333.641984,0.0,12.279,569.632976,50.989,255.058,50.989,1313.986944,3.343,-52.27,153.476992,298.182,1958.806016,-11.37,161.092,2880.413952,0.0,97.815904,0.0,-601.702016,3788.80008,1317.330048,79.073,0.069,257.606008,10.09085,-11.618,3788.8,-3.338,-397.948,0.0,92,-8.87,176.806,0.0,3455.157976,-242.436992,-17.76115,0.0,-0.837,-52.27,10.09085,265.912,15.591,27.852,3.343,3482.116096,-52.27,67.861,3.343,0.0,145.068992,0.0,10.09085,0.0,-14.708,1829.994064,49.632,0.0,-213.767008,1317.330048,504.286016,265.912,160.591,28.21,39.040952,0.0,-36.568,1958.806016
-24.37,3142.794944,1568.760064,2012-03-31 00:00:00,0.0,274.606016,0.0,33.01,404.047,48.915,376.296,48.915,1450.068992,18.989,-88.258,177.158,229.766008,1673.73696,-9.173,92.034,2937.473024,340.09965,-299.923648,0.0,-173.343008,3618.793024,1469.057984,93.437,-0.04,124.702,-12.36865,34.755,3618.79296,-1.804,-492.816992,0.022133755264534,91,20.694,288.676,0.0,3344.187032,-296.461984,-36.913648,0.0,3.15,-88.258,-12.36865,327.731008,12.233,24.545,18.989,3110.816,-88.258,100.491,18.989,0.011539289364259,-222.04,0.0,-12.36865,0.531488362996284,-10.977,1945.056064,69.187,0.0,124.699,1444.057984,500.252,287.555008,-209.767,32.611,35.2076,0.0,-88.021,1673.73696
0.0,0.0,0.0,2012-06-30 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,620.002016,0.0,0.0,0.0,-16.907972,0.0,-202.708496,0.0
0.0,0.0,0.0,2012-09-30 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.040504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-64.3525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,677.860016,0.0,0.0,0.0,-44.882434,0.0,-285.778744,0.0
0.0,0.0,0.0,2012-12-31 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.895008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-112.161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,735.718016,0.0,0.0,0.0,-72.856896,0.0,-368.848992,0.0
-221.940992,3513.27008,1994.034944,2013-03-31 00:00:00,0.0,195.044,0.0,39.632,363.323008,73.159,473.104,73.159,1882.723968,4.806,-549.652992,211.705008,153.176,1625.740032,-12.717,181.526,3534.067968,-75.064,75.064,0.0,-213.707008,4092.878976,1887.530048,-153.163502,7.759,131.505,27.067,35.506,4092.879104,-4.362,123.015,-0.0625894178079481,90,24.961,408.683,0.0,3897.834976,92.615,175.848992,0.0,-14.183,-549.652992,27.067,-47.997,-439.446016,-148.782,4.806,3747.774976,-549.652992,110.207,4.806,-0.026779191631352,423.495008,0.0,27.067,0.4030221566056653,-17.079,2467.138944,63.425,0.0,-547.884992,1862.530048,880.072,-47.997,0.0,33.748,-103.256172,-192.012992,-759.905736,1625.740032
-33.468,4200.149952,2590.683904,2013-06-30 00:00:00,0.0,327.904992,0.0,44.181,422.609016,71.852,477.531008,71.852,2432.349952,10.867,-1180.61696,258.515008,283.362992,1756.932992,-13.567,205.807008,4074.633984,114.74710000000002,-114.747104,0.0,-266.296,4825.147904,2443.21696,-194.166004,3.139,172.467,16.4459,22.658,4825.147904,-7.3,-54.906,0.0,91,14.723,372.545008,0.0,4497.242976,0.994,-21.9381,0.0,-8.122,-1180.61696,16.4459,83.196,-988.220032,38.384,10.867,4340.930048,-1180.61696,192.396992,10.867,0.0,977.889024,0.0,16.4459,0.3491231940945373,-20.867,3068.214912,78.142,0.0,-1178.407936,2418.21696,1024.425984,131.193,-13.469968,33.915,-133.655448,0.0,-1150.96248,1756.932992
