Non-Operating Income (Loss),StockBased Compensation,Line of Credit Available,Equity Charge,WACC Discount Factor,Other Accrued Liabilities,Operating Leases,Line of Credit,Total Current Liabilities,BALANCE SHEET,Total Liabilities & Equity,Operating Income,NonCash Items,Days in Period,Net Share Repurchases,"Cash, Cash Equivalents & STI",Misc LT Assets,Rental Expense - Years 2 - 5,"Selling, General & Admin",Revenue,ST Debt,-Net Share Repurchases,LTM Basic EPS,Rental Expense - Year 1,ST Capital Leases,Rental Expense Beyond Year 5,Dep & Amort,Work In Process,Total Liabilities / Tangible Assets,Current Liabilities,Other Adjustments,Free Cash Flow (LTM),Deferred Compensation,Other Operating Expenses,Free Cash Flow to Firm,ST Deferred Tax Assets,Cash (Repurchase) of Equity,Free Cash Flow to Equity,Deferred Tax Liabilities,Repayments of LT Debt,Other PostRet Benefits,Effect of Foreign Exchanges,Income (Loss) from Cont Ops,year + weight + convention,Free Cash Flow to Firm Model,Dividends,Net Extraordinary Losses (Gains),Net Cash From Disc Ops (fin),Period Weight,Pretax Income,LT Marketable Securities,ST Borrowings,Dividend Yield (LTM),Free Cash Flow per Share,LT Receivables,Prepaid Expenses,Cash % of Revenue,Diluted - Basic Shares,Diluted EPS,Operating Margin,Operating Expenses,Line of Credit Used,Interest & Dividends Payable,PP&E Gross,EBITDAR,A = L + SE,Inventories,Discontinued Operations NI,PV of Free Cash Flow to Firm,Pensions,Raw Materials,Other Non-Op Income (Loss),Bull,Discounted Residual Income (Bear)
0.131094,420.369064,144.959152,2011-03-31 00:00:00,0.0,16.182505,356.542144,6.086449,3.395556,6.618292,26.564096,6.618292,62.731952,0.768048,-17.518172,17.22811825,1.330088,356.869064,-2.238554,21.436696,508.81424,-4.049803,4.049803,0.029123,-6.257103,528.392312,63.5,21.778988,-0.986816,81.459157,4.376723,-1.82705,528.39232,-1.578383,5.654577,0.0,90,-2.374812,34.25408,0.0,512.209796,5.846577,-2.372663,0.0,0.768048,-17.518172,4.376723,0.32692,-7.332042,6.749386,0.768048,515.07136,-17.518172,10.186129,0.768048,0.0,7.113184,0.0,4.376723,0.0,-3.816937,171.523248,1.052061,0.0,-16.531265,63.5,67.634065,0.32692,0.767957,2.923798,17.2242475,0.843866,-37.55839475,356.869064
-1.01723,457.211467,178.001568,2011-06-30 00:00:00,0.0,18.784562,356.538528,7.043667,4.269678,8.943394,26.63658,8.943394,92.8,0.0,-42.5317,23.3081775,1.969557,364.411467,-2.698101,24.89236,545.995392,2.783359,-2.78335925,0.029123,-13.992762,569.049615,92.8,24.966256,-0.827598,85.201576,4.924386,1.377779,569.0496,-1.494563,-4.014793,0.0,91,-2.293805,18.238632,0.0,550.26507,0.485717,-3.001778,0.0,-0.768048,-42.5317,4.924386,7.707745,-29.24045,7.926164,0.0,559.98816,-42.5317,13.29125,0.0,0.0,28.472402,0.0,4.924386,0.0,-4.192664,204.638148,0.838486,0.0,-42.5317,92.8,79.322662,7.707745,0.05955,3.442377,17.184799,-0.165225,-59.1343565,364.411467
-1.125433,501.417555,222.085264,2011-09-30 00:00:00,0.0,24.294878,356.611264,7.95326,6.153619,8.5285,35.499844,8.5285,131.947432,0.152569,-53.439588,29.376185,4.304534,369.317555,-4.179301,26.85424,596.454144,2.73087375,-2.73087375,0.029123,-21.16645,626.902663,132.1,30.284954,-1.21484,89.985269,2.102478,2.313821,626.902656,-1.360654,-3.873831,0.0,92,0.472386,28.972472,0.0,602.607763,2.897228,-5.300589,0.0,0.152569,-53.439588,2.10247825,4.833352,-37.932592,7.403067,0.152569,617.620608,-53.439588,15.506996,0.152569,0.0,38.08516,0.0,2.10247825,0.0,-5.539955,257.585108,0.885097,0.0,-53.439588,132.1,89.543026,4.833352,1.367408,4.401924,14.3793,-0.003526,-79.548454,369.317555
-1.339,534.581519,97.836552,2011-12-31 00:00:00,0.0,32.127004,515.452064,9.053746,4.0971,7.743,38.530944,7.743,4.510326,2.089674,-46.399924,35.468296,3.165419,527.981519,-8.497,34.444,628.124928,-4.46115,4.46615,0.039478,-31.538204,664.349015,6.6,31.340792,-0.660021,91.236553,4.28515,2.811379,664.348992,-2.451,7.039534,0.0386852967870325,92,-2.839963,27.068326,0.0,632.222028,11.210999,-2.11885,0.0,1.937105,-46.399924,4.28515,-0.176836,-27.781194,6.404,2.089674,659.663104,-46.399924,18.618728,2.089674,0.0289819393197055,29.7183,0.0,4.28515,0.0,-10.948,136.367496,1.868016,0.0,-46.399924,6.6,102.699856,-0.181,-153.281196,3.418626,17.105902,-0.009,-102.28628,527.981519
0.611896,558.798232,121.002688,2012-03-31 00:00:00,0.0,43.555336,516.122624,11.326251,3.596162,17.760268,66.875108,17.760268,21.6,0.0,-34.600536,42.975162,2.859756,537.198232,-5.964718,46.619292,677.924544,-2.913271,2.9815305,0.039478,-43.246712,725.076028,21.6,40.105395,-0.035058,99.402688,11.459424,2.123989,725.076032,-4.785932,3.709325,0.0509389804366583,91,-12.418759,51.556908,0.0,681.520706,9.72992,-6.9127395,0.0,-2.089674,-34.600536,11.459424,8.546153,-16.91524,18.372164,0.0,721.171264,-34.600536,17.685294,0.0,0.0363334869423173,14.964942,0.0,11.459424,0.3809639151105083,-10.75065,187.877796,1.974266,0.0,-34.739912,21.6,132.809892,8.477894,-1.915242,3.259565,22.771438,1.173412,-111.869476,537.198232
-0.739588,622.100112,175.097472,2012-06-30 00:00:00,0.0,50.84376,516.9184,13.284025,14.210135,19.702198,75.452912,19.702198,59.994624,2.605378,-76.878592,53.733966,9.269451,559.500112,-7.110385,51.585424,744.996608,10.386609,-10.074059,0.040012,-52.02326,810.050496,62.6,51.141841,-0.592138,112.497467,11.119494,1.080147,810.050496,-4.783956,-13.65851,0.062704152450069,91,2.810971,128.862384,0.0,759.206743,0.600535,-7.8431165,0.0,2.605378,-76.878592,11.119494,21.506104,-38.17444,18.96261,2.605378,797.01984,-76.878592,38.704152,2.605378,0.0420078949802349,40.407864,0.0,11.119494,0.3819334314282266,-11.894341,250.550384,1.899507,0.0,-76.50664,62.6,159.502956,21.193552,2.82556,12.134491,28.966546,-0.084895,-120.803466,559.500112
-1.123462,686.664616,271.10656,2012-09-30 00:00:00,0.0,52.690204,518.362016,47.825492,8.933444,15.006997,90.066632,15.006997,117.454416,4.845583,-98.899936,60.212463,4.229694,564.364616,-9.335266,58.235012,863.914176,-5.384302,7.16095,0.040057,-69.63104,925.537808,122.3,57.622309,-0.050232,148.806561,8.805189,4.151781,925.537792,-7.732582,12.551011,0.0764055652081204,92,-1.189259,125.9878,0.0,872.84762,15.740493,-5.078346,0.0,2.240205,-98.899936,8.805189,3.420887,-62.641564,13.883535,4.845583,933.545216,-93.687936,36.258372,4.845583,0.0459524963369158,59.649768,0.0,8.805189,0.2576971564803662,-17.067848,361.173192,1.515475,0.0,-93.667936,122.3,190.883728,1.644239,2.270436,8.382667,35.669257,0.002172,-145.512438,564.364616
-1.841,736.517504,321.369312,2012-12-31 00:00:00,0.0,55.303536,519.465472,51.784584,3.429711,26.967,102.603008,26.967,153.732336,4.267667,-103.761624,79.436672,5.209879,578.517504,-8.995,74.04,943.756544,-1.2950500000000016,1.09005,0.040116,-89.669728,1002.489824,158.0,75.171184,-0.903544,163.369298,14.34505,14.087229,1002.489792,-5.438,4.105128,0.0797856285138355,92,11.502681,72.850272,0.0,947.186255,15.89159,-10.78095,0.0,-0.577916,-103.761624,14.34505,13.049434,-38.773888,25.126,4.267667,1033.426304,-99.636624,64.987736,4.267667,0.0539544153059495,34.796456,0.0,14.34505,0.3642220421393841,-14.433,423.97232,3.031815,0.0,-100.362104,158.0,230.479856,13.255,1.05101,3.429711,44.966656,-0.05,-156.505136,578.517504
-1.826,782.74324,363.565792,2013-03-31 00:00:00,0.0,61.771256,520.935392,53.716936,3.797249,23.766,93.941248,23.766,188.3296,3.170403,-69.929,85.442195,3.64705,591.24324,-13.166,76.8,983.18176,-2.12185,2.34585,0.040269,-117.212368,1048.75028,191.5,79.912145,-2.96,172.065808,13.61885,-4.987,1048.750272,-5.374,5.549,0.0844484790434926,90,-11.899,62.292672,0.0,986.979009,16.975,-8.32115,0.0,-1.097,-69.929,13.37785,11.256,-30.13,21.94,3.170403,1100.394112,-69.929,39.799,3.170403,0.0539946700440856,30.54,0.0,13.37785,0.309453125,-18.54,457.50704,2.950855,0.0,-71.436,191.5,260.660436,11.273,3.37,3.262256,47.888583,0.137,-169.719892,591.24324
-5.956,908.424064,481.147712,2013-06-30 00:00:00,0.0,110.814888,523.401312,54.500936,13.766825,31.653,105.520832,31.653,253.915344,46.084656,-107.725,97.392997,3.819614,608.424064,-13.283,93.565,1070.510912,0.0,0.9659,0.040287,-146.579392,1195.092608,300.0,86.646535,2.914,181.147728,15.8489,4.17,1195.092608,-6.214,-6.95,0.0890502826615004,91,1.739,76.370016,0.0,1084.277737,4.957,-9.8481,0.0,42.914,-107.725,15.4739,14.715,-56.696,25.697,46.084656,1217.090304,-107.725,51.029,46.084656,0.0524830261690888,101.017,0.0,15.4739,0.3382995778335916,-19.497,586.668544,2.397342,0.0,-109.132,300.0,302.640012,14.883,41.407,10.483329,52.617989,-0.086,-188.241452,608.424064
