Non-Operating Income (Loss),StockBased Compensation,Line of Credit Available,Equity Charge,WACC Discount Factor,Other Accrued Liabilities,Operating Leases,Line of Credit,Total Current Liabilities,BALANCE SHEET,Total Liabilities & Equity,Operating Income,NonCash Items,Days in Period,Net Share Repurchases,"Cash, Cash Equivalents & STI",Misc LT Assets,Rental Expense - Years 2 - 5,"Selling, General & Admin",Revenue,ST Debt,-Net Share Repurchases,LTM Basic EPS,Rental Expense - Year 1,ST Capital Leases,Rental Expense Beyond Year 5,Dep & Amort,Work In Process,Total Liabilities / Tangible Assets,Current Liabilities,Other Adjustments,Free Cash Flow (LTM),Deferred Compensation,Other Operating Expenses,Free Cash Flow to Firm,ST Deferred Tax Assets,Cash (Repurchase) of Equity,Free Cash Flow to Equity,Deferred Tax Liabilities,Repayments of LT Debt,Other PostRet Benefits,Effect of Foreign Exchanges,Income (Loss) from Cont Ops,year + weight + convention,Free Cash Flow to Firm Model,Dividends,Net Extraordinary Losses (Gains),Net Cash From Disc Ops (fin),Period Weight,Pretax Income,LT Marketable Securities,ST Borrowings,Dividend Yield (LTM),Free Cash Flow per Share,LT Receivables,Prepaid Expenses,Cash % of Revenue,Diluted - Basic Shares,Diluted EPS,Operating Margin,Operating Expenses,Line of Credit Used,Interest & Dividends Payable,PP&E Gross,EBITDAR,A = L + SE,Inventories,Discontinued Operations NI,PV of Free Cash Flow to Firm,Pensions,Raw Materials,Other Non-Op Income (Loss),Bull,Discounted Residual Income (Bear)
-8.874,1675.913984,822.246976,2011-03-31 00:00:00,0.3571265822784809,140.934,481.027008,9.36,17.481,-8.154,161.578,-8.154,511.353984,85.152,-158.14,-19.486,21.592,1079.408,-8.428,88.038,1904.818048,18.839,-13.041,23.813,-1062.48,2063.232976,596.505984,-38.795,-6.577,225.740992,-10.637,-0.38,2063.233024,-9.537,-10.221,-0.0286827894412732,90,-5.679,145.564,154.7,1922.299048,-6.123,6.391,-79.0,2.464,-158.14,-10.637,2.404,-107.213,-17.028,85.152,2967.298048,-124.399,50.927,4.196,-0.0156666756711664,75.936,-0.537,-10.637,0.0,-17.965,983.824976,21.592,154.7,-124.399,596.505984,331.09,2.404,9.528,17.481,-30.9558,1.41,-362.241,1079.408
-10.327,1768.924992,919.139968,2011-06-30 00:00:00,0.4919722222222222,130.485,484.752,9.508,16.677,8.352,172.024,8.352,625.601984,66.038,-174.396992,-12.082,24.241,1077.284992,-8.917,112.451,2021.28704,-4.2801,-5.5169,23.824,-1137.074944,2168.44896,691.64,-34.263,0.0,227.5,-1.5679,-8.91,2168.449024,-0.082,-7.568,-0.0259747743299538,91,-10.242,160.597,143.95,2037.96404,-1.421,0.4071,-72.0,-0.64,-174.396992,-1.5679,3.949,-107.422,-1.975,66.038,3158.362112,-162.489992,66.975,3.556,-0.0137366699414111,94.875,-0.222,-1.5679,0.0,-8.999,1091.163968,24.241,143.95,-162.49,691.64,352.859,3.949,-0.514992,16.677,-27.74115,0.083,-381.104,1077.284992
-9.801,1809.907008,979.660032,2011-09-30 00:00:00,-0.0426499999999999,89.728,488.697984,9.649,15.863,12.06,153.352,12.06,710.523008,36.251,-157.088,-2.143,12.772,1063.132992,-8.628,119.422,2090.553984,-17.7901,-1.6169,23.823,-1214.497024,2196.145024,746.774016,-27.122,0.0,232.885992,-0.3079,12.426,2196.144896,-0.447,-1.197,-0.0219126277460353,92,14.099,152.188,77.3,2106.416984,6.721,-2.5669,-60.0,0.988,-157.088,-0.3079,1.309,-57.441,2.259,36.251,3305.05088,-153.659,99.647,4.544,-0.0113077421414092,55.0,-0.452,-0.3079,0.0,-9.075,1133.012032,12.772,77.3,-153.659008,746.774016,392.561,1.309,0.988,15.863,-23.36595,0.187,-340.272,1063.132992
-11.796,2234.533024,1415.052032,2011-12-31 00:00:00,8.047272727272727,113.09,492.772,16.439,16.949,7.3,187.207008,7.3,1140.806016,56.102,-564.955008,19.558,9.906,1037.624992,-9.199,114.456,2509.844992,-39.489,37.6,24.063,-1353.458944,2639.884032,1196.908032,-21.24,-2.513,218.143992,-3.534,-7.357,2639.884032,-0.082,58.861,-0.0091493222724242,92,-11.445,179.543,76.5,2526.793992,41.69,0.962,-55.0,3.916,-564.955008,-3.534,-41.134,-497.6,-4.496,56.102,3863.303936,-564.955008,67.355,8.46,-0.0041853800242961,448.099008,-0.625,-3.534,0.0,-9.281,1602.25904,9.906,76.5,-511.537984,1196.908032,434.367008,-41.134,-47.600008,16.949,-9.63495,0.21,-720.598976,1037.624992
-12.064,2234.399072,1433.25504,2012-03-31 00:00:00,-0.8438399940545863,176.799008,494.902016,15.93,16.201,-9.464,250.06,-9.464,1186.137984,20.904,-141.584992,18.248,110.885,1027.357024,-8.798,102.418,2517.671936,-15.208399999999996,-15.0466,24.058,-1233.116032,2710.672064,1207.042048,-25.74,-1.467,226.213,-13.6296,48.438,2710.671872,-1.353,-20.853,-0.0180745358719226,91,53.508,241.927992,79.14999999999999,2533.872936,-15.663,7.8984,-53.823,-4.71,-141.584992,-13.6296,1.375,-8.405,-21.528,20.904,3750.788096,-141.584992,133.18,3.75,-0.0079764471286191,8.533,-0.836,-13.6296,-0.0924056318225312,-10.151,1683.31504,19.365,79.14999999999999,-146.423008,1207.042048,448.747,1.417,1.595008,16.201,-19.0394,0.239,-670.868,1027.357024
-13.068,2264.527936,1443.293056,2012-06-30 00:00:00,-6.101667227213761,86.062,497.961984,16.528,28.031,-23.857,176.726,-23.857,1204.525952,18.709,-117.002,-13.961,32.698,1041.292992,-9.033,93.048,2547.218944,44.05305,-32.41805,24.081,-1353.070976,2661.312048,1223.234944,-60.69,-6.738,220.058,-15.70805,-65.61,2661.312,-0.037,-46.572,-0.0313224721965202,91,-52.8,167.964,82.10000000000001,2575.249944,-46.667,21.21695,20.813,1.858,-117.002,-15.70805,7.165,-106.181,-36.925,18.709,3900.290048,4.32,10.821,3.505,-0.0137396239006959,9.174,-1.736,-15.70805,-0.2563945490499527,-9.07,1620.019056,14.162,82.10000000000001,-18.137,1223.234944,429.344,16.71,31.053,21.796,-33.17955,0.283,-669.627,1041.292992
-15.374,2250.122944,1446.43904,2012-09-30 00:00:00,-2.899647266313933,88.029,501.28,16.846,23.786,-22.744,200.086,-22.744,1221.168,17.641,-60.155,-39.764,28.293,1011.313984,-8.142,100.434,2546.023936,4.638099999999998,9.0389,24.081,-1475.913984,2657.839024,1238.80896,-94.178,1.504,207.63,-35.1731,22.537,2657.839104,-1.407,14.759,-0.070978194045679,92,17.083,194.068,91.9,2569.809936,10.299,2.9449,-11.34,-3.039,-60.155,-35.1731,-30.449,21.542,-38.118,17.641,4021.93792,-1.836,81.697,2.569,-0.0303339483607692,14.823,-1.247,-35.1731,-0.2264571758567815,-9.549,1646.52504,17.47,91.9,-99.559,1238.80896,429.915,-44.212,94.861,20.95,-73.62025,0.153,-682.497008,1011.313984
-21.564,2257.916992,1492.944,2012-12-31 00:00:00,2.7621145374449334,79.9,504.799008,18.66,531.310016,-77.7,143.419008,-77.7,1307.6,16.783,-103.997,-133.765,28.444,933.534016,-7.825,98.68,1958.686976,-12.1537,10.9967,24.204,-1546.48704,2569.897024,1324.382976,-200.492992,-1.709,168.560992,-65.9973,-37.109,2569.89696,-58.652,82.229,-0.1354390989851591,92,-33.369,104.799,75.600625,2489.996992,46.551,33.2667,-17.933,1.902,-103.997,-65.9973,-78.151,-67.466,-99.264,16.783,3505.174016,-103.997,36.531,4.471,-0.0512443806006346,84.972,-1.835,-65.9973,-0.7873935954600729,-66.477,1636.363008,9.225,75.600625,-119.601,1324.382976,394.58,-76.994,17.534,19.944,-133.486,-4.839,-122.805,933.534016
-17.333,2236.83904,1494.774016,2013-03-31 00:00:00,-2.1044561271748656,673.724992,504.708992,19.019,18.942,-18.536,225.851008,-18.536,1328.113024,6.844,-62.058,-137.319,628.459992,901.881984,-8.787,97.34,1929.84,-7.623499999999996,0.5785,24.152,-1630.947968,2622.507008,1334.957056,-203.015,-3.319,159.817,-23.9385,35.461,2622.507008,-2.593,4.92,-0.1482965038616926,90,15.737,174.326,81.25,1948.782,-2.365,11.9305,-31.956,2.373,-62.058,-23.9385,-27.144,35.294,-35.869,6.844,3560.787968,-62.058,97.352,6.844,-0.0536451910647332,6.681,-2.349,-23.9385,-0.1904253133347031,-11.38,1720.625024,63.123,81.25,-101.66,1334.957056,414.175,-24.517,45.294,18.942,-143.0497,0.245,-219.430008,901.881984
-21.925,1911.705024,1111.714944,2013-06-30 00:00:00,-1.202743588792234,334.505984,507.544,18.862,17.907,-14.552,122.126,-14.552,619.587008,263.736992,-70.768,-132.742,31.712,1028.380992,-9.056,110.701,1909.809024,153.1535,-1.9175,24.158,-1700.830976,2262.221936,883.324032,-206.379,-0.391,228.390992,-23.4485,-23.301,2262.22208,-9.754,11.027,-0.1414659517699189,91,-24.337,120.893,78.64999999999999,1927.716024,2.529,13.0285,296.473,256.892992,-70.768,-23.4485,129.705,-60.108,-36.477,263.736992,3610.639872,-70.768,10.66,263.736992,-0.0594671216330851,-458.656992,-1.342,-23.4485,-0.1314531937380872,-18.81,1233.840944,28.188,78.64999999999999,704.889984,883.324032,420.186,-21.531,-512.332992,17.907,-146.3942,-2.685,-124.047,1028.380992
