Non-Operating Income (Loss),StockBased Compensation,Line of Credit Available,Equity Charge,WACC Discount Factor,Other Accrued Liabilities,Operating Leases,Line of Credit,Total Current Liabilities,BALANCE SHEET,Total Liabilities & Equity,Operating Income,NonCash Items,Days in Period,Net Share Repurchases,"Cash, Cash Equivalents & STI",Misc LT Assets,Rental Expense - Years 2 - 5,"Selling, General & Admin",Revenue,ST Debt,-Net Share Repurchases,LTM Basic EPS,Rental Expense - Year 1,ST Capital Leases,Rental Expense Beyond Year 5,Dep & Amort,Work In Process,Total Liabilities / Tangible Assets,Current Liabilities,Other Adjustments,Free Cash Flow (LTM),Deferred Compensation,Other Operating Expenses,Free Cash Flow to Firm,ST Deferred Tax Assets,Cash (Repurchase) of Equity,Free Cash Flow to Equity,Deferred Tax Liabilities,Repayments of LT Debt,Other PostRet Benefits,Effect of Foreign Exchanges,Income (Loss) from Cont Ops,year + weight + convention,Free Cash Flow to Firm Model,Dividends,Net Extraordinary Losses (Gains),Net Cash From Disc Ops (fin),Period Weight,Pretax Income,LT Marketable Securities,ST Borrowings,Dividend Yield (LTM),Free Cash Flow per Share,LT Receivables,Prepaid Expenses,Cash % of Revenue,Diluted - Basic Shares,Diluted EPS,Operating Margin,Operating Expenses,Line of Credit Used,Interest & Dividends Payable,PP&E Gross,EBITDAR,A = L + SE,Inventories,Discontinued Operations NI,PV of Free Cash Flow to Firm,Pensions,Raw Materials,Other Non-Op Income (Loss),Bull,Discounted Residual Income (Bear)
-65.0,26032.000256,9566.999552,2011-03-31 00:00:00,-1.209689349112426,5599.000064,5071.000064,2411.000064,1719.0,893.0,5753.999872,893.0,3856.0,2947.000064,-1827.000064,3796.0,1383.0,19229.000192,-130,2416.999936,21080.999936,52.0,162.0,43,-45063.999488,34549.999616,6803.000064,3514.0,0,5767.000128,551.0,-171,34550.001664,0.0,235.0,0.1096617289409684,90,-171,1352.999936,91.77,28951.000064,515.0,-277.0,2704.0,-1574.0,-1827.000064,555.0,416.0,-567.0,828.0,2947.000064,66145.001472,-1822.000064,1260.0,1311.000064,0.0608337021033107,520.0,1.302,555.0,0.0,-130.0,15320.999424,555,91.77,-3374.000128,3800.0,9765.999872,389.0,634.999872,1688.0,1984.0,16.0,-1813.0,19229.000192
-138.0,29358.000256,12625.000448,2011-06-30 00:00:00,-1.12090236164963,8910.999552,4530.999808,2231.000064,1023.0,1131.000064,4483.999744,1131.000064,1212.0,6718.000128,-1892.999936,3941.000064,747.0,21428.000256,-135,2868.0,22427.000832,2138.150016,492.849984,42,-45643.001856,38537.000448,7930.0,3591.0,0,6657.00032,676.849984,82,38536.998912,0.0,-2968.999936,0.1254561133372989,91,82,1364.999936,78.81,29626.000896,-1810.999936,-316.150016,2837.0,1635.000064,-1892.999936,674.849984,2743.000064,-343.0,993.0,6718.000128,68069.998592,-1892.999936,1550.0,3351.000064,0.0700020449209386,498.0,1.536,674.849984,0.0,-135.0,17109.000192,393,78.81,-425.0,5968.0,10190.999808,184.0,800.000128,909.0,2397.849984,-53.0,-1579.0,21428.000256
-102.0,30358.999808,12732.99968,2011-09-30 00:00:00,-0.5556818181818182,9607.000064,3868.0,1935.000064,1138.0,1050.0,6031.000064,1050.0,2408.0,6848.999936,-1795.000064,4059.000064,1328.0,21101.999872,-138,2875.000064,23170.000896,-227.449984,-383.550016,41,-44999.999488,39865.999616,9256.999936,3682.0,0,6764.0,656.449984,-219,39865.99936,0.0,-734.0,0.1269457157706685,92,-219,1512.0,55.44,30259.000832,12.0,-291.550016,-880.0,2267.000064,-1795.000064,656.449984,1038.0,-391.0,948.0,6848.999936,68169.998336,-1787.000064,1404.0,5617.999872,0.070300715867796,555.0,1.45,656.449984,0.0,-138.0,18763.999744,601,55.44,350.0,5968.999936,10672.999936,1040.0,933.999872,923.0,2521.299968,2.0,-1742.0,21101.999872
-156.0,31210.000896,12949.000192,2011-12-31 00:00:00,-0.9745762711864406,9304.999936,3547.000064,1995.000064,1025.0,1034.0,6737.999872,1034.0,2721.999872,7057.999872,-2019.000064,4140.999936,868.0,21430.000896,-182,2840.999936,24774.00064,0.0,54.6,40,-46001.999872,41117.00096,9780.0,3711.000064,0,6979.999872,575.6,493,41116.99968,0.0,278.0,0.0863726848567342,92,493,1471.000064,62.0,31812.000768,393.0,-302.4,-354.0,-63.0,-2019.000064,575.6,507.0,-9.0,878.0,7057.999872,70775.996416,-1903.000064,2010.0,5554.999808,0.0474569177766062,118.0,1.485,575.6,0.0,-182.0,19687.000064,206,62.0,-2196.999936,5968.999936,10965.000192,521.0,636.999936,870.0,1756.950016,-74.0,-1310.0,21430.000896
-97.0,32795.001088,14387.00032,2012-03-31 00:00:00,-10.169638308711155,9077.999616,3604.0,2656.999936,899.0,721.0,6262.000128,721.0,3728.999936,7109.999744,-2088.0,3936.000064,861.0,21956.001024,-168,2510.000128,26560.999424,123.0,8.0,40,-46947.999744,42605.001472,10839.000064,3443.0,0,7668.000192,422.0,-321,42604.998656,0.0,69.0,0.1132888138458371,91,-321,1079.000064,71.12,33526.999552,248.0,-202.0,115.817,273.0,-2088.0,426.0,393.0,-1062.0,624.0,7109.999744,73509.003264,-2088.0,1026.0,5827.999744,0.0604212289114795,1048.0,1.432,426.0,0.2872509813672806,-168.0,20649.000448,246,71.12,-1810.0,6719.000064,11094.000128,414.0,45.0,828.0,2330.899968,-10.0,-1805.0,21956.001024
-143.0,32828.000256,16284.000256,2012-06-30 00:00:00,17.365853658536587,9217.000448,3644.0,2713.999872,1005.0,479.0,4960.999936,479.0,3558.000128,7045.000192,-2179.000064,3284.0,1167.0,22225.000192,-176,2160.999936,27241.00096,99.0,-259.0,40,-47331.00032,43470.000384,10603.000064,2786.0,0,7828.999872,218.0,343,43470.000128,0.0,-304.0,0.0856779586652985,91,343,1510.0,57.99,34253.000704,-78.0,-118.0,-41.0,273.0,-2179.000064,212.0,477.0,-753.0,336.0,7045.000192,74571.997184,-1315.000064,1426.0,6101.000192,0.0456558587904645,-220.0,0.8200000000000001,212.0,0.2216566470088039,-176.0,21245.000192,380,57.99,-962.0,8455.000064,10387.000064,477.0,-29.000192,787.0,1872.049984,-44.0,-2215.0,22225.000192
-102.0,33016.001024,16270.999552,2012-09-30 00:00:00,1.5521380536544491,9432.999936,3684.999936,2844.999936,855.0,607.0,5496.0,607.0,3732.999936,7501.999872,-1960.999936,2841.0,818.0,21781.00096,-150,2403.000064,27146.000384,-753.0,1068.0,41,-49669.001216,43548.000512,11235.000064,2343.0,0,7815.999936,349.0,-304,43548.000256,0.0,1739.000064,0.0728307240492698,92,26,1484.999936,60.5,34115.00032,1338.000064,-156.0,-235.097,-763.0,-1960.999936,348.0,-719.0,-600.0,505.0,7501.999872,76814.999552,-1427.999936,1360.999936,5337.999872,0.037514086537097,527.0,0.687,348.0,0.2526009087946491,-150.0,21766.999552,428,60.5,-2644.0,8455.000064,9915.000064,-719.0,533.0,780.0,1564.6,8.0,-2424.0,21781.00096
-102.0,32922.00064,16044.99968,2012-12-31 00:00:00,0.164879563183804,8970.999808,3728.999936,2623.000064,960.0,595.0,6002.999808,595.0,4664.0,6980.000256,-1996.999936,2336.0,868.0,21278.00064,-198,2604.0,27316.000768,-761.6,653.6,41,-51031.998464,43326.000128,11644.0,2019.000064,0,7590.000256,296.6,304,43326.001152,-39.0,1055.0,0.0597358787170012,92,-98,1451.000064,52.04,34355.000832,867.0,-196.4,-733.123,-701.0,-1996.999936,296.6,-357.0,-854.0,493.0,6980.000256,78348.00128,-1925.999936,1143.000064,4637.000192,0.0302831477660009,274.0,0.75,296.6,0.2284946236559139,-237.0,22047.999488,343,52.04,-2110.0,8455.000064,9678.000128,-357.0,-428.999872,876.0,1278.599936,8.0,-3268.999936,21278.00064
-105.0,31860.0,15073.999872,2013-03-31 00:00:00,0.2078431372549019,8402.999808,3758.000128,2852.999936,780.0,500.0,6800.0,500.0,5650.999808,6500.999808,-1926.0,2181.0,533.0,19708.000256,-150,2376.999936,26382.000128,-1780.0,1600.999936,41,-53267.001344,41582.000128,12151.999744,1729.0,0,7118.999808,262.0,-119,41581.99808,-22.0,2417.999872,0.0536962349094858,90,-158,1408.999936,56.42,33179.00032,1794.999872,-133.0,-765.0,638.0,-1926.0,262.0,-1339.000064,-924.0,395.0,6500.999808,79648.997376,-1897.0,1002.0,5274.999808,0.0267404716557295,430.0,0.551,262.0,0.210349185301787,-172.0,21873.999872,428,56.42,-782.0,7954.999808,9544.999936,-1339.000064,-387.0,717.0,1125.6,-2.0,-3131.0,19708.000256
-103.0,30215.999232,15089.000448,2013-06-30 00:00:00,-0.1524173263742335,6357.000192,3788.0,2868.0,821.0,797.0,4864.999936,797.0,5918.000128,4232.000064,-1643.000064,2499.0,587.0,20065.999616,-167,2736.0,26925.000704,-69.64998400000002,-191.35,41,-53353.00096,40020.0,10149.999616,2087.0,2,7133.0,491.649984,30,40020.000768,-32.0,-173.0,0.0658887229115091,91,30,1196.999936,51.88,33663.000576,9.0,-202.35,-291.41700000000003,-1912.0,-1643.000064,486.649984,683.0,-247.0,694.0,4232.000064,80278.003712,-1638.000064,1396.0,3363.000064,0.0335189835664988,-2088.999936,0.951,486.649984,0.2913011695906433,-199.0,19954.000384,256,51.88,-1196.999936,7955.999744,10120.0,683.0,-2245.000128,712.0,1399.249984,0.0,-2625.0,20065.999616
