Non-Operating Income (Loss),StockBased Compensation,Line of Credit Available,Equity Charge,WACC Discount Factor,Other Accrued Liabilities,Operating Leases,Line of Credit,Total Current Liabilities,BALANCE SHEET,Total Liabilities & Equity,Operating Income,NonCash Items,Days in Period,Net Share Repurchases,"Cash, Cash Equivalents & STI",Misc LT Assets,Rental Expense - Years 2 - 5,"Selling, General & Admin",Revenue,ST Debt,-Net Share Repurchases,LTM Basic EPS,Rental Expense - Year 1,ST Capital Leases,Rental Expense Beyond Year 5,Dep & Amort,Work In Process,Total Liabilities / Tangible Assets,Current Liabilities,Other Adjustments,Free Cash Flow (LTM),Deferred Compensation,Other Operating Expenses,Free Cash Flow to Firm,ST Deferred Tax Assets,Cash (Repurchase) of Equity,Free Cash Flow to Equity,Deferred Tax Liabilities,Repayments of LT Debt,Other PostRet Benefits,Effect of Foreign Exchanges,Income (Loss) from Cont Ops,year + weight + convention,Free Cash Flow to Firm Model,Dividends,Net Extraordinary Losses (Gains),Net Cash From Disc Ops (fin),Period Weight,Pretax Income,LT Marketable Securities,ST Borrowings,Dividend Yield (LTM),Free Cash Flow per Share,LT Receivables,Prepaid Expenses,Cash % of Revenue,Diluted - Basic Shares,Diluted EPS,Operating Margin,Operating Expenses,Line of Credit Used,Interest & Dividends Payable,PP&E Gross,EBITDAR,A = L + SE,Inventories,Discontinued Operations NI,PV of Free Cash Flow to Firm,Pensions,Raw Materials,Other Non-Op Income (Loss),Bull,Discounted Residual Income (Bear)
-46.729,17013.104128,9256.951808,2011-03-31 00:00:00,0.9419148936170212,3597.603072,2351.161088,620.753984,306.467008,340.392,2500.190976,340.392,3556.440064,1668.285056,-1687.648,903.283544,218.943,11788.37888,-455.446016,1917.04704,19641.452544,2.3559999999999945,43.037,202.684992,-12748.0064,23545.521664,5224.725248,763.956544,-1.779,4252.22688,177.01,81.733,23545.522176,-115.188,130.927,0.0335348694481268,90,65.642,2016.102968,59.255,19947.919552,189.647,-116.653,-376.0,879.432,-1687.648,177.01,133.973,-730.16,293.663008,1668.285056,32389.45792,-1427.540992,957.488,1668.285056,0.0175058391456744,1349.810944,0.275,177.01,0.0,-570.633984,11757.142784,114.827,59.255,-1427.746944,5004.725248,6352.001152,133.973,-470.052992,289.467008,368.100448,3.604,-3098.353984,11788.37888
-45.029,17303.435776,9405.956096,2011-06-30 00:00:00,0.8528128715083799,3637.949952,2383.844096,652.696,324.606016,553.209024,2476.23808,553.209024,3648.813056,1577.437952,-1775.058944,1327.63272,240.678,12077.184768,-536.843008,2223.205888,19996.823552,3.743984000000012,3.672,202.687008,-13463.533568,23959.378944,5226.251008,1173.718696,1.991,4399.704896,299.246016,89.218,23959.379968,-89.568,10.2,0.055370079435379,91,2.197,2061.793024,52.275,20321.429568,211.037,-208.934,-358.0,-90.847,-1775.058944,299.246016,295.574016,-663.307008,508.18,1577.437952,33460.35712,-1090.684928,1111.751936,1577.437952,0.0283170581581401,-35.008,0.396,299.246016,0.0,-626.411008,11882.194176,103.759,52.275,-1167.330944,5006.251008,7246.694016,295.574016,21.067008,289.606016,614.835016,6.224,-3163.656,12077.184768
-50.809,17721.594368,9634.506752,2011-09-30 00:00:00,0.7878388099173553,3735.362048,2433.291008,717.518016,323.118,469.377984,2666.322944,469.377984,3841.018112,1386.727936,-1704.940032,1649.601248,518.630008,12493.84832,-654.864,2373.092096,20736.198656,197.202992,-317.635008,202.691008,-13453.904896,24794.678016,5227.746048,1471.996224,0.073,4626.761088,223.243008,63.515,24794.677248,-122.504,-370.494016,0.0700093738376158,92,115.436,2126.767032,35.505,21059.316672,-35.715024,-195.326,-242.0,-190.71,-1704.940032,223.243008,540.878016,-432.656992,418.568992,1386.727936,34190.102528,-1354.794048,1272.283008,1386.727936,0.0353836932125583,-44.851,0.394,223.243008,0.0,-777.368,12300.829696,125.626,35.505,-1411.453952,5007.746048,8177.165056,540.878016,-82.51104,262.118,791.525024,1.377,-2820.676,12493.84832
-55.318384,17650.070272,9675.574272,2011-12-31 00:00:00,0.0,3253.93792,2474.745088,744.188992,296.035,703.692992,2522.319104,703.692992,4393.440256,615.726016,-1783.165056,2009.048064,596.390984,12640.904448,-729.795008,2674.509056,21288.824832,-159.00400000000002,188.302,202.692992,-14525.599744,24838.797824,5009.165824,1811.162624,-4.833,4666.407936,309.0,95.151,24838.797312,-37.041,408.327008,0.0881842752529149,92,-18.974,2223.297968,49.255,21584.85984,441.636008,-339.374624,0.0,-771.001984,-1783.165056,309.0,120.698,-546.278016,648.374592,615.726016,35814.424576,-1644.655056,1236.88704,615.726016,0.0434108141406099,-261.412992,0.438,309.0,0.0,-766.835968,12197.893376,119.052,49.255,-1748.409984,5009.165824,9187.854336,120.698,-627.768016,256.094,1008.499008,1.272615375,-2372.40192,12640.904448
-39.638,18002.365952,9791.345664,2012-03-31 00:00:00,0.4188496350364964,3042.032896,2531.134976,732.416,379.662016,585.697024,2772.34688,585.697024,4716.459008,294.064,-2049.517056,2311.977024,642.966008,12991.842816,-781.737024,2738.575872,22133.84192,34.25601599999999,-6.551,202.7,-15235.539968,25555.53536,5010.523136,2121.182592,-0.412,4780.822912,317.457984,-228.838,25555.535872,-81.954,-45.029,0.0927309708601567,91,-71.953,2458.627104,55.55,22513.503936,76.806,-228.600992,-685.0,-321.662016,-2049.517056,317.457984,324.008992,-971.912,546.059008,294.064,37369.380864,-1599.40704,1077.604992,294.064,0.0467992769881584,-26.885,0.58,317.457984,0.2138691974863057,-863.691008,12563.692544,166.974,55.55,-1375.320064,5010.523136,10009.382912,324.008992,-521.802048,308.662016,1148.947008,10.631,-2614.154016,12991.842816
-46.1,18367.034112,9963.496448,2012-06-30 00:00:00,-0.0098634092891762,2948.058112,2576.824064,736.297024,360.804992,566.12672,2679.940096,566.12672,4731.518976,280.374016,-2014.302976,2324.89472,672.332,13355.140864,-769.844992,2780.75904,22689.714176,53.97200800000002,-83.337,202.702,-15248.59392,25998.577408,5011.893248,2133.02928,0.119,4951.602944,312.440992,145.748,25998.577664,-111.099304,-76.333,0.0913909330051786,91,177.060992,2423.301,45.055,23050.519168,114.009,-207.585696,-523.857,-13.69,-2014.302976,312.440992,395.777984,-518.689984,520.026688,280.374016,37938.307072,-1352.896,1495.613056,280.374016,0.0465247996149307,-29.862,0.465,312.440992,0.2035871184293623,-880.94432,12643.436544,222.748992,45.055,-1479.236992,5011.893248,10566.936064,395.777984,142.717056,306.804992,1162.141984,4.675,-2469.536992,13355.140864
-45.558,20098.747136,11660.638208,2012-09-30 00:00:00,-0.2839256801154978,4000.162048,2662.244096,775.172992,345.879008,782.865984,2578.383104,782.865984,5192.653824,1112.622976,-1740.414976,2638.38272,649.818,13793.470208,-848.326976,3131.973888,23686.449152,-61.869984000000045,113.183,202.712992,-15944.23296,28032.49152,6305.276928,2451.76832,-1.532,5355.360832,468.673984,213.588992,28032.49152,-110.752,287.284992,0.1070914067177084,92,-157.867008,2365.437,56.025,24032.32816,412.896992,-268.633984,-424.597,832.249024,-1740.414976,468.673984,355.491008,-304.043008,737.308032,1112.622976,39630.68416,-1638.381976,1436.371968,1112.622976,0.0532897368087852,1217.581952,0.557,468.673984,0.2499592946797901,-959.078976,14239.021312,226.104,56.025,-1823.782016,6305.276928,11325.817856,355.491008,1030.720976,331.879008,1407.57296,7.596,-2340.923008,13793.470208
-67.761,19596.944704,11127.755776,2012-12-31 00:00:00,-0.4022547140021236,3589.883904,2703.059968,822.758016,409.012992,787.025984,2924.058112,787.025984,5435.745792,876.435008,-1550.881024,2970.94272,373.644008,13284.763648,-967.129984,3156.40192,23337.680896,-953.531992,942.028032,202.72,-17529.235456,27336.577536,6312.181056,2771.885824,0.012,5222.153856,437.028992,21.753,27336.577024,-50.625,1177.533952,0.1184619075052437,92,-147.584,2286.832976,60.395,23746.693888,1093.425952,-282.236,-541.525,-236.188,-1550.881024,437.028992,-504.999008,-323.694016,719.265024,876.435008,40866.9184,-1454.655024,1227.186944,876.435008,0.058863096529447,-21.084,0.676,437.028992,0.2493427655753042,-1017.755008,14051.813888,178.346,60.395,-1440.924032,5905.602048,11807.711232,-504.999008,-228.88508,351.776992,1535.602048,-8.407,-2118.338944,13284.763648
-72.055,20068.804672,11401.613312,2013-03-31 00:00:00,-0.4007750231839259,4081.018112,2742.301952,819.011008,213.624992,840.846976,3074.691072,840.846976,5204.46208,1108.034048,-1696.323968,2976.865664,384.304008,13756.308736,-982.633984,3364.286976,23937.970176,-7.197008000000039,-4.866,202.724,-17906.671616,28232.61312,6312.495936,2745.391744,0.272,5495.696128,489.859008,-48.417,28232.613888,-101.726,-21.553,0.1277099819536718,90,-114.167,2463.882064,64.035,24151.595168,197.989008,-278.932992,-452.9,231.599008,-1696.323968,489.859008,494.724992,-271.388992,768.792,1108.034048,41844.641792,-1216.887968,1424.93504,1108.034048,0.0635085231085665,-38.722,0.592,489.859008,0.2499331900038244,-1084.359936,14476.304384,225.123008,64.035,-1159.739008,5905.916928,12433.421824,494.724992,206.620072,213.624992,1708.002976,-10.134,-1417.816,13756.308736
-56.814,20697.41472,11672.22272,2013-06-30 00:00:00,-1.6462905263157896,4240.839936,2779.166976,794.307968,255.924,959.391552,3020.303104,959.391552,5084.772864,1228.016,-1737.282944,3370.130496,546.469992,14384.62592,-1046.097024,3704.451072,24580.388864,66.286024,-85.861,202.726,-18529.163264,29077.151744,6312.7888,3127.942592,1.436,5766.012864,573.830976,53.594,29077.151744,-117.958464,-102.38,0.1419905924469361,91,117.989,2414.161968,65.84,24836.312864,202.564992,-328.746528,-237.5,119.982,-1737.282944,573.830976,659.692032,153.494,902.577536,1228.016,43109.552128,-1636.777944,1890.77696,1228.016,0.0715158194423817,-39.321,0.873,573.830976,0.2589834589128567,-1164.055424,14692.525824,260.340992,65.84,-1726.891008,5906.209792,13357.113856,659.692032,251.133016,248.924,1969.39296,4.833,-745.632016,14384.62592
