Non-Operating Income (Loss),StockBased Compensation,Line of Credit Available,Equity Charge,WACC Discount Factor,Other Accrued Liabilities,Operating Leases,Line of Credit,Total Current Liabilities,BALANCE SHEET,Total Liabilities & Equity,Operating Income,NonCash Items,Days in Period,Net Share Repurchases,"Cash, Cash Equivalents & STI",Misc LT Assets,Rental Expense - Years 2 - 5,"Selling, General & Admin",Revenue,ST Debt,-Net Share Repurchases,LTM Basic EPS,Rental Expense - Year 1,ST Capital Leases,Rental Expense Beyond Year 5,Dep & Amort,Work In Process,Total Liabilities / Tangible Assets,Current Liabilities,Other Adjustments,Free Cash Flow (LTM),Deferred Compensation,Other Operating Expenses,Free Cash Flow to Firm,ST Deferred Tax Assets,Cash (Repurchase) of Equity,Free Cash Flow to Equity,Deferred Tax Liabilities,Repayments of LT Debt,Other PostRet Benefits,Effect of Foreign Exchanges,Income (Loss) from Cont Ops,year + weight + convention,Free Cash Flow to Firm Model,Dividends,Net Extraordinary Losses (Gains),Net Cash From Disc Ops (fin),Period Weight,Pretax Income,LT Marketable Securities,ST Borrowings,Dividend Yield (LTM),Free Cash Flow per Share,LT Receivables,Prepaid Expenses,Cash % of Revenue,Diluted - Basic Shares,Diluted EPS,Operating Margin,Operating Expenses,Line of Credit Used,Interest & Dividends Payable,PP&E Gross,EBITDAR,A = L + SE,Inventories,Discontinued Operations NI,PV of Free Cash Flow to Firm,Pensions,Raw Materials,Other Non-Op Income (Loss),Bull,Discounted Residual Income (Bear)
-10.816,637.500056,476.64,2011-03-31 00:00:00,0.0,143.823008,644.529024,0.0,32.303,4.515,148.944992,4.515,433.572992,50.95,-89.924,5.355,76.893,152.97704,-8.25,48.379,602.435968,-15.355,16.867,7.22,-707.019008,778.562032,484.523016,-33.456,117.917,20.274,-6.301,-33.839,778.561984,-2.416,23.141,-0.1378970344580965,90,-20.261,110.145,0.0,634.738968,24.979,0.0,0.0,33.162,-89.924,-7.813,-23.168,-83.415,-6.301,50.95,1309.454976,-89.752,6.509,50.95,-0.0426367763035947,116.405,0.0,-7.813,0.0,-10.666,625.584992,55.927,0.0,-89.752,456.366016,179.186,-23.168,-84.755,13.161,-35.23565,0.012,-225.736,152.97704
-12.955,660.249024,498.348,2011-06-30 00:00:00,0.0,91.343,646.150016,0.0,29.552,9.094,149.668,9.094,506.535008,0.547,-103.584,19.526,76.545,153.167024,-7.328,58.835,680.288,5.455,-3.943,7.224,-740.081984,801.183024,507.082,-23.098,-29.219,17.288,-3.861,37.891,801.182976,-2.325,0.963,-0.1051432763355081,91,28.101,114.818,0.0,709.84,2.302,0.0,0.0,-50.403,-103.584,-5.373,0.082,-42.172,-3.861,0.547,1420.370048,-103.584,61.412,0.547,-0.0290781703849881,-8.231,0.0,-5.373,0.0,-9.653,648.016,55.257,0.0,-103.584,481.06,196.159,0.082,-21.184,12.211,-24.31265,0.01,-225.384,153.167024
-13.001,731.657016,561.900032,2011-09-30 00:00:00,0.0,117.476,647.427008,0.0,36.592,8.754,147.518,8.754,561.649984,3.441,-94.559,29.378,98.682,166.566,-6.251,63.832,721.916032,19.39,-17.879,7.225,-778.465024,875.984032,565.091016,-17.104,-0.052,21.646,-4.247,-7.506,875.984,-1.638,-13.327,-0.1278789778115994,92,3.014,104.187,0.0,758.508032,-11.978,0.0,0.0,2.894,-94.559,-5.758,13.632,-52.543,-4.247,3.441,1500.381056,-94.559,42.016,3.441,-0.0233216175422372,55.437,0.0,-5.758,0.0,-7.889,709.418032,53.13,0.0,-94.559,540.254016,216.238,13.632,2.946,11.245,-18.07865,0.021,-244.011,166.566
-12.52,709.826,603.537984,2011-12-31 00:00:00,0.0,101.129,649.065984,19.1,37.808,0.198,114.865,0.198,562.779008,3.347,-47.169,22.561,81.561,143.699984,-7.97,61.328,723.166016,-8.469999999999999,9.982,7.276,-824.894016,862.102968,566.126016,-26.731,-0.816,37.412,-12.322,7.476,862.102976,-1.91,16.513,-0.2028517522905947,92,-8.352,95.145,0.0,760.974016,18.482,0.0,0.0,-0.094,-47.169,-13.834,-22.304,-20.766,-12.322,3.347,1548.060032,-47.169,26.403,3.347,-0.0350184714543977,20.672,0.0,-13.834,0.0,-9.88,718.402984,24.735,0.0,-47.169,566.126016,232.374,-22.304,0.722,18.088,-26.731,0.0,-198.896,143.699984
-12.913,725.586,635.070016,2012-03-31 00:00:00,0.0,84.519,649.936,7.12,35.455,4.314,107.74,4.314,599.568,0.0,-63.335,22.36,72.625,126.018,-7.921,61.201,748.854016,-7.6179999999999986,9.13,7.268,-860.835968,868.828016,599.568,-29.029,-0.053,35.502,-8.599,-7.773,868.828032,-2.213,13.845,-0.2555674594338754,91,0.591,85.592,0.0,784.309016,15.397,0.0,0.0,-3.347,-63.335,-10.111,-17.729,-32.798,-8.599,0.0,1609.689984,-63.335,30.537,0.0,-0.0352424134152334,29.451,0.0,-10.111,0.0704890442966618,-10.134,742.810016,18.538,0.0,-63.335,599.568,245.196,-17.729,-34.31,18.491,-29.029,0.0,-148.279,126.018
-13.088,749.943056,657.102016,2012-06-30 00:00:00,0.0,72.133,652.073024,7.213,32.919,7.099,112.323,7.099,624.555008,1.955,-68.442,20.365,56.363,123.43304,-6.69,62.674,787.806016,0.0,-2.787,7.278,-896.350976,892.858056,626.510016,-31.157,-0.023,30.592,-5.989,12.502,892.857984,-2.019,1.91,-0.2734582230748759,91,12.64,98.379,0.0,820.725016,3.393,0.0,0.0,1.955,-68.442,-7.501,-3.202,-21.049,-5.989,1.955,1684.157056,-68.403,47.393,1.955,-0.0367842345441281,22.965,0.0,-7.501,0.1132686600504196,-8.709,769.425016,16.146,0.0,-68.403,626.510016,249.035,-3.202,-22.522,17.673,-31.157,0.001,-127.156,123.43304
-13.312,705.93704,597.041024,2012-09-30 00:00:00,0.0,44.636,653.724032,5.506,22.613,6.503,92.307,6.503,568.382976,1.57,-53.167,18.114,30.969,135.984016,-7.142,64.766,758.083008,20.725,-19.214,7.278,-824.396992,825.33204,569.953024,-33.719,-0.019,27.088,-6.809,-9.034,825.331968,-2.523,-14.451,-0.2668411197132765,92,-17.285,86.108,0.0,780.696008,-12.775,0.0,0.0,-0.385,-53.167,-8.32,12.405,-33.524,-6.809,1.57,1582.48,40.502,19.643,1.57,-0.0396387274724032,-60.53,0.0,-8.32,0.1004076212827718,-9.665,689.348024,14.565,0.0,40.502,569.953024,249.969,12.405,58.634,16.673,-33.719,0.002,-108.137,135.984016
-13.086,628.915984,596.257024,2012-12-31 00:00:00,0.0,32.573,655.809984,12.434,16.063,-5.138,111.883,-5.138,567.483008,1.188,-70.258,12.778,22.105,60.245008,-7.177,65.364,719.748992,-55.94,57.452,7.352,-906.377024,768.385032,568.670976,-39.621,-0.828,27.586,-18.224,2.615,768.385024,-16.367,76.258,-0.4579508318764905,92,36.358,110.896,0.0,735.811992,78.45,0.0,0.0,-0.382,-70.258,-19.736,-75.676,5.958,-18.224,1.188,1626.125952,-70.258,76.216,1.188,-0.0486001736903307,-6.34,0.0,-19.736,-0.0786059604675356,-23.544,708.140024,19.98,0.0,-70.258,568.670976,254.004992,-75.676,4.446,15.427,-39.621,0.0,-78.627,60.245008
-13.369,653.312016,647.142016,2013-03-31 00:00:00,0.0,28.328,657.464,5.789,15.367,-13.033,95.232,-13.033,617.342016,4.048,-52.211,-4.569,18.511,31.922,-9.387,47.236,730.601024,-0.5489999999999959,2.061,7.353,-917.678016,774.296016,621.390016,-57.424,-0.142,25.752,-26.402,-6.583,774.296,-3.335,8.035,-0.8273070907194995,90,-10.048,91.378,0.0,745.968024,9.809,0.0,0.0,2.86,-52.211,-27.914,-28.463,-45.939,-26.402,4.048,1648.27904,-51.778,6.272,4.048,-0.069896123337815,48.366,0.0,-27.914,-0.2759124396646625,-12.722,742.374016,18.247,0.0,-51.778,621.390016,240.04,-28.463,-47.018,14.442,-57.424,0.004,-94.554,31.922
-13.012,673.714032,578.497984,2013-06-30 00:00:00,0.0,37.06,765.249024,5.755,17.684,-2.6305385,109.482,-2.6305385,551.457984,2.65,-62.462,-14.2985385,29.172,119.606,-7.645,48.568,752.841984,0.0,-3.517,7.361,-957.350976,807.585984,554.108032,-67.077538,-0.178,24.39,-19.66,6.451,807.585984,2.0584615,0.859,-0.6672898036280122,91,8.659,106.144,0.0,770.525984,2.559,-4.0174615,0.0,-1.398,-62.462,-23.616,-16.143,-32.874,-15.642538,2.65,1710.193024,-62.462,29.588,2.65,-0.0836193386408601,31.476,0.0,-23.616,-0.0541619687860319,-5.5865385,687.979984,23.364,0.0,-62.462,554.108032,225.934,-16.143,-56.826,13.493,-71.095,0.015,-106.379,119.606
