Non-Operating Income (Loss),StockBased Compensation,Line of Credit Available,Equity Charge,WACC Discount Factor,Other Accrued Liabilities,Operating Leases,Line of Credit,Total Current Liabilities,BALANCE SHEET,Total Liabilities & Equity,Operating Income,NonCash Items,Days in Period,Net Share Repurchases,"Cash, Cash Equivalents & STI",Misc LT Assets,Rental Expense - Years 2 - 5,"Selling, General & Admin",Revenue,ST Debt,-Net Share Repurchases,LTM Basic EPS,Rental Expense - Year 1,ST Capital Leases,Rental Expense Beyond Year 5,Dep & Amort,Work In Process,Total Liabilities / Tangible Assets,Current Liabilities,Other Adjustments,Free Cash Flow (LTM),Deferred Compensation,Other Operating Expenses,Free Cash Flow to Firm,ST Deferred Tax Assets,Cash (Repurchase) of Equity,Free Cash Flow to Equity,Deferred Tax Liabilities,Repayments of LT Debt,Other PostRet Benefits,Effect of Foreign Exchanges,Income (Loss) from Cont Ops,year + weight + convention,Free Cash Flow to Firm Model,Dividends,Net Extraordinary Losses (Gains),Net Cash From Disc Ops (fin),Period Weight,Pretax Income,LT Marketable Securities,ST Borrowings,Dividend Yield (LTM),Free Cash Flow per Share,LT Receivables,Prepaid Expenses,Cash % of Revenue,Diluted - Basic Shares,Diluted EPS,Operating Margin,Operating Expenses,Line of Credit Used,Interest & Dividends Payable,PP&E Gross,EBITDAR,A = L + SE,Inventories,Discontinued Operations NI,PV of Free Cash Flow to Firm,Pensions,Raw Materials,Other Non-Op Income (Loss),Bull,Discounted Residual Income (Bear)
-162.0,23668.999872,11169.000448,2011-03-31 00:00:00,-1.2250530785562632,9436.000256,3671.000064,2441.999872,3048.000064,1154.0,7351.000064,1154.0,3584.0,1968.0,-1082.0,3608.461568,2938.000064,18116.99968,-447,10085.000192,21759.000576,743.5,-407.5,340,-15272.999936,36637.000192,5552.000192,2787.461536,58,5651.999744,521.5,0,36636.99968,-886.0,-367.0,0.0889825183486055,90,0,4102.000064,85.21,27201.000448,-352.0,-425.5,-235.5,360.0,-1082.0,521.5,929.0,53,992.0,1968.0,37032.001536,-723.0,1135.000064,1968.0,0.0425014266542653,-41.0,1.83,521.5,-2.068100358422939,-1891.000064,18520.000512,999.0,85.21,-734.0,5517.000192,34680.000512,974.0,381.000064,479,1414.999984,-15.0,-946.0,18116.99968
-138.0,24444.999872,11290.999808,2011-06-30 00:00:00,-6.709090909090909,8885.999616,3712.999936,2416.0,3188.999936,1183.000064,6796.000256,1183.000064,3347.000064,2193.999872,-1375.000064,4067.461632,2590.000128,18904.0,-421,9930.999808,22528.0,1383.4,54.6,340,-15850.000384,36991.000064,5540.999872,3150.461536,6,5784.999936,661.6,0,36991.000576,-898.0,462.0,0.1032769071594349,91,0,4054.000064,74.76,28104.999936,494.0,-421.4,-55.0,226.0,-1375.000064,661.6,607.0,314,1045.0,2193.999872,38378.000384,-1375.000064,1688.999936,2193.999872,0.0514761389838001,-42.0,1.958,661.6,-2.0119048707483,-1907.000064,18087.000064,1127.000064,74.76,-1420.999936,5505.999872,36917.000192,569.0,299.999872,487,1711.35,8.0,-712.0,18904.0
-111.0,24505.999936,11818.999808,2011-09-30 00:00:00,1.0360490266762798,7479.000064,3708.999936,3113.999872,3309.999872,654.0,6606.000128,654.0,4765.000192,827.0,-2433.999872,3789.461632,2536.999936,18913.99968,-443,8714.999808,24167.000064,72.55001600000003,222.45,340,-16264.999936,37338.999616,5592.000256,2964.461536,-44,6270.999808,520.449984,0,37339.000832,-851.0,332.0,0.1029655994597861,92,0,4454.999936,52.46,29860.000256,138.0,-53.55,-693.5,-1367.000064,-2433.999872,520.449984,298.0,-1412,543.0,827.0,40432.001024,-2302.999872,1022.0,827.0,0.0502485017906119,-69.0,1.361,520.449984,-1.1160409556313993,-1880.0,18424.999936,1308.0,52.46,-2320.0,5548.000256,37664.0,267.0,-1271.999872,597,1779.399984,19.0,-1908.0,18913.99968
-301.0,24649.000192,12444.000256,2011-12-31 00:00:00,0.3693062368605466,8338.999808,3756.999936,3596.0,3779.999936,820.0,8099.999744,820.0,5705.999872,351.0,-2115.000064,3811.000064,3331.000064,18592.0,-460,9749.000192,24711.999488,0.0,517.849984,340,-14997.999616,39136.0,6057.000192,3099.000064,-69,6439.000064,386.849984,351,39136.002048,-1083.000064,616.0,0.1187558587587097,92,351,6040.0,56.8,30796.99968,244.0,-135.15,-713.5,-476.0,-2115.000064,386.849984,-131.0,-977,519.0,351.0,39709.999104,-2115.000064,1138.0,351.0,0.0560940238367271,477.0,1.261,386.849984,-1.2166172106824926,-2216.999936,20544.0,1406.0,56.8,-2091.000064,6005.000192,38479.998976,-134.0,-519.000064,455,2090.4,732.0,-2022.0,18592.0
-101.0,26135.00032,13299.00032,2012-03-31 00:00:00,16.36,8211.999744,3783.000064,3451.000064,4090.000064,906.0,8191.000064,906.0,6582.000128,396.0,-1856.0,3563.000064,3610.999936,19157.000064,-132,2896.0,26051.999744,83.89999999999998,-52.9,342,-15541.999616,40647.000448,6978.000256,2912.0,8,6359.000064,471.1,0,40647.000064,-926.0,-110.0,0.1102345175678168,91,0,5550.0,58.95,32434.999808,-240.0,-318.9,-50.0,45.0,-1856.0,471.1,545.0,-868,805.0,396.0,41593.99936,-1724.0,988.0,396.0,0.0527922978820302,829.0,1.529,471.1,0.3128453038674033,-1720.0,21490.000384,1662.0,58.95,-1772.0,6940.000256,31290.999808,539.0,153.0,444,2039.999968,3.0,-2943.0,19157.000064
-86.0,27803.99968,13571.00032,2012-06-30 00:00:00,2.481132075471698,7925.000192,3812.0,3371.000064,3866.999936,1228.999936,7084.000256,1228.999936,7436.000256,409.0,-1978.0,3608.999936,3222.0,19958.999808,-144,3324.0,26556.000256,222.699968,50.3,342,-15573.999616,40614.000384,7844.999872,3010.000064,-3,6025.000192,604.300032,0,40613.998592,-873.0,-193.0,0.1025631746034226,91,0,5302.999808,43.45,32689.000448,-78.0,-552.700032,-212.0,13.0,-1978.0,604.300032,549.0,-738,1143.000064,409.0,42130.00192,-1978.0,1240.0,409.0,0.0510972236648784,766.0,1.382,604.300032,0.3697352394705174,-1763.000064,20655.000576,2020.0,43.45,-1992.999936,7545.999872,24684.0,540.0,65.0,444,1982.7,19.0,-3995.0,19958.999808
-89.0,28492.999872,13712.0,2012-09-30 00:00:00,-0.5684660945549274,8157.000192,3840.0,3796.0,3703.0,880.0,7848.0,880.0,7312.999936,528.0,-2135.000064,3834.999936,3419.000064,20652.000128,-134,3072.0,28144.001024,304.950016,-118.95,342,-16122.000384,42212.000128,7840.999744,3258.000064,1,6492.0,356.049984,0,42211.999744,-971.0,540.0,0.0923580956884509,92,0,6261.999936,53.72,34055.001088,533.0,-399.950016,-632.6270000000001,119.0,-2135.000064,356.049984,557.0,-273,791.0,528.0,44266.000384,-1611.000064,1862.0,528.0,0.0457140698881056,-126.0,1.186,356.049984,0.2864583333333333,-1832.999936,21560.0,2503.000064,53.72,-1616.999936,7219.999744,19041.000192,510.0,157.999936,430,1818.3,15.0,-2856.0,20652.000128
-69.0,29313.999616,13856.0,2012-12-31 00:00:00,-0.7183356326953128,8386.999808,3865.999872,3155.000064,4039.000128,695.0,8382.000128,695.0,7469.000192,642.0,-1727.000064,3648.0,2998.0,21202.99936,-387,5718.000128,28807.000064,197.3,104.7,342,-16746.000384,43440.999488,8111.000256,3297.999872,-7,6532.000192,358.7,0,43441.000448,-1052.0,81.0,0.0885699126567879,92,0,6488.999936,52.96,35054.000128,385.0,-265.3,-557.4010000000001,114.0,-1727.000064,358.7,374.0,-157,626.0,642.0,45553.000448,-1540.000064,1570.0,642.0,0.0419959528582789,213.0,1.208,358.7,0.1215459923823212,-2183.000064,22238.000128,741.0,52.96,-1668.999936,7324.000256,12245.000192,256.0,275.999936,470,1733.949952,37.0,-2022.0,21202.99936
-107.0,29901.000384,10947.999744,2013-03-31 00:00:00,-1.5867003367003367,11418.000384,3912.0,3265.999872,3441.000128,1135.000064,8906.000384,1135.000064,6931.999744,444.0,-1516.0,3939.0,9320.999936,22525.000384,-383,6105.999872,25650.999296,726.550016,-555.550016,343,-14604.000256,42379.000512,7376.0,3588.000064,0,5475.999744,590.449984,0,42379.001856,-845.0,-1302.0,0.0920662462031851,90,0,3938.0,71.61,30960.999424,-1168.0,-440.550016,1188.0,-198.0,-1516.0,590.449984,1276.0,-697,1028.0,444.0,40255.000576,-190.0,819.0,444.0,0.0459976382300066,-756.0,1.586,590.449984,0.1858827526683577,-1916.999936,19854.000128,1176.0,71.61,-261.0,5472.0,18220.0,1143.000064,-123.0,362,1909.5,-1.0,-1865.0,22525.000384
-128.0,29773.00032,10721.999872,2013-06-30 00:00:00,-4.021472598600722,9991.999488,3947.000064,3169.999872,3396.999936,1052.0,6733.000192,1052.0,5074.999808,725.0,-1472.0,3762.000064,7797.0,23973.000192,-196,3068.999936,26169.99936,1137.449984,-1088.450048,343,-15025.000448,41428.000256,5800.000128,3369.0,-171,5275.999872,326.550016,0,41428.000768,-786.0,-937.0,0.0745363595834094,91,0,3715.0,66.49,31435.999232,-833.0,-412.449984,74.467,281.0,-1472.0,326.550016,1431.000064,-225,924.0,725.0,41194.999808,1000.999936,1247.000064,725.0,0.0397784061024619,-1902.0,1.412,326.550016,0.3427826725115969,-1596.0,17455.000064,1064.0,66.49,936.0,5446.000128,17964.999936,1600.0,560.0,264,1631.749984,-11.0,-1352.0,23973.000192
