Non-Operating Income (Loss),StockBased Compensation,Line of Credit Available,Equity Charge,WACC Discount Factor,Other Accrued Liabilities,Operating Leases,Line of Credit,Total Current Liabilities,BALANCE SHEET,Total Liabilities & Equity,Operating Income,NonCash Items,Days in Period,Net Share Repurchases,"Cash, Cash Equivalents & STI",Misc LT Assets,Rental Expense - Years 2 - 5,"Selling, General & Admin",Revenue,ST Debt,-Net Share Repurchases,LTM Basic EPS,Rental Expense - Year 1,ST Capital Leases,Rental Expense Beyond Year 5,Dep & Amort,Work In Process,Total Liabilities / Tangible Assets,Current Liabilities,Other Adjustments,Free Cash Flow (LTM),Deferred Compensation,Other Operating Expenses,Free Cash Flow to Firm,ST Deferred Tax Assets,Cash (Repurchase) of Equity,Free Cash Flow to Equity,Deferred Tax Liabilities,Repayments of LT Debt,Other PostRet Benefits,Effect of Foreign Exchanges,Income (Loss) from Cont Ops,year + weight + convention,Free Cash Flow to Firm Model,Dividends,Net Extraordinary Losses (Gains),Net Cash From Disc Ops (fin),Period Weight,Pretax Income,LT Marketable Securities,ST Borrowings,Dividend Yield (LTM),Free Cash Flow per Share,LT Receivables,Prepaid Expenses,Cash % of Revenue,Diluted - Basic Shares,Diluted EPS,Operating Margin,Operating Expenses,Line of Credit Used,Interest & Dividends Payable,PP&E Gross,EBITDAR,A = L + SE,Inventories,Discontinued Operations NI,PV of Free Cash Flow to Firm,Pensions,Raw Materials,Other Non-Op Income (Loss),Bull,Discounted Residual Income (Bear)
-0.063,395.626224,136.74848,2010-09-30 00:00:00,0.0,132.127704,78.988208,5.387421,0.166896,31.397,64.918836,31.397,-63.73722,63.73722,-12.514,91.416297,23.041153,395.626224,-2.997,53.097,464.998944,-0.8770000000000024,0.0,0.7993,-94.112936,597.29354,0.0,91.760201,-0.016,136.748477,19.818,9.241,597.293504,-0.073,0.623,0.1488161802078984,92,-10.318,63.584855,49.78074023999999,465.16584,0.914,-11.516,0.0,11.268,-12.514,19.818,18.941,12.25,31.334,63.73722,559.111872,-12.514,24.764,63.73722,0.1012455994827217,-0.882,0.0,19.818,0.0,-3.07,201.667316,18.774536,49.78074023999999,-12.614,0.0,176.504524,19.818,12.25,0.121527,56.444689,-0.000336,22.652097,395.626224
-0.022,392.29808,136.908048,2010-12-31 00:00:00,0.0,111.584664,80.083776,6.352933,0.801587,15.736,49.869076,15.736,-43.434892,43.434892,-30.218,76.313989,22.865375,392.29808,-3.281,48.236,466.688928,1.86,0.0,0.805402,-110.20904,579.075204,0.0,76.639949,-0.447213,136.908053,9.907,-30.555,579.0752,-9.867,6.88,0.1216449800552252,92,-34.655548,49.084594,57.93,467.490515,6.606,-5.807,0.0,-44.221856,-30.218,9.907,11.767,-30.295548,15.714,43.434892,576.897984,-30.218,-0.077549,43.434892,0.0809614422893101,-8.854213,0.0,9.907,0.0,-13.148,186.777124,12.601723,57.93,-35.290096,0.0,178.660156,9.907,-30.295549,0.534111,47.119619,7.7e-05,-35.930935,392.29808
-0.037,409.094304,138.436096,2011-03-31 00:00:00,0.0,135.350624,80.083776,8.909224,0.8820520000000001,25.796,51.866352,25.796,-80.060704,80.060704,-12.49513,99.075884,10.375628,409.094304,-5.661,51.805,463.164064,0.1560000000000023,0.0,0.805402,-125.574072,599.396752,0.0,98.825168,-0.012075,138.436096,16.641,15.631858,599.396736,-1.689,0.565144,0.1560302511707309,90,36.315968,51.311631,63.24,464.046116,-0.348125,-9.118,0.0,60.54478,-12.49513,16.641,16.79698,56.956948,25.759,80.060704,588.738176,-12.49513,69.45208,80.060704,0.1040665244869065,-0.012259,0.0,16.641,0.0,-7.35,190.302448,9.416847,63.24,-8.895038,0.0,192.61942,16.641,56.95695,0.522323,61.776593,-0.037,11.346932,409.094304
0.237893,426.623,132.083,2011-06-30 00:00:00,0.0,204.878,80.083,8.611,1.346,27.735108,78.224,27.735108,-150.007008,150.007008,0.0,99.954,10.904,426.623,-0.315146,40.06064,430.705984,-1.4685699999999997,0.17745,0.805,-129.702,636.93,0.0,100.07,-0.019,132.083,18.996874,20.785,636.929984,1.297401,2.091,0.1607966206812813,91,21.732,73.768,58.44,432.051984,-4.058,-8.976126,0.0,69.947,0.0,18.996874,17.528,46.42,27.973,150.007008,560.408,0.0,46.42,150.007008,0.1051686844804092,-0.019,0.0,18.996874,0.0,0.982255,210.307,10.81,58.44,23.546,0.0,201.720992,18.819424,46.42,1.346,64.636448,0.153152,70.565,426.623
-0.077,427.995,132.419,2011-09-30 00:00:00,0.0,187.988992,80.083,9.04,1.455,25.086,54.534,25.086,-137.448,137.448,-11.476,94.353108,8.859,427.995,-2.248,44.203,425.504,-0.6820000000000004,0.0,0.805,-140.472,614.948,0.0,94.455,0.0,132.419,15.586,-1.868,614.947968,-0.024,1.031,0.1484441445136921,92,-14.208,54.071,54.71,426.959,0.939,-9.423,0.0,-12.559,-11.476,15.586,14.904,1.113,25.009,137.448,565.976,-11.476,12.589,137.448,0.1008559357388492,-13.532,0.0,15.586,0.5675180417618713,-2.272,186.953,8.859,54.71,-11.616,0.0,184.30464,15.586,1.113,1.455,61.130874,-0.077,74.1944,427.995
-0.051,444.003,132.921,2011-12-31 00:00:00,0.0,208.138,80.083,8.748,1.424,31.024,44.893,31.024,-152.09,152.09,-1.551,109.641108,8.125,444.003,-2.304,53.907,412.255008,0.0,0.0,0.805,-153.838,621.817,0.0,109.714,0.0,132.921,19.59,-22.457,621.817024,-0.033,0.169,0.1693501914406232,92,-14.073,44.274,58.18,413.679008,1.122,-11.383,0.0,14.642,-1.551,19.59,19.476,18.511,30.973,152.09,566.092992,-1.551,20.062,152.09,0.1179354359779749,-3.468,0.0,19.59,0.5755096740683029,-2.337,177.814,6.993,58.18,-1.952,0.0,189.97564,19.59,18.511,1.424,70.813874,-0.051,123.000948,444.003
0.042,458.422984,128.596,2012-03-31 00:00:00,0.0,203.396992,79.829,8.021,12.487,22.6,34.437,22.6,-159.902,159.902,-5.742,106.445108,9.551,458.422984,-1.226,41.339,405.572,0.0,0.0,0.805,-165.388992,621.455984,0.0,106.597,0.0,128.596,14.7,-12.109,621.456,-0.076,0.0,0.1587815596361925,91,1.87,34.437,58.91,418.059,-4.261,-7.942,0.0,7.812,-5.742,14.7,14.674,18.251,22.642,159.902,570.961024,-5.742,23.993,159.902,0.1128274884744166,0.254,0.0,14.7,0.5466992428457389,-1.302,163.033,9.551,58.91,-16.435,0.0,179.50964,14.7,18.251,0.318,68.872874,0.042,84.295,458.422984
-0.675,464.339016,126.003,2012-06-30 00:00:00,0.0,175.212992,79.829,7.993,105.938,16.612,34.312,16.612,-129.983,129.983,-2.078,94.273,15.542,464.339016,-4.64,39.823,396.329984,-0.684000000000001,0.0,0.805,-178.080992,624.654016,0.0,93.512,0.0,126.003,10.019,-7.639,624.654016,0.826,0.69,0.1329192466943506,91,-3.382,34.312,59.2,449.440984,-2.031,-5.918,0.0,-29.098,-2.078,10.019,9.335,15.67,15.937,129.983,574.411008,-2.078,17.748,129.983,0.0938708797828761,-3.419,0.0,10.019,0.4171458704768601,-3.814,160.315,11.032,59.2,-43.427,0.0,179.272,10.019,15.67,53.111,59.213,-0.226,52.724,464.339016
0.152,436.789992,120.492,2012-09-30 00:00:00,0.0,187.286,79.829,9.714,46.452000000000005,-42.239,61.127,-42.239,-137.784,137.784,-17.205,27.997,21.17,436.789992,-2.58,29.765,384.671008,0.0,0.0,0.805,-187.246,618.408992,0.0,27.465,0.0,120.492,-27.549,-9.301,618.409024,-53.394,52.99,0.0387610797019937,92,-9.859,61.127,49.14,431.123008,45.758,14.538,0.0,7.801,-17.205,-27.549,-27.549,0.711,-42.087,137.784,571.916992,-17.205,17.916,137.784,0.0271778570336268,0.0,0.0,-27.549,-1.4190828153871995,-55.974,181.619,8.843,49.14,-10.115,0.0,164.834,-27.549,0.711,0.255,16.76,-0.012,52.322,436.789992
0.171,403.929,124.505,2012-12-31 00:00:00,0.0,133.573,79.829,8.647,47.551,4.082,32.672,4.082,-79.487,79.487,-51.418,1.055,23.239,403.929,-2.818,34.94,379.982016,0.0,0.0,0.805,-197.874,561.106,0.0,0.745,0.0,124.505,2.604,-0.767,561.105984,-12.297,11.685,-0.0005330616134312,92,-1.109,32.672,42.36,427.533016,16.765,-1.649,0.0,-58.297,-51.418,2.604,2.604,-22.388,4.253,79.487,577.856,-51.418,29.03,79.487,-0.0003821043271144,-35.465,0.0,2.604,0.1168288494562106,-15.115,157.177,7.062,42.36,-51.862,0.0,145.867,2.604,-22.388,0.224,-0.226,-0.173,11.423,403.929
-1.006,407.797992,127.174,2013-03-31 00:00:00,0.0,136.859008,79.829,9.82,60.087,8.171,37.967,8.171,-82.606,82.606,-4.626,-13.374,24.72,407.797992,-3.208,31.787,375.992992,-4.440892098500626e-16,0.0,0.805,-208.066,572.938992,0.0,-14.732,0.0,127.174,3.869,4.203,572.939008,-0.129,1.831,-0.0255292824956942,90,5.517,37.967,40.09,436.079992,1.934,-3.296,0.0,3.119,-4.626,3.869,3.869,17.188,7.165,82.606,584.059008,-4.626,21.814,82.606,-0.0185148128147568,0.0,0.0,3.869,0.257054770818259,-3.337,165.141,9.125,40.09,-18.695,0.0,136.315,3.869,17.188,0.193,-11.057,0.141,11.181,407.797992
-0.29,683.05,217.975008,2013-06-30 00:00:00,0.0,66.117,229.606,22.019,53.164,6.325,99.279,6.325,90.0,0.0,0.0,32.709,3.357,593.05,-14.891,66.903,791.022976,0.0,-3.37415,0.962,-260.680992,910.304008,90.0,33.848,-2.37,127.975,3.02185,16.694,910.304,-3.903,-30.631,0.04054808528482,275,10.605,75.894,47.26,844.186976,-12.243,-3.01315,0.0,-32.11,0.0,3.02185,6.396,36.277,6.035,0.0,1051.704,0.0,36.277,0.0,0.0279324252214596,-114.264,0.0,3.02185,0.0945398562097364,-18.794,317.254008,0.0,47.26,45.877,90.0,164.120992,6.396,-109.095992,2.263,21.43755,0.0,42.485,593.05
0.954,647.772008,181.623008,2014-03-31 00:00:00,0.0,48.739,230.692,22.318,55.711,-4.288,115.158,-4.288,63.829,0.0,-45.794,14.29,5.332,583.943008,-10.457,78.555,776.273984,-10.0438,10.0438,0.962,-294.676992,880.724016,63.829,14.119,0.0,117.794,-0.1492,-6.84,880.723968,-26.931,39.52,0.0183116446710354,90,11.718,112.59,47.74,831.984984,30.673,3.1848,0.0,0.0,-45.794,-0.1492,-10.193,20.806,-3.334,0.0,1070.950976,-45.794,66.6,0.0,0.0124680732795186,-26.171,0.0,-0.1492,-0.0545859588823117,-37.388,296.781008,4.553,47.74,-40.429,63.829,212.185,-10.193,-5.365,2.115,9.34565,0.0,51.883,583.943008
-0.737,655.647,188.26,2014-06-30 00:00:00,0.0,45.829,231.838,23.827,57.963,4.96,109.921,4.96,65.977,0.0,-63.477,15.168,6.531,589.67,-9.207,77.368,784.059008,0.3704999999999998,-0.3705,0.962,-334.016,887.851,65.977,14.089,-0.037,122.283,4.2105,7.416,887.851008,-11.724,8.198,0.0220454126866069,91,4.507,105.613,42.31,842.022008,12.259,-0.0125,0.0,0.0,-63.477,4.2105,4.581,-2.229,4.223,0.0,1118.075008,-63.477,61.248,0.0,0.01511728789808,2.229,0.0,4.2105,0.0641091924309792,-20.931,298.181,3.614,42.31,-63.477,65.977,254.613,4.581,-0.081,1.967,10.95215,-1.478,72.042,589.67
0.663,648.969,179.588992,2014-09-30 00:00:00,0.0,43.93,233.062,21.325,59.885000000000005,10.868,97.309,10.868,54.415,0.0,-37.428,17.865,5.774,594.554,-6.821,67.323,767.636992,-3.0745000000000005,3.0745,0.963,-374.099008,871.451992,54.415,18.455,0.002,125.174,6.7385,-0.812,871.452032,4.713,-2.102,0.0275784357397675,92,2.242,78.487,33.24,827.521992,2.532,-4.7925,0.0,0.0,-37.428,6.7385,3.664,11.56,11.531,0.0,1141.735936,-37.428,48.988,0.0,0.0191383768207257,-11.56,0.0,6.7385,0.1614307146146191,-2.108,276.897992,0.0,33.24,-37.428,54.415,290.149,3.664,-0.003,1.816,13.82165,0.048,66.414,594.554
-0.46,630.824984,178.934,2014-12-31 00:00:00,0.0,31.04,234.240992,21.623,63.752,-9.72,97.015,-9.72,63.359,0.0,-33.723,4.389,3.565,567.465984,-7.56,50.23,748.622976,0.0,13.2678,0.963,-426.297984,843.414984,63.359,6.091,-0.003,115.575,-6.6582,-11.457,843.414976,-0.316,20.621,0.0114513717891196,92,-1.218,92.892,29.24,812.374976,13.004,3.5218,0.0,0.0,-33.723,-6.6582,-19.926,-0.599,-10.18,0.0,1174.92096,-33.723,33.124,0.0,0.007577895992385,0.599,0.0,-6.6582,-0.1935098546685248,-7.876,275.949,0.0,29.24,-33.723,63.359,275.174016,-19.926,8.346008,1.667,6.64475,-2.415,29.538,567.465984
-0.141934,654.499016,209.8,2015-03-31 00:00:00,0.0,29.867,235.382,22.028,64.517,-27.536154,77.929,-27.536154,104.463,0.0,-35.262,-21.428154,5.953,550.036016,-7.828,30.647,743.380992,-1.7200419999999994,1.720042875,0.973,-462.975008,837.765016,104.463,-22.104088,0.0,105.337,-16.843958,-21.198,837.764992,-5.329154,4.662,-0.0221400179973699,90,-17.733,73.802,22.0,807.897992,-4.653,10.834131,0.0,0.0,-35.262,-16.843958,-18.564,-41.097,-27.678088,0.0,1206.355968,-35.262,-5.835,0.0,-0.0146095299908123,41.097,0.0,-16.843958,-0.8984942735014847,-13.157154,287.729,4.518,22.0,-35.262,104.463,225.568,-18.564,0.007,1.515,-12.553158,-0.004934,-32.365,550.036016
-0.585,643.346992,205.454,2015-06-30 00:00:00,0.0,28.612,236.82,21.643,63.283,-28.683,64.982,-28.683,111.402,0.0,-21.524,-55.071154,4.354,531.944992,-7.351,35.334,710.486016,-0.1599000000000003,0.1599,0.974,-501.286016,802.380992,111.402,-55.595088,0.0,94.052,-19.3681,-2.173,802.380992,-6.924,8.224,-0.0644280938784028,91,-3.614,60.047,12.27,773.769016,-1.042,9.8999,0.0,0.0,-21.524,-19.3681,-19.528,-6.938,-29.268,0.0,1211.772032,-21.524,14.586,0.0,-0.0427536077887532,6.938,0.0,-19.3681,-0.8117677024961792,-14.275,270.436,3.115,12.27,-21.524,111.402,183.534,-19.528,0.0,1.365,-36.131758,0.995,-37.074,531.944992
3.128,463.196,134.883008,2015-09-30 00:00:00,0.0,30.014,239.25,20.314,62.583,-24.397,53.862,-24.397,114.569,0.0,-13.603,-90.336154,8.139,348.627,-7.504,30.037,444.775008,-152.776,152.776,0.974,-764.788992,537.372008,114.569,-88.395088,0.0,20.314,-32.909,-7.946,537.372032,0.492,232.926,-0.1606886864769328,92,-6.389,43.941,7.6,507.358008,164.187,-11.64,0.0,0.0,-13.603,-32.909,-185.684992,-3.104,-21.269,0.0,1209.564032,-13.603,10.499,0.0,-0.1075780289908506,3.104,0.0,-32.909,-0.8122315810500382,-7.012,188.745008,6.722,7.6,-13.603,114.569,146.248,-185.684992,0.064,1.214,-75.779258,4.288,-51.738,348.627
