Non-Operating Income (Loss),StockBased Compensation,Line of Credit Available,Equity Charge,WACC Discount Factor,Other Accrued Liabilities,Operating Leases,Line of Credit,Total Current Liabilities,BALANCE SHEET,Total Liabilities & Equity,Operating Income,NonCash Items,Days in Period,Net Share Repurchases,"Cash, Cash Equivalents & STI",Misc LT Assets,Rental Expense - Years 2 - 5,"Selling, General & Admin",Revenue,ST Debt,-Net Share Repurchases,LTM Basic EPS,Rental Expense - Year 1,ST Capital Leases,Rental Expense Beyond Year 5,Dep & Amort,Work In Process,Total Liabilities / Tangible Assets,Current Liabilities,Other Adjustments,Free Cash Flow (LTM),Deferred Compensation,Other Operating Expenses,Free Cash Flow to Firm,ST Deferred Tax Assets,Cash (Repurchase) of Equity,Free Cash Flow to Equity,Deferred Tax Liabilities,Repayments of LT Debt,Other PostRet Benefits,Effect of Foreign Exchanges,Income (Loss) from Cont Ops,year + weight + convention,Free Cash Flow to Firm Model,Dividends,Net Extraordinary Losses (Gains),Net Cash From Disc Ops (fin),Period Weight,Pretax Income,LT Marketable Securities,ST Borrowings,Dividend Yield (LTM),Free Cash Flow per Share,LT Receivables,Prepaid Expenses,Cash % of Revenue,Diluted - Basic Shares,Diluted EPS,Operating Margin,Operating Expenses,Line of Credit Used,Interest & Dividends Payable,PP&E Gross,EBITDAR,A = L + SE,Inventories,Discontinued Operations NI,PV of Free Cash Flow to Firm,Pensions,Raw Materials,Other Non-Op Income (Loss),Bull,Discounted Residual Income (Bear)
98.0,33045.999936,15377.999872,2011-03-31 00:00:00,3.727999829333333,15774.999552,7533.000192,1852.0,2525.0,1167.000064,11781.999616,1167.000064,2624.999936,5715.999744,-819.0,3802.000064,473,24704.999936,-137,3687.000064,32188.99968,402.899968,178.1,770,-20692.000768,51864.999424,8341.0,4247.999936,50,7386.0,633.100032,361,51865.001984,-288,-10.0,0.0893675965465331,90,232,10444.000192,32.36247522,36089.999616,-230.0,-631.900032,375.0,1764.999936,-819.0,633.100032,996.0,1772.999936,1264.999936,5715.999744,52880.9984,-732.0,2592.0,5715.999744,0.0421146705195964,2.0,1.415,633.100032,-1.8377953763779529,-1060.0,27159.999488,432,32.36247522,-833.0,7992.0,12758.000128,455.0,-948.999936,679.0,2097.100032,-19.0,4605.999872,24704.999936
106.0,21729.000576,9621.999616,2011-06-30 00:00:00,-2.997863247863248,7313.999872,7493.000192,1607.000064,2499.000064,1070.0,4160.999936,1070.0,311.0,4711.000064,-883.0,4038.000064,470,16707.00032,-130,3700.0,20139.999232,1152.649984,170.35,770,-16243.00032,30489.999872,5022.000256,4440.999936,-1546,4937.999936,468.350016,387,30489.99936,-198,-306.0,0.1051532324537466,91,640,3609.000128,31.98002616,23175.999232,-513.0,-707.649984,-468.0,-1005.0,-883.0,468.350016,996.0,935.0,1176.0,4711.000064,36382.998528,-599.0,1818.0,4711.000064,0.0533249573696605,-1780.999936,1.022,468.350016,-1.897163120567376,-892.0,13782.999552,470,31.98002616,-1040.0,4684.000256,13648.000256,298.0,1185.0,1024.0,2079.300032,-14.0,4774.999872,16707.00032
91.0,21798.99968,9660.000256,2011-09-30 00:00:00,1.4210526315789471,7153.999872,7445.000192,1612.0,2532.000064,1196.999936,4124.999936,1196.999936,410.0,4632.999936,-735.0,4262.0,483,16755.999744,-104,3663.000064,20317.999104,3.300000000000012,14.7,770,-16730.999808,30540.999936,5042.999936,4701.999936,3,4955.0,419.7,-387,30541.000704,-188,68.0,0.1015431827879465,92,-262,3581.0,21.58,23386.99904,420.0,-868.300032,142.5,-78.0,-735.0,419.7,405.0,345.0,1288.0,4632.999936,37048.999936,-721.0,1080.0,4632.999936,0.0517784516743436,-403.0,0.838,419.7,-2.315280340425532,-809.0,13785.000192,482,21.58,-738.0,4704.999936,14433.000192,405.0,359.0,1073.0,2036.550048,-32.0,5101.999872,16755.999744
-2.0,21973.99936,9818.000384,2011-12-31 00:00:00,-1.039855072463768,3224.0,7449.999872,1811.000064,2287.000064,1124.0,4393.999872,1124.0,4321.999872,493.0,-858.0,4575.000064,453,17158.999488,-173,3667.000064,25323.999232,16.399999999999977,-58.4,770,-17248.0,31370.999744,4814.999872,4925.000192,-51,5144.000064,490.6,124,31370.999808,-200,126.0,0.0997360878515585,92,-84,4072.000064,29.27,28146.999296,19.0,-631.4,-4416.0,-4140.0,-858.0,490.6,549.0,176.0,1122.0,493.0,42572.00128,-725.0,1034.0,493.0,0.0501505186282947,-113.0,0.8310000000000001,490.6,-2.0436363636363635,-923.0,14212.000256,258,29.27,-5056.0,4673.999872,14716.99968,549.0,275.0,904.0,2040.749952,-104.0,3537.999872,17158.999488
26.0,22261.999872,9671.999488,2012-03-31 00:00:00,-1.1543859649122807,3444.999936,7427.999744,1826.0,2516.0,1412.0,4672.999936,1412.0,4243.000064,513.0,-1017.0,4802.999936,438,17505.999808,-120,3796.0,25365.000192,-46.69999999999999,59.7,770,-17184.0,31850.999232,4756.000064,5024.0,17,5113.0,476.7,213,31850.999808,-220,80.0,0.0879229469838942,91,-76,4258.999872,31.7,28406.000128,58.0,-961.299968,285.0,20.0,-1017.0,476.7,417.0,-44.0,1438.0,513.0,42548.998144,-809.0,973.0,513.0,0.0443248596752096,-157.0,0.871,476.7,0.3719704952581665,-914.0,14344.999424,268,31.7,-806.0,4559.000064,14826.000128,417.0,111.0,1159.000064,1855.350016,-52.0,1412.0,17505.999808
592.230784,23035.000384,9774.000128,2012-06-30 00:00:00,-10.634146341463415,3254.000128,7437.000192,1966.0,2470.000128,1444.0,4690.999808,1444.0,4798.000128,452.0,-1164.0,5176.999936,420,17785.000448,-130,3752.0,26001.000448,-409.649984,406.649984,770,-17777.000448,32250.000384,5249.999936,5884.230784,-6,5261.000128,799.649984,-663,32249.99936,-240,198.0,0.1267917160681886,91,-499,3718.000128,25.57,28996.000512,295.0,-1236.580736,41.0,-61.0,-1164.0,799.649984,393.0,-395.0,2036.230784,452.0,43777.998848,-1154.0,769.0,452.0,0.0697051332040575,367.0,0.592,799.649984,0.3848614072494669,-950.0,14464.999936,232,25.57,-1195.000064,4512.999936,14878.000128,393.0,107.0,1135.000064,2186.649984,532.230784,82.0,17785.000448
24.0,24604.000128,9712.0,2012-09-30 00:00:00,-0.525963149078727,4036.999936,7404.000256,1882.0,2550.0,1680.0,6782.000128,1680.0,5869.000192,671.0,-1352.999936,5660.0,489,18064.0,-179,4051.000064,27445.999616,-44.19999999999999,-12.8,770,-18438.00064,34558.000128,6540.000128,6300.230784,6,5194.000064,437.2,606,34558.001152,-337,18.0,0.1266025272949525,92,79,4510.000128,29.57,30520.99968,-84.0,-1266.8,-597.0,219.0,-1352.999936,437.2,450.0,-283.0,1704.0,671.0,45883.998208,-1352.999936,1070.0,671.0,0.0677168595879738,1175.000064,0.646,437.2,0.4147124101353754,-1140.999936,16494.000128,241,29.57,-2030.0,4518.000128,15266.000128,450.0,1006.0,1188.999936,2204.149984,-98.0,-546.0,18064.0
43.0,25179.00032,11941.999616,2012-12-31 00:00:00,1.415335463258786,3761.999872,7385.999872,2142.0,2747.000128,1674.0,5080.999936,1674.0,6211.999744,684.0,-827.0,3200.0,299,18283.00032,-203,4124.999936,28272.001024,15.649984000000018,59.35,770,-19266.000896,35305.999872,6896.0,3295.000064,11,5430.0,374.350016,-258,35306.000384,-351,889.0,0.0553435880520945,92,-111,4524.000064,30.66,31544.001024,765.0,-1342.649984,156.5,13.0,-827.0,374.350016,322.0,378.0,1716.999936,684.0,47537.999872,-578.0,1204.999936,684.0,0.0294119415443542,215.0,0.672,374.350016,0.4058181881145125,-554.0,17022.999552,228,30.66,-1408.0,6512.0,11989.000192,315.0,950.999808,1447.000064,980.550016,-67.0,-344.0,18283.00032
96.0,25132.000512,11891.999744,2013-03-31 00:00:00,0.3986486486486486,3776.999936,7388.000256,2164.999936,2422.0,1250.0,4629.000192,1250.0,5776.0,768.0,-1320.999936,6048.0,175,18588.000256,-172,3792.999936,28381.999104,32.0,-22.0,770,-20195.00032,35109.000192,6544.000256,6803.23072,21,5415.999872,358.0,-71,35108.999168,-658,404.0,0.1091362538591537,90,-49,4358.0,33.72,31331.999232,449.0,-988.0,148.0,84.0,-1320.999936,358.0,383.0,207.0,1346.0,768.0,48576.999424,-1008.999936,1528.0,768.0,0.0588172052005498,-413.0,0.719,358.0,0.3295544479545174,-1550.0,16520.999936,167,33.72,-1037.0,6476.000256,15720.999936,380.0,205.000064,1100.0,1969.2,-22.0,-350.0,18588.000256
-40.0,25517.000448,12019.00032,2013-06-30 00:00:00,-2.5083798882681565,3280.999936,7384.0,2424.999936,3811.000064,901.0,4008.0,901.0,6249.999872,246.0,-1084.0,5505.0,224,19021.000192,-159,3020.0,27456.999424,240.5,40.5,770,-20639.000576,35048.000512,6496.000256,5627.999936,25,5591.000064,281.5,-213,35048.001536,-288,-269.0,0.0788485567988079,91,-265,3685.999936,34.58,31766.999552,-279.0,-579.500032,143.20000000000002,-522.0,-1084.0,281.5,426.0,-216.0,861.0,246.0,48096.002048,-1063.0,868.0,246.0,0.0431231239169318,-130.0,0.707,281.5,0.2983443708609271,-1073.0,16027.00032,203,34.58,-1262.0,6428.000256,14988.999936,241.0,-229.0,2555.000064,1451.050016,-117.0,-171.0,19021.000192
