Non-Operating Income (Loss),StockBased Compensation,Line of Credit Available,Equity Charge,WACC Discount Factor,Other Accrued Liabilities,Operating Leases,Line of Credit,Total Current Liabilities,BALANCE SHEET,Total Liabilities & Equity,Operating Income,NonCash Items,Days in Period,Net Share Repurchases,"Cash, Cash Equivalents & STI",Misc LT Assets,Rental Expense - Years 2 - 5,"Selling, General & Admin",Revenue,ST Debt,-Net Share Repurchases,LTM Basic EPS,Rental Expense - Year 1,ST Capital Leases,Rental Expense Beyond Year 5,Dep & Amort,Work In Process,Total Liabilities / Tangible Assets,Current Liabilities,Other Adjustments,Free Cash Flow (LTM),Deferred Compensation,Other Operating Expenses,Free Cash Flow to Firm,ST Deferred Tax Assets,Cash (Repurchase) of Equity,Free Cash Flow to Equity,Deferred Tax Liabilities,Repayments of LT Debt,Other PostRet Benefits,Effect of Foreign Exchanges,Income (Loss) from Cont Ops,year + weight + convention,Free Cash Flow to Firm Model,Dividends,Net Extraordinary Losses (Gains),Net Cash From Disc Ops (fin),Period Weight,Pretax Income,LT Marketable Securities,ST Borrowings,Dividend Yield (LTM),Free Cash Flow per Share,LT Receivables,Prepaid Expenses,Cash % of Revenue,Diluted - Basic Shares,Diluted EPS,Operating Margin,Operating Expenses,Line of Credit Used,Interest & Dividends Payable,PP&E Gross,EBITDAR,A = L + SE,Inventories,Discontinued Operations NI,PV of Free Cash Flow to Firm,Pensions,Raw Materials,Other Non-Op Income (Loss),Bull,Discounted Residual Income (Bear)
-9.202,9505.67012,3171.922944,2011-03-31 00:00:00,-0.9497792207792208,3921.488896,968.694016,964.937024,258.723008,420.136992,3180.961024,420.136992,-172.002,1146.435008,-526.767008,1547.044992,180.53,8531.23712,-69.661,6266.009088,10659.848192,132.595696,-0.3237,193.636992,0.0,14884.121088,974.433,1505.488,0.0,2197.531072,238.118304,-140.422,14884.120576,-96.274,118.485,0.1074606367593393,90,-140.422,3175.479072,63.36043212000001,10962.632192,117.079,-172.816704,-77.0,153.594,-526.767008,238.118304,268.903008,-3.867,410.935008,1146.435008,0.0,-526.691008,522.9,689.419008,0.0616128719953039,-15.059,0.993,238.118304,0.0,-165.935008,6352.883968,0.0,63.36043212000001,-362.535008,974.392,22633.243648,238.442,31.198992,258.723008,864.242608,-3.916,458.034,8531.23712
-4.152,10363.640896,3394.80192,2011-06-30 00:00:00,-306.556992,4213.517056,982.387008,965.390976,246.78,470.863008,3343.067904,470.863008,195.147008,1339.328,-700.598976,1559.738016,226.076,8829.165888,-77.532,7384.573952,11062.3488,80.303744,-23.11975,193.714,-6741.945856,15567.035712,1534.475008,1526.158016,-7.672,2210.273024,256.896256,-315.232992,15567.036416,-122.538,46.281,0.1028311564806322,91,-315.232992,2985.174144,56.66366076,11353.518784,57.251,-209.814752,1.0,111.827,-700.598976,256.896256,311.612992,-305.556992,466.711008,1339.328,17804.294144,-673.136976,395.041984,801.246016,0.0582639268327554,500.008992,1.648,256.896256,0.0,-200.07,6737.869824,0.0,56.66366076,-784.108992,1184.529024,24425.464832,280.016,281.895024,246.78,848.158256,5.809,45.382008,8829.165888
18.289,10212.868128,3138.860032,2011-09-30 00:00:00,0.0,4460.630016,993.283968,934.081984,650.953024,508.356992,3463.869952,508.356992,-448.169984,1772.685984,-617.633984,1699.755008,280.105,8888.352128,-72.858,7194.393088,10338.783232,-245.864744,-0.04225,193.719008,-6121.764864,15491.082112,1324.516,1695.812032,-0.947,2164.31904,347.267744,150.434,15491.08224,-85.505,-53.487,0.1180886740578928,92,150.434,3113.894944,38.10946175999999,11030.452224,47.619,-179.378256,0.0,477.735008,-617.633984,347.267744,406.113984,341.171008,526.646016,1772.685984,16460.548096,-617.542984,958.804992,1278.980992,0.0681096608687535,-263.778,1.181,347.267744,0.0,-158.363008,6602.729984,78.679,38.10946175999999,-198.25,974.540992,26409.051136,347.310016,131.252008,650.953024,995.208304,33.143,252.815016,8888.352128
-5.68,9377.955168,2534.812928,2011-12-31 00:00:00,-4.137948717948718,3447.67104,1011.883008,903.731968,173.455008,466.4,2824.928,466.4,-446.408,1045.965984,-758.158016,1510.002944,181.08,8778.397184,-79.183,6794.033152,10475.149312,0.0,372.287456,193.908992,-6861.49376,14138.138112,599.557984,1502.626944,0.714,2285.259936,254.334448,-520.484,14138.1376,-196.324,564.841024,0.1043467481136603,92,-520.484,2273.868032,48.10283964000001,10690.467312,611.154024,-206.385552,156.0,-765.107968,-758.158016,254.334448,-113.928,-489.52,460.72,1045.965984,17336.643584,-758.011016,268.638016,513.872992,0.0624429825413064,-769.494976,1.397,254.334448,0.0,-275.507008,5359.740928,0.0,48.10283964000001,-269.46,249.552992,4222.520064,-117.953,-1214.384008,173.455008,885.7968,4.919,-287.703008,8778.397184
-19.846,9718.682176,2571.975936,2012-03-31 00:00:00,-3.305451664853101,3804.60288,1027.726016,1040.073024,166.566,467.232,3245.889024,467.232,-831.401984,1431.001024,-567.264,1912.852,233.635992,9119.0832,-88.159,6953.86112,10922.958848,108.438512,-11.8625,194.344992,0.0,14936.94816,599.598976,1901.463008,0.0,2322.411072,269.575488,298.334016,14936.947712,-52.927,54.717,0.1278247550807055,91,298.334016,2895.568928,48.56022222000001,11132.344848,62.227,-177.810496,-183.8,422.776,-567.264,269.575488,290.071008,423.742016,447.385984,1431.001024,0.0,-567.141,991.006016,936.649024,0.07565617201272,-51.259,1.518,269.575488,0.0671902978700846,-141.086,5817.86496,0.0,48.56022222000001,-525.511008,249.564992,28326.861312,281.438016,423.854016,166.566,1128.073936,-14.53,-30.163968,9119.0832
5.819,10096.20016,3145.387008,2012-06-30 00:00:00,10.835279198855508,3443.952896,1038.572992,1064.268032,168.356992,487.264992,2550.753024,487.264992,-350.841984,1142.413984,-769.755008,1929.253984,289.366,9304.62816,-87.619,7146.727936,11346.390016,-67.88556000000003,3.28055,194.38,-7590.710784,15000.768192,791.572,1927.836,-3.943,2353.859072,294.58656,-401.590016,15000.768512,-96.724,104.26,0.1285736715564577,91,-401.590016,2534.439968,43.39956594,11556.815008,139.541,-198.497456,-34.95,-265.007008,-769.755008,294.58656,295.436992,-413.643008,493.084,1142.413984,18937.100288,-769.715008,356.112,671.641984,0.0762739910664742,138.792,1.326,294.58656,0.0681801513032998,-184.343008,5696.140032,0.0,43.39956594,-751.592,791.528,28089.015296,291.305984,-221.696,168.356992,1165.76424,7.941,-138.249984,9304.62816
-16.573,10801.383112,3748.457984,2012-09-30 00:00:00,-0.874025199576801,4101.971968,1054.766976,1184.352,332.476992,427.58,3224.621056,427.58,-123.673,1308.298016,-819.596992,1848.476992,338.156,9616.758144,-66.143,2655.355904,12111.91808,122.7936,21.9544,194.452992,-7631.197184,16589.837184,1184.624968,1812.196992,-3.864,2563.878016,233.6344,-148.878,16589.837312,-94.063,86.578,0.1137124697486374,92,-148.878,3171.451088,46.33371834,12487.865088,207.782,-177.372608,-519.85,145.052,-819.596992,233.6344,226.680992,-65.488,411.007008,1308.298016,19743.115264,-819.565992,754.108992,816.694016,0.0655923153508489,335.134016,1.198,233.6344,0.1610254954358088,-160.206,6973.07904,22.057,46.33371834,-953.08,1184.579968,23549.978112,211.68,327.546008,332.476992,1052.130896,-15.093,-544.908992,9616.758144
-6.014,11187.281712,5171.527168,2012-12-31 00:00:00,-0.4908594468571429,4108.582912,1068.550016,1213.410944,359.351008,406.723008,3409.081088,406.723008,1182.328064,1062.918968,-1400.551936,1610.185984,443.033008,8942.034816,-67.086,1302.670976,13011.605504,-145.8796,130.1586,194.616,-8138.587136,17522.643072,2245.246896,1606.226944,-2.493,2926.325952,254.0936,4.341,17522.642944,-137.271008,308.144,0.1208700826255251,92,4.341,3184.858048,51.3908163,13414.05952,480.840992,-146.615392,-875.0,130.622,-1400.551936,254.0936,158.687008,-445.497984,400.708992,1062.918968,21150.193664,-1400.551936,955.054016,947.315968,0.0676505772504052,263.042,1.361,254.0936,0.3122223612050446,-204.356992,8580.608256,0.0,51.3908163,-1087.23904,2245.200896,4608.5632,123.935,612.39608,359.351008,1070.93504,0.0,-485.443008,8942.034816
-18.812,11645.851248,5341.108224,2013-03-31 00:00:00,-0.7149086357947434,4098.802944,1061.729984,1286.604032,189.684,385.814016,3272.082944,385.814016,1174.713984,1332.643024,-1035.020992,1707.382016,462.545008,9138.494144,-81.467,1298.928,13421.16352,58.84379999999999,4.5422,194.683008,-8444.82816,17751.685312,2507.357104,1671.801984,-7.428,2833.796992,187.2252,211.462,17751.68512,-108.533,-83.921,0.1062068358503895,90,211.462,3250.041888,54.99809778,13652.88152,-58.58,-179.7768,-399.5,169.788992,-1035.020992,187.2252,360.599008,-113.894,367.001984,1332.643024,21865.992192,-1034.991992,921.126976,1117.105024,0.0593196885891712,196.17,0.975,187.2252,0.2970249436458371,-190.0,8613.191168,0.0,54.99809778,-933.939968,2507.311104,12403.682816,182.683008,148.123976,189.684,969.53976,-5.172,-1038.522992,9138.494144
2.599,12197.808856,5938.496,2013-06-30 00:00:00,-0.6785592315901815,4415.712768,1076.387968,1334.690048,135.234,471.636,3752.306944,471.636,1959.326976,1104.309984,-928.596992,1691.753024,474.920008,9134.171776,-86.904,1315.6,14233.375744,17.464336000000003,13.05265,194.771008,-8794.518528,18824.97472,3063.63708,1652.952992,-4.331,2892.434048,272.941664,-146.318,18824.974336,-88.772,260.586,0.1028152447328554,91,-146.318,3724.62896,52.54721754000001,14409.261744,300.578,-201.293344,-562.2,-142.679008,-928.596992,272.941664,402.644,-180.714,474.235008,1104.309984,23027.894272,-928.456992,747.883008,974.425984,0.0560457677609315,-112.63,1.535,272.941664,0.358494983277592,-175.676,9690.802944,0.0,52.54721754000001,-773.0,3046.06208,6572.55488,259.888992,19.415008,135.234,947.894864,17.714,-805.593984,9134.171776
