Non-Operating Income (Loss),StockBased Compensation,Line of Credit Available,Equity Charge,WACC Discount Factor,Other Accrued Liabilities,Operating Leases,Line of Credit,Total Current Liabilities,BALANCE SHEET,Total Liabilities & Equity,Operating Income,NonCash Items,Days in Period,Net Share Repurchases,"Cash, Cash Equivalents & STI",Misc LT Assets,Rental Expense - Years 2 - 5,"Selling, General & Admin",Revenue,ST Debt,-Net Share Repurchases,LTM Basic EPS,Rental Expense - Year 1,ST Capital Leases,Rental Expense Beyond Year 5,Dep & Amort,Work In Process,Total Liabilities / Tangible Assets,Current Liabilities,Other Adjustments,Free Cash Flow (LTM),Deferred Compensation,Other Operating Expenses,Free Cash Flow to Firm,ST Deferred Tax Assets,Cash (Repurchase) of Equity,Free Cash Flow to Equity,Deferred Tax Liabilities,Repayments of LT Debt,Other PostRet Benefits,Effect of Foreign Exchanges,Income (Loss) from Cont Ops,year + weight + convention,Free Cash Flow to Firm Model,Dividends,Net Extraordinary Losses (Gains),Net Cash From Disc Ops (fin),Period Weight,Pretax Income,LT Marketable Securities,ST Borrowings,Dividend Yield (LTM),Free Cash Flow per Share,LT Receivables,Prepaid Expenses,Cash % of Revenue,Diluted - Basic Shares,Diluted EPS,Operating Margin,Operating Expenses,Line of Credit Used,Interest & Dividends Payable,PP&E Gross,EBITDAR,A = L + SE,Inventories,Discontinued Operations NI,PV of Free Cash Flow to Firm,Pensions,Raw Materials,Other Non-Op Income (Loss),Bull,Discounted Residual Income (Bear)
0.307042,436.451302,21.031986,2011-03-31 00:00:00,0.7089142562781712,179.984,436.983648,0.563127,1.277732,8.946047,56.944536,8.946047,-124.571824,124.57182,-59.187776,31.381418,28.384854,436.451302,-3.290589,23.805378,333.16608,-13.819875,13.53211,0.063135,-29.084148,514.427824,0.0,31.561727,0.0,21.031986,6.474268,-0.328736,514.42784,0.0,20.908108,0.0731913169843738,90,-25.291052,28.971366,267.0,334.443812,18.256279,-2.77882075,-38.825,-52.40554,-59.187776,6.474268,-7.057842,-66.348596,9.253089,124.57182,362.25024,-59.187776,-7.160821,99.70516,0.0621824460165317,1.5,1.788,6.474268,0.0,-3.290589,77.976522,0.753661,267.0,-46.74472,0.0,74.697626,-7.057842,-66.348597,1.277732,20.612767,0.307042,-165.522338,436.451302
0.015398,461.54018,21.586578,2011-06-30 00:00:00,0.5424804128547971,135.653952,440.836064,0.681133,1.186783,12.874176,72.155368,12.874176,-77.379376,77.379376,-95.260256,38.408585,22.688285,461.54018,-2.749418,29.977866,418.441376,14.195722999999996,-13.392162,0.063138,-37.504044,555.282126,0.0,38.655295,0.0,21.586578,7.040738,0.4207,555.282112,0.0,-20.49994,0.0708139559300612,91,19.746766,57.856819,221.5,419.628159,-5.934766,-5.848836,-34.104,-22.325784,-95.260256,7.040738,20.4329,-52.604752,12.889574,77.379376,455.945408,-90.233094,42.655508,77.379376,0.0608806074849277,0.0,1.889,7.040738,0.0,-2.749418,93.741946,0.211015,221.5,-64.981292,0.0,92.694918,20.4329,-47.577586,1.186783,24.235248,0.015398,-189.68329,461.54018
-0.1808,509.498672,43.443104,2011-09-30 00:00:00,0.1500602945664219,90.066568,445.000384,0.744106,4.210679,18.865622,58.02996,18.865622,6.734351,8.265649,-85.49508,49.100294,37.239454,494.498672,-4.073988,41.94464,501.694496,17.79546,-17.61851,0.063155,-48.329024,595.971736,15.0,49.283314,-0.249147,28.443106,10.998712,0.002715,595.971776,0.0,-26.990992,0.0826899086214397,92,-17.91729,55.480384,193.9,505.905175,-7.629092,-7.68611,-62.261,-69.113728,-85.49508,10.998712,28.617222,-71.603904,18.684822,8.265649,550.023552,-85.49508,13.891178,8.265649,0.0700770487529527,14.750853,2.183,10.998712,0.0,-4.073988,101.473064,0.290306,193.9,-97.75576,15.0,118.30616,28.617222,-56.603902,1.329302,30.054509,0.0,-231.23438,494.498672
-0.16017,566.470072,109.363272,2011-12-31 00:00:00,0.1829080628422145,80.504768,448.261696,0.959366,1.386201,23.492156,119.660592,23.492156,63.620412,6.279587,-101.871664,64.178,22.806356,496.570072,-3.510897,50.588984,643.702976,-15.341803,15.341803,0.06333,-63.26592,725.593936,69.9,64.159472,-0.20069,39.463269,13.961015,0.051285,725.59392,0.0,23.782316,0.0825700448527792,92,-3.290977,110.2643,239.8,645.089177,25.504395,-9.370971,-55.886,-1.986062,-101.871664,13.961015,-1.380788,-66.108,23.331986,6.279587,706.968896,-101.871664,35.76366,6.279587,0.0622927381901795,53.636308,2.527,13.961015,0.0,-3.510897,229.023864,0.31746,239.8,-91.386032,69.9,146.316864,-1.380788,-11.208004,1.386201,38.474732,0.0,-256.665248,496.570072
-0.195899,687.546996,228.837952,2012-03-31 00:00:00,0.92153616860035,85.757008,452.8704,1.112271,3.63357,24.192072,130.922856,24.192072,173.66512,3.834888,-145.106896,79.424026,20.556588,510.046996,-4.681378,59.887904,780.417216,-5.575604,5.637913,0.063504,-81.672512,869.807804,177.5,78.902556,-2.396056,51.337951,14.443824,0.40101,869.807808,0.0,9.529232,0.0981391917938768,91,-6.144919,115.977374,207.4,784.050786,17.554159,-9.55235,-55.421,-2.444699,-145.106896,14.443824,8.805911,-106.493456,23.996174,3.834888,862.089728,-145.106896,38.613432,3.834888,0.0671045989418125,104.04876,2.391,14.443824,0.4039558973377996,-4.681378,359.760808,7.795658,207.4,-145.106896,177.5,182.399394,8.805911,1.106536,3.63357,46.444289,0.0,-296.810112,510.046996
-2.727404,858.239568,361.418848,2012-06-30 00:00:00,0.2635336327797695,117.107488,457.436576,1.291844,23.309997,25.394488,153.939136,25.394488,274.82832,25.171676,-138.934528,91.944338,25.872295,558.239568,-4.419607,69.408288,933.180096,29.979311,-29.979312,0.063612,-107.294624,1073.597552,300.0,88.680066,-9.19483,61.418844,13.647085,3.980416,1073.597568,0.0,-49.393912,0.1040433213231451,91,-3.830247,147.910134,159.4,956.490092,-18.46194,-9.02,-72.801,21.336788,-138.934528,13.647085,43.626396,-91.986512,22.667084,25.171676,1040.474688,-138.934528,46.948016,25.171676,0.0651375748023328,113.323296,2.375,13.647085,0.3658711190225582,-4.419607,515.357984,7.264521,159.4,-138.934528,300.0,221.829816,43.626396,30.513488,12.444823,53.050636,0.0,-336.191872,558.239568
-5.205716,933.375824,435.07968,2012-09-30 00:00:00,1.449404592515472,96.6542,464.272672,1.422683,14.495461,28.627768,134.76008,28.627768,359.76544,8.234566,-135.830992,101.706484,9.09465,565.375824,-8.867711,82.40408,1024.06592,-13.81947,13.81947,0.063491,-135.352032,1135.215584,368.0,93.417296,-0.259728,67.079683,14.119631,7.025634,1135.215616,0.0,22.824924,0.1059966160370746,92,-7.247476,134.051082,169.9,1038.561381,30.033689,-9.302422,-34.578,-16.937108,-135.830992,14.119631,0.300161,-84.695512,23.422052,8.234566,1159.417984,-135.830992,51.135484,8.234566,0.0648936738559611,67.7584,2.617,14.119631,0.3474071672179339,-8.867711,569.83976,4.330563,169.9,-135.830992,368.0,262.289256,0.300161,-16.695508,12.211806,56.171555,0.0,-349.28348,565.375824
-5.721016,1010.185264,504.293376,2012-12-31 00:00:00,1.7762488260317109,94.214544,465.529952,1.57063,13.476038,36.974976,100.456664,36.974976,410.612,13.387998,-112.08256,115.189312,10.606877,586.185264,-3.476619,84.725488,1083.244672,-1.8850000000000016,1.885,0.063532,-162.031488,1190.935304,424.0,101.339272,-0.003409,80.293375,21.437156,-6.913434,1190.935296,0.0,3.482411,0.1217838856256627,92,2.852404,100.456661,168.2,1096.72071,12.682504,-9.816806,-18.101,5.153432,-112.08256,21.437156,19.552156,-50.25288,31.253962,13.387998,1245.27616,-112.08256,61.82968,13.387998,0.0688025785879801,55.62376,2.715,21.437156,0.4364091240170844,-3.476619,604.75004,4.224679,168.2,-112.300008,424.0,296.42576,19.552156,5.74712,11.71303,65.931076,0.023611,-333.428352,586.185264
-6.107936,1035.661704,532.125824,2013-03-31 00:00:00,-0.5122199071881807,94.13664,467.05488,1.758894,12.562539,35.574724,134.943952,35.574724,430.517824,8.482166,-76.958816,126.571956,9.763986,596.661704,-3.988806,82.808736,1157.03232,-9.169655,9.169655,0.063784,-188.793936,1263.73148,439.0,106.809886,-0.184084,93.125811,18.121174,4.435321,1263.731456,0.0,15.447089,0.1216671487266703,90,-1.522732,127.824188,143.8,1169.594859,22.169363,-11.345614,-42.236,-4.905832,-76.958816,18.121174,8.951519,-20.60188,29.466788,8.482166,1345.826176,-76.050816,56.356932,8.482166,0.0631111385067999,14.788049,2.746,18.121174,0.4296010990917673,-3.988806,667.069776,3.346786,143.8,-76.050816,439.0,319.346592,8.951519,-4.693884,11.390927,67.325046,6.4e-05,-247.536784,596.661704
-8.087379,1133.738752,610.380928,2013-06-30 00:00:00,0.0775574740146627,97.961416,468.837056,1.89121,24.111609,30.719384,118.726288,30.719384,492.187744,18.095436,-110.372176,131.896852,10.294786,623.455552,-3.915298,79.152136,1230.489728,10.410667999999998,-10.410668,0.063808,-214.952624,1352.562768,510.2832,106.774806,-5.573791,100.097754,14.601005,-4.007277,1352.562816,0.0,-16.54058,0.1155610526681366,91,3.268558,113.976508,133.4,1254.601336,-0.724984,-8.031,-52.241,9.613271,-110.372176,14.601005,25.011672,-56.29268,22.632004,18.095436,1445.442432,-110.372176,54.0795,18.095436,0.0562856161120138,65.905952,2.63,14.601005,0.3881055591475131,-3.915298,729.107216,1.640014,133.4,-110.372176,510.2832,329.09044,25.011672,15.207324,16.310025,68.278966,-0.267788,-211.842952,623.455552
-9.382142,1155.776576,666.733952,2013-09-30 00:00:00,-0.1520619084892905,118.814456,444.54368,2.129018,17.803347,41.466208,185.136752,41.466208,543.04288,11.868598,-82.314928,144.735292,14.744847,600.865088,-4.164335,99.13736,1316.118016,-18.308196,18.308196,0.061797,-247.019968,1452.735792,554.911488,115.436818,-1.265379,111.822434,20.0111,10.001876,1452.735744,0.0,30.21512,0.1271957350095089,92,-7.270886,163.29523,144.3,1333.921364,32.482743,-12.072964,-28.106,-6.226839,-82.314928,20.0111,1.702906,-23.832148,32.084064,11.868598,1563.13792,-82.314928,58.48278,11.868598,0.057319806041486,17.605308,3.2,20.0111,0.4182702464540109,-4.164335,851.870704,1.666129,144.3,-82.314928,554.911488,345.82372,1.702904,21.167852,16.868802,74.170435,-0.169308,-150.979588,600.865088
-9.584842,1204.368192,705.683584,2013-12-31 00:00:00,0.1573576418256429,104.38756,446.106016,3.83255,17.905688,31.495648,194.088016,31.495648,578.852672,5.687166,-90.80152,139.255968,11.883416,619.828352,-4.507001,95.934656,1397.306752,3.738,-3.738,0.061858,-285.616768,1519.599952,584.53984,106.093664,-0.049239,121.143758,13.662937,-27.052872,1519.6,0.0,-5.723633,0.1100601769656968,92,-9.091375,174.968371,150.7,1415.21244,6.032851,-8.24787,-31.923,-6.181432,-90.80152,13.662937,17.400938,-36.946328,21.910808,5.687166,1682.92352,-89.798495,53.855192,5.687166,0.0489696895649648,29.761872,2.782,13.662937,0.3283031316649532,-4.507001,899.7716,0.618786,150.7,-89.798496,584.53984,357.032896,17.400936,-5.943303,16.160283,66.367036,-0.016211,-137.67304,619.828352
-9.868303,1260.396304,775.260352,2014-03-31 00:00:00,-0.0277766429468396,104.684784,432.916064,4.042107,15.917993,28.417748,209.558672,28.417748,639.0592,8.10895,-119.200456,132.098988,14.374205,613.228176,-3.99769,89.984992,1477.44448,-4.841565000000001,4.841565,0.060984,-321.59632,1598.0472,647.168128,95.176322,-0.225,128.092218,11.431328,8.525489,1598.047232,0.0,8.122594,0.0986971971366518,90,17.28014,184.588243,146.2,1493.362473,12.780459,-7.118118,-47.78,2.421784,-119.200456,11.431328,6.589763,-46.452832,18.549446,8.10895,1799.040768,-119.200456,72.747616,8.10895,0.0417267556365281,48.874616,2.37,11.431328,0.3158054178634588,-3.99769,984.819024,0.608471,146.2,-119.200456,647.168128,364.209144,6.589763,16.54716,15.750691,59.70637,0.030665,-163.523988,613.228176
