Non-Operating Income (Loss),StockBased Compensation,Line of Credit Available,Equity Charge,WACC Discount Factor,Other Accrued Liabilities,Operating Leases,Line of Credit,Total Current Liabilities,BALANCE SHEET,Total Liabilities & Equity,Operating Income,NonCash Items,Days in Period,Net Share Repurchases,"Cash, Cash Equivalents & STI",Misc LT Assets,Rental Expense - Years 2 - 5,"Selling, General & Admin",Revenue,ST Debt,-Net Share Repurchases,LTM Basic EPS,Rental Expense - Year 1,ST Capital Leases,Rental Expense Beyond Year 5,Dep & Amort,Work In Process,Total Liabilities / Tangible Assets,Current Liabilities,Other Adjustments,Free Cash Flow (LTM),Deferred Compensation,Other Operating Expenses,Free Cash Flow to Firm,ST Deferred Tax Assets,Cash (Repurchase) of Equity,Free Cash Flow to Equity,Deferred Tax Liabilities,Repayments of LT Debt,Other PostRet Benefits,Effect of Foreign Exchanges,Income (Loss) from Cont Ops,year + weight + convention,Free Cash Flow to Firm Model,Dividends,Net Extraordinary Losses (Gains),Net Cash From Disc Ops (fin),Period Weight,Pretax Income,LT Marketable Securities,ST Borrowings,Dividend Yield (LTM),Free Cash Flow per Share,LT Receivables,Prepaid Expenses,Cash % of Revenue,Diluted - Basic Shares,Diluted EPS,Operating Margin,Operating Expenses,Line of Credit Used,Interest & Dividends Payable,PP&E Gross,EBITDAR,A = L + SE,Inventories,Discontinued Operations NI,PV of Free Cash Flow to Firm,Pensions,Raw Materials,Other Non-Op Income (Loss),Bull,Discounted Residual Income (Bear)
-4.886,944.915016,474.614016,2011-03-31 00:00:00,0.0,544.601984,645.166016,10.046,12.018,26.413,82.064,26.413,-69.964,469.964016,-91.126,59.681,45.81,544.915016,-5.95,58.232,544.972992,0.0,21.14775,0.92,-113.048,1101.593032,400.0,54.057,-10.027,74.614,14.30075,-7.082,1101.59296,-0.032,33.3,0.0,90,-13.786,48.528,0.0,556.990992,29.666,-7.22625,0.0,211.47,-91.126,14.30075,-6.847,-68.281,21.527,469.964016,658.020992,-91.126,22.845,354.990016,0.0,389.414016,0.0,14.30075,0.0,-5.982,556.678016,36.175,0.0,-200.788992,400.0,166.997,-6.847,331.719,12.018,-1.74245,0.312,-331.606,544.915016
-6.382,979.307984,476.895008,2011-06-30 00:00:00,0.0,505.883008,646.209984,11.055,11.703,29.81,124.635,29.81,-24.944,424.943992,-121.141,80.969,50.974,579.307984,-6.614,63.066,663.251968,0.0,-19.59815,0.921,-127.797,1180.837992,400.0,69.46,0.0,76.895,13.75085,50.229,1180.838016,-0.259,-25.396,0.0628998797154004,91,36.923,110.634,0.0,674.954968,-4.122,-9.67715,0.0,-54.985,-121.141,13.75085,33.349,-41.891,23.428,424.943992,791.049024,-121.141,79.25,300.004992,0.0391968817142591,0.0,0.0,13.75085,0.0,-6.873,601.530008,48.375,0.0,-134.235008,400.0,203.362,33.349,-41.891,11.703,35.4282,0.379,-292.559,579.307984
-6.262,1046.614976,498.884,2011-09-30 00:00:00,0.0,425.455008,647.230976,12.593,39.449,40.49,168.876992,40.49,111.46,288.539992,-174.66,109.803,93.399,646.614976,-7.306,87.417,849.472,0.0,-46.154552,0.921,-148.120992,1314.375968,400.0,92.201,0.0,98.884,20.13445,4.039,1314.375936,-0.054,-70.441,0.0917222183675395,92,-19.087,145.999,0.0,888.921,-30.474,-14.09355,0.0,-136.404,-174.66,20.13445,66.289,-137.072992,34.228,288.539992,997.593024,-174.66,37.587,163.600992,0.0557591810140816,-0.003,0.0,20.13445,0.0,-7.36,667.760992,59.298,0.0,-173.988,400.0,257.801,66.289,-137.073,11.283,54.6968,0.524,-376.788992,646.614976
-10.453,1434.237976,910.56,2011-12-31 00:00:00,0.0,623.64,648.294976,14.072,23.787,55.83,182.584,55.83,309.134016,490.866,-224.094,152.543008,77.067,634.237976,-9.565,117.866,1079.954944,0.0,43.5526,0.921,-176.260992,1727.381976,800.0,124.56,-8.653,110.56,30.1516,-12.489,1727.382016,-1.34,66.498,0.1321004006138276,92,-36.803,167.141,0.0,1103.741944,59.336,-15.2254,0.0,307.271008,-224.094,30.1516,-13.401,-187.752,45.377,490.866,1256.216064,-224.094,36.342,470.872,0.0647623557255755,391.307008,0.0,30.1516,0.0,-10.905,1093.144,71.694,0.0,-120.378,800.0,326.580992,-13.401,212.248,19.425,78.337648,0.42,-437.199008,634.237976
-13.301,1451.089016,930.459008,2012-03-31 00:00:00,0.0,455.096992,649.886016,17.677,19.301,57.227,231.862,57.227,512.702016,287.297984,-269.975008,183.357,78.922,651.089016,-12.199,137.275008,1339.011968,0.0,11.48095,0.922,-215.436,1813.410024,800.0,146.959,-0.025,130.459,27.92195,11.101,1813.410048,-2.835,20.603,0.1537768227189388,91,-24.578,200.528992,0.0,1358.312968,32.016,-16.00405,0.0,-183.574,-269.975008,27.92195,16.441,-207.21,43.926,287.297984,1554.448,-269.975008,62.765,287.297984,0.0630934854939264,-1.206,0.0,27.92195,0.4168785042066797,-15.034,1162.321008,70.303,0.0,-245.132992,800.0,405.624008,16.441,-207.210008,18.815,91.95885,0.598,-573.925992,651.089016
-12.124,1529.414024,951.910976,2012-06-30 00:00:00,0.0,442.596992,652.193024,18.733,44.399,61.214,355.044992,61.214,561.113984,238.886,-170.806,214.761,104.683,729.414024,-13.537,147.89,1549.373952,0.0,-47.0548,0.922,-261.528992,2036.369992,800.0,172.621,-0.721,151.911,28.9882,33.381,2036.370048,0.0,-79.391,0.16381813608196,91,20.584,311.926,0.0,1593.772952,-31.745,-20.1018,0.0,-48.412,-170.806,28.9882,76.043,-61.711,49.09,238.886,1810.90304,-170.806,109.095,238.886,0.0666392709874794,-0.746,0.0,28.9882,0.4139157481912232,-13.537,1306.955968,68.752,0.0,-156.760992,800.0,490.448008,76.043,-61.711,26.232,107.1962,1.95,-593.745992,729.414024
-25.081,1950.363984,1375.584,2012-09-30 00:00:00,0.0,641.705984,654.921984,22.607,35.396,77.323,354.952992,77.323,793.484032,406.516008,-336.644992,251.594,109.083,750.363984,-13.886,189.96,1803.79904,0.0,14.61005,0.923,-320.478016,2480.900976,1200.0,190.635,-7.209,175.583992,32.92405,37.785,2480.90112,-0.336,29.746,0.1717789650890662,92,-9.692,318.07,0.0,1839.19504,43.962,-19.31795,0.0,41.417,-336.644992,32.92405,18.314,-226.376992,52.242,406.516008,2124.276992,-336.644992,110.268,280.303008,0.0632290071210021,392.697984,0.0,32.92405,0.4070488523899768,-14.222,1730.536992,87.733,0.0,-461.548992,1200.0,592.991008,18.314,173.623008,25.349,119.9858,-4.102,-683.049992,750.363984
-18.852,1995.00496,1403.004032,2012-12-31 00:00:00,0.0,492.686016,658.867968,24.953,29.508000000000003,91.355,330.784992,91.355,960.662016,239.338008,-275.888992,287.119008,122.3,795.00496,-17.568,218.088,2006.599936,0.0,2.69035,0.925,-391.26,2528.793984,1200.0,221.836,-0.057,203.004008,45.280352,-5.531,2528.794112,-0.079,1.174,0.1927779980995477,92,-28.994,304.003008,0.0,2036.107936,30.711,-27.22265,0.0,-66.856,-275.888992,45.280352,42.59,-165.631008,72.503,239.338008,2397.860096,-275.888992,110.258,213.447008,0.0647357119897835,-1.952,0.0,45.280352,0.4188905395986941,-17.647,1733.789024,101.514,0.0,-175.162,1200.0,693.212992,42.59,-165.630992,24.527,137.763296,2.339,-660.929024,795.00496
-20.403,2049.107008,1440.72,2013-03-31 00:00:00,0.0,440.510016,661.275008,26.937,29.0,120.137,356.891008,120.137,1008.12,191.879992,-217.678,350.029,91.155,849.107008,-13.854,249.99,2177.208064,0.0,10.9174,0.925,-446.665984,2646.718016,1200.0,277.644,-0.025,240.720008,62.7684,15.07,2646.717952,-1.857,15.856,0.2301162637930041,90,3.303,332.746,0.0,2206.208064,49.132,-36.9656,0.0,-47.458,-217.678,62.7684,51.851,-47.131,99.734,191.879992,2623.874048,-217.678,170.547008,165.988992,0.0774012548518787,-0.181,0.0,62.7684,0.4805672226889075,-15.711,1797.611008,84.086,0.0,-217.824,1200.0,805.928,51.851,-47.130992,23.716,172.609752,0.78,-500.85,849.107008
-21.098,2119.213024,1478.166016,2013-06-30 00:00:00,0.0,416.087008,664.470016,28.703,36.204,114.904,360.764992,114.904,1038.398976,161.600992,-211.618,403.719,107.583,919.213024,-16.656,255.828,2305.852928,0.0,-7.23905,0.925,-514.567008,2758.144032,1200.0,323.534,-2.973,278.166,59.879952,30.247,2758.144,-0.392,-10.764,0.2477996515316179,91,24.046,343.464,0.0,2342.056928,29.305,-33.926048,0.0,-4.388,-211.618,59.879952,67.119,-24.358,93.806,161.600992,2820.420096,-211.618,187.26,161.600992,0.0852076360419499,-3.181,0.0,59.879952,0.4491455196460121,-17.048,1838.931008,94.109,0.0,-188.467008,1200.0,913.866,67.119,-24.358,25.65,204.264604,0.294,-463.497,919.213024
