Non-Operating Income (Loss),StockBased Compensation,Line of Credit Available,Equity Charge,WACC Discount Factor,Other Accrued Liabilities,Operating Leases,Line of Credit,Total Current Liabilities,BALANCE SHEET,Total Liabilities & Equity,Operating Income,NonCash Items,Days in Period,Net Share Repurchases,"Cash, Cash Equivalents & STI",Misc LT Assets,Rental Expense - Years 2 - 5,"Selling, General & Admin",Revenue,ST Debt,-Net Share Repurchases,LTM Basic EPS,Rental Expense - Year 1,ST Capital Leases,Rental Expense Beyond Year 5,Dep & Amort,Work In Process,Total Liabilities / Tangible Assets,Current Liabilities,Other Adjustments,Free Cash Flow (LTM),Deferred Compensation,Other Operating Expenses,Free Cash Flow to Firm,ST Deferred Tax Assets,Cash (Repurchase) of Equity,Free Cash Flow to Equity,Deferred Tax Liabilities,Repayments of LT Debt,Other PostRet Benefits,Effect of Foreign Exchanges,Income (Loss) from Cont Ops,year + weight + convention,Free Cash Flow to Firm Model,Dividends,Net Extraordinary Losses (Gains),Net Cash From Disc Ops (fin),Period Weight,Pretax Income,LT Marketable Securities,ST Borrowings,Dividend Yield (LTM),Free Cash Flow per Share,LT Receivables,Prepaid Expenses,Cash % of Revenue,Diluted - Basic Shares,Diluted EPS,Operating Margin,Operating Expenses,Line of Credit Used,Interest & Dividends Payable,PP&E Gross,EBITDAR,A = L + SE,Inventories,Discontinued Operations NI,PV of Free Cash Flow to Firm,Pensions,Raw Materials,Other Non-Op Income (Loss),Bull,Discounted Residual Income (Bear)
-10.54,7116.254992,4776.555008,2011-03-31 00:00:00,-3.199405646359584,1235.59296,3061.523968,238.367008,337.938,166.994,695.864,166.994,2042.036992,520.651008,-439.254016,445.941,250.889008,4553.566992,-43.911,507.105984,8154.310144,255.091152,167.008848,1.275,-3495.837952,10025.986,2562.688,310.942,-15.356,2213.866944,95.720848,-1.711,10025.986048,-35.345,254.039008,0.0398861681864975,90,-146.28,417.044016,101.92,8790.393152,213.908008,-65.523152,134.6,409.491008,-439.254016,89.580848,348.593984,-296.04,156.454,520.651008,11650.148352,371.216,143.214,520.651008,0.0188445690817593,-67.891,0.514,89.580848,0.0,-79.256,5472.419008,39.534,101.92,334.168,2562.688,1922.973984,-76.078,469.23,122.337,179.010598,34.687,-304.624,4553.566992
-60.156,7386.942016,4781.483008,2011-06-30 00:00:00,-0.2425895875591616,1071.107008,3072.102912,236.776992,435.863984,251.236992,755.641024,251.236992,2218.556928,352.420992,-533.260992,556.261992,218.101992,4815.963968,-44.644,610.670016,8547.93984,135.49589599999996,-132.808896,1.276,-3637.60512,10353.088,2570.978048,420.667992,-7.054,2210.505032,114.352096,21.063,10353.088512,-19.914,-187.784,0.0541451924473616,91,74.092,553.726984,89.57,9281.980864,-33.598008,-56.6059,-147.9,-168.23,-533.260992,109.505104,245.576992,-112.021,191.080992,352.420992,12185.544704,-530.210992,421.24,352.420992,0.0256616929018937,-13.45,0.8130000000000001,109.505104,0.0,-64.558,5537.124032,38.794,89.57,-576.019968,2570.978048,2063.364,267.284,-106.970992,291.624992,249.757694,-14.602,-476.339,4815.963968
-38.249,7784.037952,5012.258816,2011-09-30 00:00:00,-0.3633776914135018,1103.643008,3083.333888,228.094,529.385984,276.681984,776.116992,276.681984,2376.805888,210.564992,-612.355968,729.777976,360.568,5196.666944,-49.618,648.158016,9053.85984,197.041744,-192.647744,1.276,-3788.68608,10985.042752,2587.371008,585.967984,-6.778,2424.888008,158.486256,29.307,10985.042944,-31.078,-289.347008,0.0792116464321502,92,53.266,632.941976,65.77,9881.399808,-105.444016,-45.812752,-230.548,-141.856,-612.355968,151.500256,351.464,-146.772,238.432992,210.564992,12842.546176,-606.237968,465.584,210.564992,0.0375542683731092,5.561,0.855,151.500256,0.0,-80.696,5788.375808,12.4,65.77,-613.001024,2587.371008,2240.263008,385.268,-130.720968,297.273984,380.8409,7.232,-505.36,5196.666944
-42.111,8180.043072,4726.507008,2011-12-31 00:00:00,-0.2790274151207866,1402.291968,3615.139072,221.595008,572.7800000000001,254.912992,1069.510976,254.912992,1991.421056,537.484032,-705.934016,880.872,424.213008,5651.138112,-55.347,718.350976,9173.942272,-275.320848,266.402848,1.331,-3648.464896,11447.156096,2528.90496,728.649984,-7.156,2197.60196,153.000848,31.108,11447.155712,-64.078,447.564,0.0955687576526917,92,50.253,714.482976,89.48,10044.864256,389.771,-61.843152,-286.083,326.919008,-705.934016,152.884848,-111.146,-206.258,212.802,537.484032,12822.407168,-705.934016,499.676,537.484032,0.0434698960225651,533.176992,1.031,152.884848,0.0,-119.425,5796.017984,20.758,89.48,-705.934016,2528.90496,2262.03904,-115.444,-271.258016,160.008,459.178112,3.553,-760.497024,5651.138112
-18.213,8453.285952,5082.765824,2012-03-31 00:00:00,0.7724255947479315,1367.108992,3641.94304,222.594,592.2660000000001,274.727008,1110.121984,274.727008,2303.696896,316.918016,-738.179968,1057.558976,470.601008,5832.67104,-63.067,782.652992,9768.042496,61.59495199999998,-46.871952,1.348,-3821.08288,12025.558848,2620.614912,898.829984,-9.76,2462.15112,157.052048,-15.109,12025.55904,-76.894,-45.012,0.1121812517391131,91,-47.473,848.018976,111.59,10658.450496,75.945,-93.122952,-176.083,-220.566,-738.179968,154.604048,214.619008,-312.094016,256.514,316.918016,13589.12512,-679.665968,426.086016,316.918016,0.0528662500222896,33.014,1.205,154.604048,0.3510201977225687,-139.960992,6192.887808,11.522,111.59,-679.665984,2620.614912,2759.832,210.263008,-168.579952,151.391008,582.891248,28.645,-777.145016,5832.67104
-42.965,9042.472928,5683.766784,2012-06-30 00:00:00,0.5395762818014197,1284.033024,3613.14688,226.184,605.678992,270.960992,1128.990976,270.960992,2967.728128,317.768992,-850.857024,1077.282976,556.606984,5756.97584,-54.957,798.444992,10381.88032,-205.268,219.1,1.348,-4013.769984,12569.7336,3285.497088,935.744992,-13.6,2398.269928,136.691008,-36.71,12569.734144,-67.829,372.673984,0.1157274570485344,91,26.797,828.821008,88.21,11285.701312,339.977984,-60.45,-228.331,0.851,-850.857024,136.426,-70.392,-351.532992,227.996,317.768992,14395.650048,-846.426024,499.324,317.768992,0.0528059017061393,643.926976,0.951,136.426,0.3393608760965214,-122.786,6812.75776,28.964,88.21,-1142.4,3285.497088,2947.606976,-51.554,310.990968,160.376,605.23016,6.043,-1016.657008,5756.97584
-44.185,9362.179056,6022.04416,2012-09-30 00:00:00,0.4797649947279682,1579.884032,3642.596096,222.564,408.435008,268.443008,991.848,268.443008,3228.184064,333.886016,-722.566016,1069.044,670.259,5800.10904,-62.567,829.420992,10532.233216,-104.8888,137.5408,1.348,-4107.431936,12814.0012,3562.070016,921.57,-10.934,2459.974,124.4698,-11.312,12814.001152,-59.05,-218.99,0.1062168211285126,92,-33.194,777.562992,104.4,11234.117248,-18.744008,-97.3132,-196.319,16.117,-722.566016,124.1128,19.224,-290.505984,224.258,333.886016,14639.665152,-693.038016,432.06,333.886016,0.048003079593941,278.08,0.979,124.1128,0.3236510898436485,-121.617,7013.89216,12.184,104.4,-694.022976,3562.070016,3128.869952,-10.596,8.546976,113.409,571.213704,10.172,-1160.390992,5800.10904
-21.602,9588.501072,6166.931968,2012-12-31 00:00:00,0.2433009561963794,1050.355008,3685.284096,293.016,424.489,244.724,1034.790016,244.724,3491.796992,229.396,-743.278976,1044.358976,307.049008,5867.308112,-66.504,788.632,11296.044032,-83.202896,-6.2391,1.35,-4412.913152,13069.030096,3721.19296,839.555968,-11.989,2445.739,112.036896,35.858,13069.0304,-25.172,574.129024,0.0894444020569824,92,77.488,798.233016,106.59,12018.675008,433.648032,-100.217104,-211.672,-104.49,-743.278976,112.036896,28.834,-263.172,223.122,229.396,15708.956672,-740.187976,480.107008,229.396,0.0406189926708286,155.724,0.877,112.036896,0.3103145700402723,-91.676,7201.721984,7.045,106.59,-740.321024,3721.19296,3029.445888,129.144,-108.081968,165.103008,497.911392,32.249,-1218.0,5867.308112
-71.0,10283.351008,5523.359744,2013-03-31 00:00:00,0.4820457510917361,1196.413952,4899.776,290.071008,445.607992,286.0,971.865984,286.0,2586.981888,430.297984,-753.0,1070.128,177.621008,7266.071008,-62.0,839.0,11821.1328,-31.709000000000003,48.709,1.458,-4633.358848,13761.296736,3017.28,890.376,-9.0,2506.080064,133.709,-35.0,13761.297408,-18.0,84.0,0.0791903709395966,90,-133.0,818.181008,124.25,12564.882816,145.0,-73.291,-265.174,201.0,-753.0,132.709,101.0,-393.0,215.0,430.297984,16454.49216,-707.0,360.0,430.297984,0.0393151220290998,548.0,0.973,132.709,0.3408820023837902,-80.0,6495.225728,11.459,124.25,-707.0,3017.28,3255.497984,93.0,-1054.0,134.118,506.906704,-20.0,-1298.210976,7266.071008
-41.646,10471.584848,5502.302208,2013-06-30 00:00:00,-0.2268890449506226,1465.191936,4846.177792,288.729984,540.067008,283.790016,1012.128,283.790016,2127.803008,695.625024,-735.411008,1082.957024,225.104992,7648.156752,-66.654,879.209024,11877.641216,183.794008,-179.21,1.458,-4859.716096,14162.58696,2823.428096,904.524,-9.005,2678.873984,158.052992,12.05,14162.586624,-42.684,-277.364,0.0801096820248249,91,67.821,875.934032,144.75,12697.3952,-78.888,-69.88,-206.471,265.327008,-735.411008,153.468992,337.263008,-159.624992,242.144,695.625024,16737.3568,-106.52,575.785984,695.625024,0.0395228452168182,-203.939008,1.114,153.468992,0.322778779850194,-109.338,6514.430208,8.847,144.75,-106.52,2823.428096,3336.262016,351.473984,272.689968,173.694,528.268688,1.078,-1106.302976,7648.156752
