Non-Operating Income (Loss),StockBased Compensation,Line of Credit Available,Equity Charge,WACC Discount Factor,Other Accrued Liabilities,Operating Leases,Line of Credit,Total Current Liabilities,BALANCE SHEET,Total Liabilities & Equity,Operating Income,NonCash Items,Days in Period,Net Share Repurchases,"Cash, Cash Equivalents & STI",Misc LT Assets,Rental Expense - Years 2 - 5,"Selling, General & Admin",Revenue,ST Debt,-Net Share Repurchases,LTM Basic EPS,Rental Expense - Year 1,ST Capital Leases,Rental Expense Beyond Year 5,Dep & Amort,Work In Process,Total Liabilities / Tangible Assets,Current Liabilities,Other Adjustments,Free Cash Flow (LTM),Deferred Compensation,Other Operating Expenses,Free Cash Flow to Firm,ST Deferred Tax Assets,Cash (Repurchase) of Equity,Free Cash Flow to Equity,Deferred Tax Liabilities,Repayments of LT Debt,Other PostRet Benefits,Effect of Foreign Exchanges,Income (Loss) from Cont Ops,year + weight + convention,Free Cash Flow to Firm Model,Dividends,Net Extraordinary Losses (Gains),Net Cash From Disc Ops (fin),Period Weight,Pretax Income,LT Marketable Securities,ST Borrowings,Dividend Yield (LTM),Free Cash Flow per Share,LT Receivables,Prepaid Expenses,Cash % of Revenue,Diluted - Basic Shares,Diluted EPS,Operating Margin,Operating Expenses,Line of Credit Used,Interest & Dividends Payable,PP&E Gross,EBITDAR,A = L + SE,Inventories,Discontinued Operations NI,PV of Free Cash Flow to Firm,Pensions,Raw Materials,Other Non-Op Income (Loss),Bull,Discounted Residual Income (Bear)
-8.388,1375.567984,715.036032,2011-03-31 00:00:00,0.0,108.07,713.500992,79.314,12.34,40.881,154.342,40.881,451.920992,19.764,-131.911,117.479,22.863,903.882992,-10.443,144.078,1652.850944,-0.161999999999999,0.0,0.429,-2431.611904,1773.261024,471.684992,83.98,0.0,243.350992,20.249,-3.895,1773.261056,0.0,-7.453,0.0655196599876694,90,-17.507,150.041,0.0,1665.190944,6.053,-12.244,0.0,-66.603,-131.911,20.249,20.181,-70.096,32.493,19.764,4084.463104,-131.898,61.815,19.764,0.0323835271076456,-1.52,0.0,20.249,0.0,-10.443,869.378032,20.253,0.0,-126.898,471.684992,472.661,20.249,-70.083,12.34,52.484,0.0,-160.714,903.882992
-8.622,1421.944992,733.659008,2011-06-30 00:00:00,0.0,100.596,718.374016,81.429,12.613,50.494,142.540992,50.494,439.448,32.298,-112.887,140.691,18.152,950.199008,-10.866,157.428,1713.190016,14.599999999999998,0.0,0.429,-2487.81312,1826.399008,471.745984,106.784,0.0,261.913,26.682,4.411,1826.398976,0.0,4.512,0.0801479024305627,91,19.705,138.535,0.0,1725.803016,23.022,-15.19,0.0,12.534,-112.887,26.682,41.028,12.275,41.872,32.298,4201.003008,-112.849,125.162,32.298,0.0399090609180317,0.221,0.0,26.682,0.0,-10.866,876.2,14.842,0.0,-112.849,471.745984,523.189,26.682,12.313,12.613,66.653,0.0,-152.42,950.199008
-8.439,1443.301952,765.398016,2011-09-30 00:00:00,0.0,76.637,722.931968,101.458,12.222,35.834,187.576992,35.834,455.809984,15.999,-123.956,153.206,15.538,971.49296,-11.378,142.532,1835.60896,-0.2410000000000032,0.0,0.43,-2540.61312,1924.467968,471.808992,119.124,0.0,293.589008,17.007,6.54,1924.467968,0.0,5.013,0.0875191227462267,92,11.552,183.567,0.0,1847.83096,18.61,-10.388,0.0,-16.299,-123.956,17.007,16.976,-22.414,27.395,15.999,4376.222208,-117.923,101.542,15.999,0.0427822740298556,0.082,0.0,17.007,0.0,-11.378,952.975008,10.712,0.0,-117.923,471.808992,560.075,17.007,-16.381,12.222,74.257,0.0,-140.261,971.49296
-10.117,1716.283968,1004.166016,2011-12-31 00:00:00,0.0,332.119008,727.385984,77.824,16.552,43.461,215.762,43.461,468.079008,251.696,-136.578,170.67,12.063,996.508992,-12.675,155.092992,1867.766016,0.0,0.0,0.43,-2599.078912,2216.437008,719.774976,135.104,-4.327,284.391008,20.672,4.454,2216.436992,0.0,4.641,0.0884741264359854,92,-14.865,207.269,0.0,1884.318016,20.648,-12.672,0.0,235.696992,-136.578,20.672,20.636,-52.041,33.344,251.696,4466.845184,-92.378,84.537,251.696,0.0427285140931921,243.538,0.0,20.672,0.0,-12.675,1219.928016,5.46,0.0,-92.378,719.774976,599.131008,20.672,240.049,16.552,84.61,0.0,-132.276,996.508992
-13.465,1725.518016,1005.305024,2012-03-31 00:00:00,0.0,200.024992,734.025024,80.405,15.752,19.347,192.676992,19.347,593.086016,126.789,-187.915008,149.136,12.037,1005.643008,-11.883,135.878,1987.847936,0.5219999999999998,0.0,0.433,-2660.838912,2203.625024,719.875008,108.493,0.0,285.429992,3.57,-8.507,2203.62496,0.0,-1.777,0.0711495941924854,91,-5.314,186.228992,0.0,2003.599936,4.164,-2.312,0.0,-124.907,-187.915008,3.57,3.57,-124.132,5.882,126.789,4648.687104,-187.383008,63.783,126.789,0.0341629102401711,-1.307,0.0,3.57,0.142385080734188,-11.883,1197.982016,9.437,0.0,-187.383008,719.875008,590.930992,3.57,-123.600008,15.752,67.931,0.0,-186.312,1005.643008
-13.319,1733.664032,1010.076992,2012-06-30 00:00:00,0.0,97.793,739.352,81.66,15.29,18.434,212.256992,18.434,688.305984,31.671,-187.086,117.076,14.244,1013.687008,-12.19,134.756992,2122.937984,-0.2610000000000001,0.0,0.434,-2722.54592,2236.020992,719.977024,71.736,0.0,290.1,3.028,9.859,2236.020992,0.0,2.774,0.0450912116479982,91,19.167,208.993,0.0,2138.227984,8.413,-2.087,0.0,-95.118,-187.086,3.028,3.028,-95.19,5.115,31.671,4845.484032,-187.086,91.896,31.671,0.0217983371235733,0.072,0.0,3.028,0.1367943861495513,-12.19,1222.333984,10.041,0.0,-187.086,719.977024,568.259984,3.028,-95.19,15.29,44.277,0.0,-293.777,1013.687008
-13.762,1844.080992,1123.596032,2012-09-30 00:00:00,0.0,62.381,744.110976,87.999,14.803,19.306,196.531008,19.306,821.070976,1.65,-200.719008,100.548,10.737,1021.359968,-11.952,128.75,2264.303104,-0.1129999999999999,0.0,0.434,-2781.965056,2341.487008,822.721024,49.885,0.0,300.875,3.122,-5.094,2341.487104,0.0,1.885,0.0305009964087023,92,-3.21,193.809,0.0,2279.106104,9.106,-2.422,0.0,-30.021,-200.719008,3.122,3.122,-132.714,5.544,1.65,5046.267904,-200.719008,68.005,1.65,0.0142486263859086,102.693,0.0,3.122,0.1499495145631068,-11.952,1320.12704,5.873,0.0,-200.719008,822.721024,554.477984,3.122,-30.074008,14.803,30.392,0.0,-404.077,1021.359968
-16.757,1953.793984,1229.72096,2012-12-31 00:00:00,0.0,80.537,748.302976,89.544,18.504,36.794,177.48,36.794,916.764032,0.17,-182.039008,93.881,13.049,1036.859968,-10.753,157.904992,2345.019904,0.1129999999999995,0.0,0.435,-2847.772928,2444.060928,916.934016,36.578,-4.712,312.787008,11.219,10.625,2444.060928,0.0,3.215,0.0205953768469053,92,-0.525,169.93,0.0,2363.523904,14.688,-8.818,0.0,-1.48,-182.044,11.219,11.219,-91.117,20.037,0.17,5192.793088,-182.039,90.922,0.17,0.0089857351550969,89.637,0.0,11.219,0.2330135325930671,-10.753,1407.20096,7.37,0.0,-182.039008,916.934016,557.289984,11.219,3.142992,18.504,20.939,0.0,-443.148992,1036.859968
-16.802,2035.454016,1303.046016,2013-03-31 00:00:00,0.0,84.299,751.136,89.592,17.93,28.388,179.867008,28.388,986.92,0.248,-132.981,102.922,10.842,1048.286016,-12.725,146.236992,2428.969984,0.0,0.0,0.439,-2908.30208,2531.19904,987.168,42.282,0.0,315.878,7.209,-5.218,2531.198976,0.0,-2.089,0.0239326673052554,90,-10.409,172.756992,0.0,2446.899984,5.303,-4.377,0.0,0.078,-132.981,7.209,7.209,-70.758,11.586,0.248,5337.271808,-131.982,62.223,0.248,0.0103818010266981,69.837,0.0,7.209,0.1941232489245949,-12.725,1482.913024,8.085,0.0,-131.982,987.168,567.648976,7.209,0.541,17.93,24.578,0.0,-389.779,1048.286016
-17.0,2097.025024,1347.046016,2013-06-30 00:00:00,0.0,88.839,755.742016,78.994,17.988,28.015,223.282,28.015,1026.097024,11.338,-132.336,112.503,12.984,1059.590016,-11.191,142.466,2523.090944,-8.881784197001252e-16,0.0,0.439,-2968.161024,2629.918032,1037.435008,48.182,0.0,309.610992,6.722,8.721,2629.917952,0.0,-0.681,0.0272727664202388,91,14.513,214.647992,0.0,2541.078944,6.615,-4.293,0.0,11.09,-132.336,6.722,6.722,-45.028,11.015,11.338,5491.252224,-126.494,87.308,11.338,0.011620367754454,50.276,0.0,6.722,0.1966434096556371,-11.191,1570.328016,10.169,0.0,-126.494,1037.435008,575.357984,6.722,11.114,17.988,28.272,0.0,-339.617,1059.590016
