Non-Operating Income (Loss),StockBased Compensation,Line of Credit Available,Equity Charge,WACC Discount Factor,Other Accrued Liabilities,Operating Leases,Line of Credit,Total Current Liabilities,BALANCE SHEET,Total Liabilities & Equity,Operating Income,NonCash Items,Days in Period,Net Share Repurchases,"Cash, Cash Equivalents & STI",Misc LT Assets,Rental Expense - Years 2 - 5,"Selling, General & Admin",Revenue,ST Debt,-Net Share Repurchases,LTM Basic EPS,Rental Expense - Year 1,ST Capital Leases,Rental Expense Beyond Year 5,Dep & Amort,Work In Process,Total Liabilities / Tangible Assets,Current Liabilities,Other Adjustments,Free Cash Flow (LTM),Deferred Compensation,Other Operating Expenses,Free Cash Flow to Firm,ST Deferred Tax Assets,Cash (Repurchase) of Equity,Free Cash Flow to Equity,Deferred Tax Liabilities,Repayments of LT Debt,Other PostRet Benefits,Effect of Foreign Exchanges,Income (Loss) from Cont Ops,year + weight + convention,Free Cash Flow to Firm Model,Dividends,Net Extraordinary Losses (Gains),Net Cash From Disc Ops (fin),Period Weight,Pretax Income,LT Marketable Securities,ST Borrowings,Dividend Yield (LTM),Free Cash Flow per Share,LT Receivables,Prepaid Expenses,Cash % of Revenue,Diluted - Basic Shares,Diluted EPS,Operating Margin,Operating Expenses,Line of Credit Used,Interest & Dividends Payable,PP&E Gross,EBITDAR,A = L + SE,Inventories,Discontinued Operations NI,PV of Free Cash Flow to Firm,Pensions,Raw Materials,Other Non-Op Income (Loss),Bull,Discounted Residual Income (Bear)
-9.586,1840.390016,1351.12704,2011-03-31 00:00:00,-47.36545454545455,403.489984,206.940992,86.179,77.593,46.621,489.948992,46.621,436.648,191.294,-309.691008,167.185,65.391,1212.448,-25.861,315.328992,2572.441088,-36.742,37.669,0.637,-1427.181056,3053.524032,627.942016,140.382,340.792,723.185,19.166,-3.652,3053.523968,-51.822,69.722,0.0711309570859445,90,12.733,375.720992,74.19,2650.034088,57.099,-17.869,3.3000000000000003,186.216992,-309.691008,19.166,-18.503,-153.006,37.035,191.294,3999.621888,-270.668008,156.684992,191.294,0.0306653740053948,302.555008,0.451,19.166,0.0,-77.683,1841.076032,18.565,74.19,-273.023008,627.942016,1048.028,-18.503,-161.983016,65.268,83.438,0.0,-346.329,1212.448
-14.323,1979.457072,1387.579008,2011-06-30 00:00:00,1.3232165333333332,346.123008,216.342,89.231,62.28,139.048992,483.148,139.048992,529.211008,101.08,-352.680992,276.177992,71.486,1349.166064,-27.31,377.872992,2811.490048,58.611,-54.66,0.638,-1532.669952,3219.893072,630.291008,241.341,-8.038,757.287992,69.873,22.162,3219.892992,-25.638,-91.944,0.1099755544300645,91,-4.593,413.048,73.48,2873.770048,-22.034,-54.853,-60.0,-90.214,-352.680992,69.873,124.533,-139.392992,124.726,101.08,4344.160256,-293.751992,213.288,101.08,0.0493958258526543,-9.75,0.547,69.873,0.0,-52.948,1870.727008,32.281,73.48,-293.752,630.291008,1214.204,124.533,-80.463992,51.656,139.229,0.0,-429.797992,1349.166064
-9.345,2220.392032,1445.00096,2011-09-30 00:00:00,4.6468803952256135,304.704,223.760992,91.296,109.041,102.16,423.526016,102.16,602.716032,29.923,-419.244992,344.023992,90.838,1587.753056,-29.787,530.574016,3042.534912,176.309,-172.038,0.641,-1653.782016,3456.280032,632.638976,306.096,-1.466,812.362024,58.059,-36.854,3456.280064,-177.07,-297.478016,0.1288816121292461,92,-47.271,400.42,60.65,3151.575912,-186.119016,-34.756,-53.033,-71.157,-419.244992,58.059,230.096992,-299.471008,92.815,29.923,4696.316928,-192.144,119.774,29.923,0.0601823139964541,-0.802,0.673,58.059,0.0,-206.856992,1868.526976,30.937,60.65,-190.128992,632.638976,1517.894016,230.096992,-72.37,69.15,179.803,0.0,-692.737,1587.753056
-12.129,2448.008992,1830.235008,2011-12-31 00:00:00,0.4658795193306977,463.204,217.607008,156.296992,239.14,65.196,505.804992,65.196,865.875008,119.194,-551.475968,353.025984,133.642,1462.94,-35.568,379.542016,3096.635904,-150.817,152.87,0.641,-1766.445056,3798.98,985.068992,307.643008,-15.161,845.165968,32.159,19.548,3798.980096,-5.623,259.048992,0.1339998352184951,92,-1.663,456.999008,73.1,3335.775904,225.860992,-20.908,-191.483,89.271,-551.475968,32.159,-120.711,-280.691008,53.067,119.194,4863.08096,-512.006968,270.784992,119.194,0.0549135663192587,326.492,0.583,32.159,0.0,-41.191,2336.04,68.026,73.1,-508.006016,985.068992,1603.318016,-120.711,101.897992,208.078,179.658,0.0,-872.561024,1462.94
-14.208,2501.924032,1883.149056,2012-03-31 00:00:00,0.7293309171353932,343.744,222.995008,150.922,237.499992,57.121,471.524992,57.121,1011.214016,0.286,-335.015008,363.525992,119.123,1490.424,-28.142,377.423008,3263.85408,-5.004000000000001,3.97,0.642,-1888.103936,3845.098048,1011.500032,313.521,-0.213,871.649032,30.306,-26.948,3845.097984,-24.008,13.424,0.1408849549664209,91,-40.915,413.211008,70.77,3501.35408,33.062,-12.607,-84.982,-118.908,-335.015008,30.306,26.336,-146.962,42.913,0.286,5151.958016,-333.336008,188.052992,0.286,0.055198560328357,24.825,0.497,30.306,0.1513447744023067,-52.15,2354.674048,44.141,70.77,-331.785984,1011.500032,1665.412032,26.336,-121.283016,206.904992,190.397,0.0,-866.517008,1490.424
-12.707,2688.695984,1996.114048,2012-06-30 00:00:00,0.2265310853698506,334.236992,235.214,147.842,251.350992,27.685,475.760992,27.685,1160.816,0.184,-375.663008,252.162,124.42,1527.696048,-31.13,304.42,3413.982976,5.064,-5.18,0.652,-2034.929024,3999.571088,1160.999936,203.773,0.556,835.113992,19.709,21.148,3999.570944,24.248,-23.061,0.0974902477355856,91,35.85,460.611008,49.11,3665.333984,-0.112,4.731,-125.091,-0.102,-375.663008,19.709,24.889,-153.428,14.978,0.184,5448.911872,-361.932008,222.235008,0.184,0.038848590766061,141.034,0.204,19.709,0.0909434334143617,-6.882,2471.87504,46.812,49.11,-363.371008,1160.999936,1591.95904,24.889,2.138968,207.080992,140.233,0.0,-880.552016,1527.696048
-18.236,2802.041952,2149.985024,2012-09-30 00:00:00,0.1987863685543973,325.937984,223.472992,149.216992,208.934008,21.999,499.924992,21.999,1327.815936,0.184,-421.680992,172.001,89.867,1474.041952,-32.171,378.951008,3589.080064,-47.813,47.499,0.661,-2190.507008,4123.951968,1328.0,114.721,-22.179,821.985016,9.163,32.702,4123.952128,-17.683,89.468,0.0596623874304781,92,13.285,474.572992,54.11,3798.014064,75.917,5.4,-148.803,0.0,-421.680992,9.163,-38.336,-178.383008,3.763,0.184,5779.587072,-388.427992,243.298,0.184,0.0240987340985134,145.240992,0.07,9.163,0.0580523591060087,-49.854,2649.910016,39.014,54.11,-388.539008,1328.0,1440.336032,-38.336,21.757016,186.551008,91.337,0.0,-759.464016,1474.041952
-18.349,2854.466048,2243.516928,2012-12-31 00:00:00,-0.1098675752628383,340.564,234.304,180.662,195.212,69.831,541.545984,69.831,1434.073984,5.926,-381.241984,176.636,79.833,1414.466048,-28.372,444.308,3663.75296,-108.035,104.765,0.662,-2376.169984,4199.52896,1440.0,113.136,-0.011,803.516976,37.627,4.967,4199.52896,-22.382,157.483008,0.0672876878585055,92,2.26,525.627008,52.21,3858.96496,128.994008,-13.855,-126.789,5.742,-381.241984,37.627,-67.138,-112.859,51.482,5.926,6039.9232,-374.529984,268.383008,5.926,0.0242062612725008,110.996,0.235,37.627,0.1571680005761769,-50.754,2785.062912,30.017,52.21,-373.636992,1440.0,1505.101952,-67.138,5.768032,178.746,96.807,0.0,-591.632,1414.466048
-17.176,2966.82496,2345.345024,2013-03-31 00:00:00,0.0034906493216571,320.190016,243.188992,177.435008,205.134008,96.952,510.153984,96.952,1529.91296,0.087,-381.184992,216.467,64.215,1436.82496,-32.28,484.18,3767.000064,-39.714,39.772,0.663,-2564.865024,4292.323968,1530.0,149.999,0.0,815.345016,56.499,6.399,4292.324096,-30.618,64.228,0.0840365829355354,90,-15.765,480.318016,59.22,3972.134064,82.621,-23.277,-98.549,-5.839,-381.184992,56.499,16.727,-98.893,79.776,0.087,6331.865088,-376.877992,282.292,0.087,0.0302302126621407,90.772,0.5730000000000001,56.499,0.200239580321368,-62.898,2855.499008,28.523,59.22,-378.903008,1530.0,1611.859008,16.727,-4.585992,196.563008,122.998,1.913,-543.563008,1436.82496
-21.557,3154.902944,2475.565056,2013-06-30 00:00:00,0.4070333711626034,395.636,255.604,175.914,219.954992,91.705,588.2,91.705,1627.824,0.176,-412.008,280.487,104.263,1526.902944,-35.374,553.08,3975.07712,32.175,-31.429,0.664,-2737.77408,4590.668,1628.0,205.169,-3.473,847.565016,45.093,40.167,4590.667776,-55.971,-47.151,0.0971531781347487,91,3.047,577.452032,59.98,4195.032128,8.763,-25.055,-69.611,0.089,-412.008,45.093,76.522,-97.945,70.148,0.176,6712.850944,-395.972,314.063008,0.176,0.0345466534368907,84.913,0.777,45.093,0.165807839733854,-91.345,3063.765056,30.34,59.98,-398.887008,1628.0,1860.519008,76.522,6.91104,191.156992,148.382,0.0,-488.080008,1526.902944
