Non-Operating Income (Loss),StockBased Compensation,Line of Credit Available,Equity Charge,WACC Discount Factor,Other Accrued Liabilities,Operating Leases,Line of Credit,Total Current Liabilities,BALANCE SHEET,Total Liabilities & Equity,Operating Income,NonCash Items,Days in Period,Net Share Repurchases,"Cash, Cash Equivalents & STI",Misc LT Assets,Rental Expense - Years 2 - 5,"Selling, General & Admin",Revenue,ST Debt,-Net Share Repurchases,LTM Basic EPS,Rental Expense - Year 1,ST Capital Leases,Rental Expense Beyond Year 5,Dep & Amort,Work In Process,Total Liabilities / Tangible Assets,Current Liabilities,Other Adjustments,Free Cash Flow (LTM),Deferred Compensation,Other Operating Expenses,Free Cash Flow to Firm,ST Deferred Tax Assets,Cash (Repurchase) of Equity,Free Cash Flow to Equity,Deferred Tax Liabilities,Repayments of LT Debt,Other PostRet Benefits,Effect of Foreign Exchanges,Income (Loss) from Cont Ops,year + weight + convention,Free Cash Flow to Firm Model,Dividends,Net Extraordinary Losses (Gains),Net Cash From Disc Ops (fin),Period Weight,Pretax Income,LT Marketable Securities,ST Borrowings,Dividend Yield (LTM),Free Cash Flow per Share,LT Receivables,Prepaid Expenses,Cash % of Revenue,Diluted - Basic Shares,Diluted EPS,Operating Margin,Operating Expenses,Line of Credit Used,Interest & Dividends Payable,PP&E Gross,EBITDAR,A = L + SE,Inventories,Discontinued Operations NI,PV of Free Cash Flow to Firm,Pensions,Raw Materials,Other Non-Op Income (Loss),Bull,Discounted Residual Income (Bear)
-10.983,3531.07796,1899.197952,2011-03-31 00:00:00,0.0,270.284,1544.100992,142.312,85.03599999999999,185.283008,528.281984,185.283008,974.974016,5.026,-376.276992,667.732,21.242,2551.07796,-18.413,428.745984,4623.238144,-84.309,82.645,0.118,-1737.216,4978.557896,980.0,625.744992,-6.455,919.197992,102.059,-14.295,4978.557952,-14.156,131.587,0.1246115307482529,90,-58.598,281.205,0.0,4708.274144,145.511,-72.241,0.0,-13.926,-376.276992,101.789,19.414,-162.222,174.3,5.026,6360.454144,-376.255992,214.055008,5.026,0.0801581617571326,173.275008,0.0,101.789,0.0,-32.569,2427.479936,18.508,0.0,-401.256,980.0,1579.805984,19.414,0.0,83.457,363.306,3.367,-160.544,2551.07796
-11.556,3815.807944,2046.494976,2011-06-30 00:00:00,0.0,243.215008,1547.459968,141.992992,92.043,222.032992,484.628992,222.032992,1048.910976,11.089,-447.070016,737.376,20.189,2755.807944,-20.913,476.256,4951.673856,77.14499999999998,-80.319,0.118,-1845.651968,5286.931912,1060.0,695.308992,-2.474,986.49496,122.83,39.507,5286.931968,-15.017,-127.089,0.135303426785703,91,71.586,288.044992,0.0,5043.716856,-10.822,-87.647,0.0,6.063,-447.070016,122.561,203.148992,-72.907,210.476992,11.089,6797.325824,-445.357016,374.163008,11.089,0.0858477219030149,77.257,0.0,122.561,0.0,-35.93,2531.123968,16.509,0.0,-445.356992,1060.0,1684.508992,203.148992,0.0,88.491,406.045,3.57,-303.771,2755.807944
-12.522,4164.051016,2245.069056,2011-09-30 00:00:00,0.0,268.569984,1550.918016,142.128992,108.344,201.976992,438.385984,201.976992,1193.912064,6.088,-487.779008,792.112,31.54,2964.051016,-23.144,470.444,5270.592,86.54899999999999,-90.904,0.118,-1961.364992,5647.506056,1200.0,747.99,-0.001,1045.06896,115.331,-13.241,5647.50592,-10.293,-149.966,0.1626716042334805,92,-32.246,276.667,0.0,5378.936,-21.343,-74.124,0.0,-5.001,-487.779008,115.062,206.235008,-212.243008,189.455008,6.088,7231.956992,-420.267008,275.536,6.088,0.0882768948328986,139.73,0.0,115.062,0.0,-33.437,2683.45504,11.584,0.0,-420.267008,1200.0,1785.330976,206.235008,0.0,105.545,442.004,3.518,-518.173008,2964.051016
-13.05,4409.13096,2449.444096,2011-12-31 00:00:00,0.0,298.703008,1554.340992,117.379,108.166,216.748992,567.033984,216.748992,1364.189056,15.811,-493.185984,826.043008,20.377,3029.13096,-22.515,493.456992,5638.739968,0.0,64.13,0.118,-2088.516992,6045.60904,1380.0,777.932032,-5.181,1069.444008,127.019,40.067,6045.60896,-5.53,90.078,0.1679205874962764,92,8.494,356.713992,0.0,5746.905968,129.611,-76.739,0.0,9.723,-493.185984,126.75,62.889,-164.856992,203.699008,15.811,7727.257088,-493.155984,328.328992,15.811,0.0873802386243659,174.55,0.0,126.75,0.0,-28.045,3016.47808,14.658,0.0,-493.156,1380.0,1868.903936,62.83,0.0,94.579,467.239008,3.482,-612.228992,3029.13096
-15.701,4365.181968,2460.124928,2012-03-31 00:00:00,0.0,328.379008,1552.926976,217.355008,105.288,228.376,634.348032,228.376,1230.174976,9.825,-539.548032,869.134976,24.691,3125.181968,-34.368,559.824,5785.988096,-26.617000000000004,26.174,0.119,-2070.258944,6219.654928,1240.0,816.306016,-5.657,1220.124992,124.644,41.658,6219.655168,-1.559,26.276,0.172712331893726,91,10.31,385.853,0.0,5891.276096,88.092,-88.055,0.0,-5.986,-539.548032,124.375,98.47,-186.556,212.675008,9.825,7856.246784,-536.626032,352.992,9.825,0.0874825286411409,-145.926,0.0,124.375,0.4079424962130956,-35.927,3094.47296,19.841,0.0,-213.052,1240.0,1999.980992,98.446,0.0,96.18,489.824,2.626,-636.563,3125.181968
-9.643,4699.821048,2687.09888,2012-06-30 00:00:00,0.0,323.699008,1557.464064,209.088992,122.114,164.892,543.664,164.892,1413.19296,6.807,-529.832,811.993984,23.22,3279.821048,-25.209,493.515008,6064.771072,58.03599999999999,-58.245,0.119,-2238.739968,6510.583928,1420.0,761.078016,-0.058,1267.099024,92.637,-15.286,6510.583808,-12.558,-108.023,0.1523668830318892,91,-15.095,357.651008,0.0,6186.885072,-14.128,-62.643,0.0,-3.018,-529.832,92.367,150.827008,-247.639008,155.248992,6.807,8303.51104,-464.331,282.192992,6.807,0.0779199636138719,179.672,0.0,92.367,0.334117498611106,-37.767,3230.76288,16.034,0.0,-464.883008,1420.0,2017.24,150.851008,0.0,99.342,459.631,8.133,-811.295008,3279.821048
-10.342,4967.094,2909.780992,2012-09-30 00:00:00,0.0,392.502016,1562.144,202.706,117.523,163.039008,652.574976,163.039008,1573.924992,26.075,-543.180032,773.056,21.075,3367.094,-25.034,521.592992,6419.424768,-9.37100000000001,9.389,0.119,-2416.815104,6929.449968,1600.0,726.206,0.0,1309.781016,92.523,99.27,6929.449984,-16.555,15.815,0.1380119193020839,92,47.59,470.946992,0.0,6536.947768,72.47,-60.195,0.0,19.268,-543.180032,92.254,83.113,-160.42,152.696992,26.075,8836.240384,-542.413032,382.76,26.075,0.0694640266427382,179.731008,0.0,92.254,0.3125789849569144,-41.589,3562.355968,13.746,0.0,-543.222976,1600.0,2068.388992,83.113,0.0,95.919,436.823,8.238,-759.472,3367.094
-11.885,5253.171904,3182.267904,2012-12-31 00:00:00,0.0,384.412,1566.835968,222.426,124.474,178.576992,636.979008,178.576992,1755.2,44.8,-558.899008,734.884992,21.347,3453.171904,-23.962,565.12,6763.5328,0.0,21.625,0.119,-2590.20288,7272.418816,1800.0,687.313984,-5.116,1382.268024,103.328,-16.574,7272.418816,-33.15,48.235,0.127455890658375,92,10.513,422.654992,0.0,6888.0068,102.64,-63.378,0.0,18.725,-558.899008,103.059,81.689,-175.628992,166.746,44.8,9353.736192,-558.899008,383.270016,44.8,0.0620410179267672,194.615008,0.0,103.059,0.3159983578708946,-57.112,3819.246912,11.875,0.0,-559.16,1800.0,2140.051968,81.689,0.0,98.895,413.132,8.123,-770.243968,3453.171904
-12.791,5640.608008,3282.160896,2013-03-31 00:00:00,0.0,366.684,1568.163968,218.492,145.565,200.39392,819.609024,200.39392,2091.817984,8.182,-581.275008,706.90192,26.706,3540.608008,-28.885,604.902976,7130.128896,-27.477999999999994,27.88,0.119,-2788.299008,7642.377928,2100.0,662.294912,-5.472,1432.160968,114.143,-71.328,7642.37824,-23.316076,37.225,0.1207794721908009,90,-84.859,360.994008,0.0,7275.693888,95.051,-73.47892,0.0,-36.618,-581.275008,113.874,86.263,-283.660992,187.602928,8.182,9918.42816,-581.275008,297.614016,8.182,0.0580911888103855,294.259008,0.0,113.874,0.3312827477311006,-52.201076,4101.76992,20.254,0.0,-628.491008,1850.0,2185.130976,86.244,0.0,101.918,402.631,8.187,-867.348992,3540.608008
-13.933,5930.351016,3508.502016,2013-06-30 00:00:00,0.0,1096.816,1572.955008,210.886,139.86200000000002,207.812,928.857024,207.812,2226.688,23.312,-658.380032,749.82192,727.711992,3680.351016,-29.213,651.430976,6881.032192,13.823000000000008,-13.277,0.12,-2691.826944,8117.710056,2250.0,700.924928,-2.628,1508.502048,121.679,28.188,8117.709824,-32.066,-10.419,0.1240234442326247,91,14.192,359.766008,0.0,7020.894192,70.023,-72.212,0.0,15.13,-658.380032,121.41,134.956,-215.763008,193.879008,23.312,9572.85888,-655.253032,442.616992,23.312,0.0590189137379218,147.103008,0.0,121.41,0.319008471589782,-61.279,4437.35904,22.568,0.0,-574.590016,2000.0,2343.046944,134.944,0.0,69.778,431.673,8.391,-835.472992,3680.351016
