Non-Operating Income (Loss),StockBased Compensation,Line of Credit Available,Equity Charge,WACC Discount Factor,Other Accrued Liabilities,Operating Leases,Line of Credit,Total Current Liabilities,BALANCE SHEET,Total Liabilities & Equity,Operating Income,NonCash Items,Days in Period,Net Share Repurchases,"Cash, Cash Equivalents & STI",Misc LT Assets,Rental Expense - Years 2 - 5,"Selling, General & Admin",Revenue,ST Debt,-Net Share Repurchases,LTM Basic EPS,Rental Expense - Year 1,ST Capital Leases,Rental Expense Beyond Year 5,Dep & Amort,Work In Process,Total Liabilities / Tangible Assets,Current Liabilities,Other Adjustments,Free Cash Flow (LTM),Deferred Compensation,Other Operating Expenses,Free Cash Flow to Firm,ST Deferred Tax Assets,Cash (Repurchase) of Equity,Free Cash Flow to Equity,Deferred Tax Liabilities,Repayments of LT Debt,Other PostRet Benefits,Effect of Foreign Exchanges,Income (Loss) from Cont Ops,year + weight + convention,Free Cash Flow to Firm Model,Dividends,Net Extraordinary Losses (Gains),Net Cash From Disc Ops (fin),Period Weight,Pretax Income,LT Marketable Securities,ST Borrowings,Dividend Yield (LTM),Free Cash Flow per Share,LT Receivables,Prepaid Expenses,Cash % of Revenue,Diluted - Basic Shares,Diluted EPS,Operating Margin,Operating Expenses,Line of Credit Used,Interest & Dividends Payable,PP&E Gross,EBITDAR,A = L + SE,Inventories,Discontinued Operations NI,PV of Free Cash Flow to Firm,Pensions,Raw Materials,Other Non-Op Income (Loss),Bull,Discounted Residual Income (Bear)
-3.185,3071.546944,1308.521984,2011-03-31 00:00:00,0.0,505.870016,1885.890944,264.138,34.406,208.740992,539.702016,208.740992,295.854016,54.146,-334.688,838.736992,63.179,2721.546944,-14.727,428.630016,3338.063104,-12.640999999999991,12.8,0.855,-6126.581248,4569.770944,350.0,834.254,0.0,958.522,130.962,-41.365,4569.771008,-8.124,26.984,0.2120636155960167,90,-39.343,375.593008,115.24,4063.90112,101.432,-74.594,0.0,-59.98,-334.688,130.962,118.162,-69.411,205.556,54.146,9464.643584,-322.651,265.276992,54.146,0.1270556230870876,-2.606,1.569,130.962,0.0,-22.851,1848.224,49.356,115.24,-322.651008,350.0,1645.3,118.162,-57.374008,34.406,525.876304,-1.43,-38.215,2721.546944
1.03,3237.60096,1398.188032,2011-06-30 00:00:00,39.451851851851856,553.721984,1893.753984,260.996,32.764,240.862,598.339008,240.862,336.849984,13.15,-417.502016,866.691984,168.569,2887.60096,-10.617,467.248992,3606.210048,14.209007999999985,-14.2,0.856,-6210.882048,4884.128,350.0,866.906,-0.1,1048.188,152.548992,14.924,4884.127744,-6.959,-18.915,0.2074772253473543,91,30.451,446.446992,89.92,4330.406016,84.06,-89.343,-1.08,-40.996,-417.502016,152.548992,166.748992,-43.688,241.892,13.15,9817.092096,-408.893016,373.814016,13.15,0.1245431294886024,-5.917,1.737,152.548992,0.0,-17.576,1996.52704,48.692,89.92,-408.892992,350.0,1717.477984,166.748992,-35.079,32.764,545.172648,3.018,-124.811,2887.60096
1.578,3363.406976,1521.821952,2011-09-30 00:00:00,-11.383759398496242,501.876,1900.582016,265.704,33.01,198.05,576.323008,198.05,292.84,57.16,-470.536,866.488992,18.572,3013.406976,-9.39,435.556,3885.23392,-3.985,3.4,0.857,-6309.84704,5111.551936,350.0,867.37,-7.248,1171.822016,131.552,25.406,5111.552,-6.974,-5.132,0.1999887923598959,92,-24.372,441.049,55.7,4609.675904,120.393,-68.076,13.3,44.01,-470.536,131.552,128.152,-138.104,199.628,57.16,10195.081216,-386.677,332.432,57.16,0.1191061545840695,-13.24,1.458,131.552,0.0,-16.364,2098.14496,12.267,55.7,-275.182016,350.0,1760.304,128.152,-54.245,33.01,551.535696,3.604,-288.595,3013.406976
1.747,3535.612992,1610.42496,2011-12-31 00:00:00,0.7174450467623756,457.895008,1909.363968,301.692992,34.827,187.012992,616.339008,187.012992,402.593984,2.406,-436.075008,834.665984,58.583,3130.612992,-10.522,433.164992,4244.422912,-2.4122480000000053,2.55125,0.858,-6414.528,5357.37696,405.0,837.870016,-0.031,1205.42496,119.420248,26.981,5357.377024,-7.155,5.547,0.1838132266237999,92,10.578,287.282992,61.9,4899.48192,79.17,-69.339752,-67.148,-54.754,-436.075008,119.420248,116.869,-115.323,188.76,2.406,10658.951168,-422.720008,320.752,2.406,0.1086054518938514,47.214,1.309,119.420248,0.0,-17.677,2226.763968,48.467,61.9,-422.72,405.0,1764.600064,116.869,-46.968008,34.827,527.584864,2.532,-366.526016,3130.612992
3.862,3802.461952,1918.228992,2012-03-31 00:00:00,0.8955588753032967,465.123008,1912.982016,304.972,36.404,169.276,587.758016,169.276,567.593984,4.406,-411.263008,795.200992,14.356,3230.461952,-14.147,423.036,4543.490048,-2.2009999999999934,2.6,0.857,-6525.076992,5736.44896,572.0,803.418,0.0,1346.229024,108.707,-48.92,5736.449024,-6.874,11.11,0.1721194470472781,91,-51.064,426.266,75.47,5271.32608,78.587,-64.431,-84.07600000000001,2.0,-411.263008,108.707,106.107,-159.371008,173.138,4.406,11068.566528,-409.941008,251.892,4.406,0.0994017667795897,160.048992,1.263,108.707,0.4001456140848533,-21.021,2505.987008,8.48,75.47,-409.940992,572.0,1759.005984,106.107,8.950992,36.404,512.22824,4.726,-456.486008,3230.461952
3.269,4041.974016,2128.980992,2012-06-30 00:00:00,-0.5805839464660253,453.712,1920.637056,304.348,46.306,105.306,610.348992,105.306,653.068032,96.932,-373.432,659.644992,14.143,3291.974016,-12.634,353.121984,4839.85408,-3.057952,4.21595,0.86,-6638.310912,6031.304,750.0,670.101,-12.2,1378.98096,68.517952,-27.448,6031.304192,-7.403,9.709,0.1381662012866562,91,82.53,477.162992,55.12,5577.592064,52.53,-40.057048,-120.148,92.526,-373.432,67.224952,64.302,-50.392,108.575,96.932,11478.165504,-373.073,323.04,96.932,0.0784572158959225,142.559008,0.899,67.224952,0.2982142284293463,-20.037,2739.329984,7.205,55.12,-373.072992,750.0,1644.878976,64.302,114.371992,46.306,428.1972,7.829,-463.190008,3291.974016
2.167,4207.947008,2283.556096,2012-09-30 00:00:00,0.3593532246419396,427.558016,1932.448,324.913984,49.023,135.363008,651.752,135.363008,824.588992,5.411,-423.134016,596.958,9.257,3377.947008,-14.742,406.912,5145.242112,-3.399879999999996,3.39988,0.865,-6767.943168,6313.255104,830.0,608.003,-1.129,1453.556032,87.66188,53.479,6313.254912,-10.537,9.543,0.1198538153132593,92,-29.957,499.954016,58.55,5885.697088,67.412,-49.86812,-119.114,-91.521,-423.134016,87.66188,84.262,-161.918,137.53,5.411,11913.18528,-412.098016,261.216,5.411,0.0672758993583243,76.187,0.948,87.66188,0.332659169550173,-25.279,2935.308096,6.715,58.55,-428.924,830.0,1616.234976,84.262,-70.882016,49.023,384.30708,6.159,-487.004008,3377.947008
-3.577,4224.736,2184.553984,2012-12-31 00:00:00,0.1726787012862199,470.136992,1940.493952,313.200992,57.409,177.252992,645.862016,177.252992,680.462016,69.538,-503.039008,587.198016,17.035,3474.736,-12.905,440.868,5157.373952,-10.691040000000015,10.67704,0.866,-6899.057152,6305.152,750.0,592.918976,0.0,1434.553952,109.82904,24.503,6305.152,-5.666,-3.015,0.1133647728389398,92,56.54,287.834,57.73,5835.014976,58.953,-63.84696,-124.862,64.127,-503.039008,109.82904,99.152,-146.423008,173.676,69.538,12056.430592,-203.134016,356.616,69.538,0.0642068188176883,-89.355,1.018,109.82904,0.4020545650852409,-18.571,2830.416,1.138,57.73,-203.134,750.0,1623.938048,99.152,73.481984,57.409,374.406944,1.15,-534.929984,3474.736
-1.395,4424.592896,2369.731072,2013-03-31 00:00:00,1.150481212920237,444.496992,1942.306944,321.510016,54.74,146.827008,645.625024,146.827008,851.468032,18.532,-410.192,564.749008,19.38,3554.592896,-15.577,427.081984,5450.480128,-1.4338480000000118,1.51385,0.864,-7027.421184,6569.948992,870.0,565.213,0.0,1499.731072,91.440848,-14.767,6569.949184,-6.537,9.275,0.1049827091979905,90,-45.343,495.062992,75.44,6125.45216,66.056,-53.991152,-75.85000000000001,-51.006,-410.192,91.440848,89.927,-163.114,145.432,18.532,12477.9008,-409.217,247.078,18.532,0.0580916875853461,111.133,1.064,91.440848,0.3437911536909972,-22.114,3015.356096,0.539,75.44,-409.216992,870.0,1627.983968,89.927,-42.139,54.74,357.44972,2.616,-521.847008,3554.592896
2.033,4570.996992,2445.556992,2013-06-30 00:00:00,0.4351385784999686,486.540992,1949.245952,292.720992,55.98800000000001,187.227008,671.816,187.227008,887.468032,4.532,-391.420992,646.670016,33.473,3678.996992,-22.836,494.796,5633.609216,12.356480000000005,-10.20648,0.865,-7166.038016,6796.369984,892.0,645.898,0.0,1553.55696,119.35852,0.883,6796.36992,-10.172,-13.494,0.1165287554729133,91,-23.601,498.801008,64.99,6309.829248,66.629,-69.90148,-47.879,-14.0,-391.420992,117.22752,129.565,-68.713,189.26,4.532,12799.64672,-346.831992,322.708,4.532,0.0636577269480292,10.124,1.267,117.22752,0.378392323300916,-33.008,3117.372992,0.286,64.99,-346.832,892.0,1769.657984,129.565,-2.123992,53.593,408.290288,8.758,-540.168008,3678.996992
